jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
1,1.1446440000000002,14.987170079461126,1.4480000000000004,1.1464340581920065,27.04089422135376,0.3015659418077119,0,TCTPV,PROTON,I
1,1.6279139999999996,14.008743009571669,2.5340000000000003,1.70484474155614,28.688617486896344,0.8291552584438737,0,TCLA,PROTON,I
1,1.5088174523570712,18.86326864913933,1.81,1.5048079911255974,19.047679126568415,0.3051919869640009,0,TCTPV,PROTON,I
0,1.1397570000000004,16.236100919416216,1.4480000000000004,1.1536861380584338,23.275696310745783,0.29431385813960403,0,TCTPV,PROTON,I
0,1.6279139999999996,12.803862590170436,2.5340000000000003,1.70484474155614,28.688617486896344,0.8291552584438737,0,TCLA,PROTON,I
1,0.7546779661016949,13.534344272607761,1.0859999999999999,0.7846981462517741,1.0710328748386913,0.3275460660955133,0,TCSG,PROTON,I
0,0.861741,9.915667317611518,1.0859999999999999,0.859372270403371,21.037496516689746,0.2266277128891645,0,TCTPH,PROTON,I
0,0.9916264591439692,9.482423133602179,1.4480000000000004,0.9474956521749404,22.54690270908239,0.5005043478247367,0,TCSG,PROTON,I
1,1.5516259541984734,7.29262744389771,2.1719999999999997,0.8220323901864146,0.0706793137820911,0.5962687324462684,0,TCSG,PROTON,I
0,5.069269539078157,13.698818774792876,5.43,5.054704512404041,47.424755921374604,0.3752954875959368,0,TCSG,PROTON,I
0,1.0885340000000003,15.444459702470454,1.4480000000000004,1.0908347254220478,43.351047090508395,0.35716527457796304,0,TCTPV,PROTON,I
0,1.126665997993982,17.699134189077895,1.4480000000000004,1.1482470754598737,23.70349092674301,0.2997529216214089,0,TCTPV,PROTON,I
0,1.5021003009027079,16.87840820853598,1.81,1.5060166944627107,23.088246359060804,0.3039833040334202,0,TCTPV,PROTON,I
0,1.3032896039603958,5.494886152302906,1.81,1.2960947548934387,38.13069461202669,0.5139052451065454,0,TCLA,PROTON,I
0,4.779124,15.693225116318128,5.0680000000000005,4.823461088400347,1.4260700068482914,0.2916887385632671,0,TCTPV,PROTON,I
