,jaw,height,position,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
43,0,4.680641025641025,4.233139793094353,5.852063349840585,0.03611347213067402,0.3810149226474695,1,TCP,PROTON,I
44,0,1.388706896551724,6.405002933807768,1.3151463354181552,3.8908917937798537,3.9340714323840302,0,TCP,PROTON,I
45,1,1.388706896551724,6.006923070192622,1.3151463354181552,3.8908917937798537,3.9340714323840302,0,TCP,PROTON,I
0,0,2.1602678571428573,3.13637456472385,1.606817394630761,0.356617624915056,1.086276146287401,0,TCSG,PROTON,I
1,1,2.1602678571428573,3.817892762823489,1.606817394630761,0.356617624915056,1.086276146287401,0,TCSG,PROTON,I
2,0,6.479781249999999,2.9694721488627134,5.664842280117428,0.1841787967555869,2.5268706489603807,1,TCSG,PROTON,I
3,0,10.679000000000002,4.040842484673308,9.436674063883807,0.2213263860858128,4.823755983331333,1,TCSG,PROTON,I
4,1,10.679000000000002,2.8437639739147342,9.436674063883807,0.2213263860858128,4.823755983331333,1,TCSG,PROTON,I
5,0,4.480778947368421,3.011197752827998,3.6948357982010536,0.13562686867688892,2.0147296115219664,1,TCSG,PROTON,I
6,0,47.55157291666666,3.860999703714273,49.00220188807213,0.12356956383590748,5.756738962664604,1,TCSG,PROTON,I
7,1,3.115063063063064,3.692715950927637,2.6508787721207416,21.49697710067185,2.4171212235540014,0,TCSG,PROTON,I
8,1,2.9250945945945945,3.664898881617448,1.9577812304701767,0.1076495727113926,2.6175692249657887,0,TCSG,PROTON,I
9,1,5.321499999999999,3.650990346962353,3.2978493155071007,0.10302886794550364,3.35027564039666,1,TCSG,PROTON,I
10,0,4.766388888888887,3.0807404261034708,3.5510529494586107,0.12356024357956905,1.8682392308483853,1,TCSG,PROTON,I
11,1,4.766388888888887,3.762258624203111,3.5510529494586107,0.12356024357956905,1.8682392308483853,1,TCSG,PROTON,I
12,1,5.363315789473679,2.686401540575579,4.1761952935363515,0.11844734572928199,6.264376706702403,1,TCSG,PROTON,I
0,0,5.453862745098041,3.5677894512219304,2.5108542942424785e-14,-0.9999999994027724,390512486.95725465,0,TCLA,PROTON,I
1,1,7.390312499999997,3.8061093752721185,6.658836399868988,0.1875593425201046,4.999317267383334,1,TCLA,PROTON,I
2,0,3.2810775193798447,3.7780717371485664,2.079416302946982,1.232134829751761,3.5046804689495232,0,TCLA,PROTON,I
3,1,3.2810775193798447,3.890222289642773,2.079416302946982,1.232134829751761,3.5046804689495232,0,TCLA,PROTON,I
4,0,0.7169999999999996,6.974362483233438,0.7119829848777919,0.4687385062278965,0.3617793773726277,0,TCLA,PROTON,I
5,1,0.7169999999999996,7.086513035727644,0.7119829848777919,0.4687385062278965,0.3617793773726277,0,TCLA,PROTON,I
6,0,1.0684743589743593,3.974335204013427,0.9198571428568736,27.53129592623705,1.4331428571427878,0,TCLA,PROTON,I
7,1,1.0684743589743593,4.086485756507633,0.9198571428568736,27.53129592623705,1.4331428571427878,0,TCLA,PROTON,I
8,0,10.44197619047619,3.750034099025015,8.13996753992265,0.3817170482900609,4.517820231931483,1,TCLA,PROTON,I
9,1,10.44197619047619,3.862184651519221,8.13996753992265,0.3817170482900609,4.517820231931483,1,TCLA,PROTON,I
10,0,54.60466459627329,3.518723584505715,52.03766798917846,1.5626379012424936,7.626136968330891,1,TCLA,PROTON,I
11,0,0.7358048780487803,9.84822039089747,0.5276015105349033,0.2914221317576689,0.35538507626886423,0,TCLA,PROTON,I
12,1,0.7358048780487803,9.960370943391675,0.5276015105349033,0.2914221317576689,0.35538507626886423,0,TCLA,PROTON,I
