,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
1607,1540621060_TCTPV.4R5.B2_Align,0,2.061126984126984,3.215080590695809,3.077,-0.1532982465938234,104.61694920311751,3.2302982456136418,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540621060_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1608,1540614603_TCP.C6R7.B2_Align,0,12.104375000000001,4.116959302224526,28.96,17205.48659888213,1.0294614358100217e-06,-17186.94471597357,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540614603_TCP.C6R7.B2_Align,TCP,PROTON,I
1609,1540631345_TCSP.A4L6.B2_Align,0,15.493599999999994,3.2173178123134667,47.964999999999996,11.07097452229299,40.502074530712214,36.894025477707004,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540631345_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1610,1540636499_TCTPV.4R5.B2_Align,0,3.807848648648646,3.947929845395286,14.117999999999999,4.294797639210837,1.0038035455075027,10.201520353081968,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540636499_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1611,1540615063_TCTPH.4R2.B2_Align,0,0.839111111111111,3.8755694846534494,1.629,0.41157446794116503,32.009964947531735,1.2174255320588285,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540615063_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1612,1540625798_TCP.D6R7.B2_Align,0,0.4826666666666668,2.1871262557299285,3.077,-2.5162180473753923,0.038852776212299836,3.997600339367137,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540625798_TCP.D6R7.B2_Align,TCP,PROTON,I
1613,1540632257_TCP.D6L7.B1_Align,0,0.6926122448979595,3.687002647318833,1.4480000000000002,0.5697812065661875,18.401160498521293,0.8782187507588252,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632257_TCP.D6L7.B1_Align,TCP,PROTON,I
1614,1540623522_TCSP.A4L6.B2_Align,0,0.987235294117647,3.008743555228239,1.81,0.5453006940035491,24.668953018458573,1.2646992960507624,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540623522_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1615,1540636755_TCSG.D4L7.B1_Align,1,9.199127659574469,2.1001992111200054,11.765,8.38608758531201,1.0940183687086225,3.673739295709032,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540636755_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1616,1540634129_TCSG.D4L7.B1_Align,0,13.176800000000004,0.8148773067122527,25.159000000000002,-67.31288031474111,270.857472677661,92.47188031474097,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540634129_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1617,1540619505_TCTPH.4R2.B2_Align,1,0.5128333333333333,1.7592472716846228,1.991,0.42727942060105173,0.8346887096248378,1.6912190206660873,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540619505_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1618,1540618855_TCTPH.4R2.B2_Align,0,72.30949999999999,3.8668603365502654,86.51799999999999,27.635609998995704,162.00743042448104,58.88238987349047,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540618855_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1619,1540635691_TCTPH.4R2.B2_Align,1,0.9230999999999998,4.058461527716265,5.249,0.35844910188068124,214.47599889469376,4.890550898204934,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540635691_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1620,1540633829_TCSG.D4L7.B1_Align,0,9.75268292682927,1.4337359946206745,14.48,10.52510701659776,1.4475782663681114,4.1078919512052945,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633829_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1621,1540636494_TCTPV.4R5.B2_Align,1,11.033130434782613,2.614617011381549,17.919000000000004,9.882129870126853,371.98286319998397,8.036870129876398,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540636494_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1622,1540637080_TCSG.D4L7.B1_Align,0,12.347039215686276,1.6017519330148664,18.1,9.590126949195827,30.55463097493858,8.50987305080417,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540637080_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1623,1540630689_TCSP.A4L6.B2_Align,0,0.5042333333333326,4.413623016075847,4.887,-0.821393918573927,0.02042749963829491,4.5677608933000045,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540630689_TCSP.A4L6.B2_Align,TCSP,PROTON,I
