Timestamp,position,BLMTI.04R5.B2I10_TCTPV.4R5.B2
1459606384490,2.935,2.1719999999999997e-06
1459606384500,2.935,7.240000000000001e-07
1459606384510,2.935,1.4480000000000002e-06
1459606384520,2.935,7.240000000000001e-07
1459606384530,2.935,2.1719999999999997e-06
1459606384540,2.935,1.0859999999999999e-06
1459606384550,2.935,2.1719999999999997e-06
1459606384560,2.935,7.240000000000001e-07
1459606384570,2.935,2.5340000000000002e-06
1459606384580,2.935,0.0
1459606384590,2.935,1.81e-06
1459606384600,2.935,3.6200000000000004e-07
1459606384610,2.935,1.0859999999999999e-06
1459606384620,2.935,7.240000000000001e-07
1459606384630,2.935,1.81e-06
1459606384640,2.935,3.6200000000000004e-07
1459606384650,2.935,2.8960000000000003e-06
1459606384660,2.935,1.0859999999999999e-06
1459606384670,2.935,2.8960000000000003e-06
1459606384680,2.935,3.258e-06
1459606384690,2.935,5.43e-06
1459606384700,2.935,2.8960000000000003e-06
1459606384710,2.935,4.706e-06
1459606384720,2.935,1.4480000000000002e-06
1459606384730,2.935,2.1719999999999997e-06
1459606384740,2.935,2.5340000000000002e-06
1459606384750,2.935,3.62e-06
1459606384760,2.935,6.516e-06
1459606384770,2.935,1.3394000000000001e-05
1459606384780,2.935,1.0498e-05
1459606384790,2.935,3.1494e-05
1459606384800,2.935,3.3304e-05
1459606384810,2.935,1.9186e-05
1459606384820,2.935,3.2218e-05
1459606384830,2.935,1.6652e-05
1459606384840,2.935,1.4842000000000001e-05
1459606384850,2.935,1.8824e-05
1459606384860,2.935,5.792000000000001e-06
1459606384870,2.935,1.3032e-05
1459606384880,2.935,5.792000000000001e-06
1459606384890,2.935,6.877999999999999e-06
1459606384900,2.935,9.05e-06
1459606384910,2.935,7.24e-06
1459606384920,2.935,8.326e-06
1459606384930,2.935,7.602e-06
1459606384940,2.935,7.24e-06
1459606384950,2.935,6.877999999999999e-06
1459606384960,2.935,4.343999999999999e-06
1459606384970,2.935,7.24e-06
1459606384980,2.935,3.258e-06
1459606384990,2.935,4.706e-06
1459606385000,2.935,8.687999999999999e-06
1459606385010,2.935,6.154e-06
1459606385020,2.935,6.516e-06
1459606385030,2.935,4.706e-06
1459606385040,2.935,3.982e-06
1459606385050,2.935,6.154e-06
1459606385060,2.935,1.4480000000000002e-06
1459606385070,2.935,2.8960000000000003e-06
1459606385080,2.935,1.4480000000000002e-06
1459606385090,2.935,1.4480000000000002e-06
1459606385100,2.935,1.81e-06
1459606385110,2.935,3.258e-06
1459606385120,2.935,7.240000000000001e-07
1459606385130,2.935,2.1719999999999997e-06
1459606385140,2.935,7.240000000000001e-07
1459606385150,2.935,1.81e-06
1459606385160,2.935,0.0
1459606385170,2.935,1.0859999999999999e-06
1459606385180,2.935,1.0859999999999999e-06
1459606385190,2.935,1.4480000000000002e-06
1459606385200,2.935,7.240000000000001e-07
1459606385210,2.935,1.4480000000000002e-06
1459606385220,2.935,1.0859999999999999e-06
1459606385230,2.935,2.1719999999999997e-06
1459606385240,2.935,1.0859999999999999e-06
1459606385250,2.935,2.1719999999999997e-06
1459606385260,2.935,1.4480000000000002e-06
1459606385270,2.935,7.240000000000001e-07
1459606385280,2.935,1.0859999999999999e-06
1459606385290,2.935,3.258e-06
1459606385300,2.935,1.0859999999999999e-06
1459606385310,2.935,3.62e-06
1459606385320,2.935,1.81e-06
1459606385330,2.935,4.706e-06
1459606385340,2.935,1.4480000000000002e-06
1459606385350,2.935,3.982e-06
1459606385360,2.935,7.240000000000001e-07
1459606385370,2.935,3.258e-06
1459606385380,2.935,7.240000000000001e-07
1459606385390,2.935,2.5340000000000002e-06
1459606385400,2.935,7.240000000000001e-07
1459606385410,2.935,2.5340000000000002e-06
1459606385420,2.935,1.0859999999999999e-06
1459606385430,2.935,1.81e-06
1459606385440,2.935,1.0859999999999999e-06
1459606385450,2.935,3.6200000000000004e-07
1459606385460,2.935,2.1719999999999997e-06
1459606385470,2.935,1.81e-06
1459606385480,2.935,1.0859999999999999e-06
1459606385490,2.935,1.4480000000000002e-06
1459606385500,2.935,1.81e-06
1459606385510,2.935,1.81e-06
1459606385520,2.935,1.4480000000000002e-06
1459606385530,2.935,1.4480000000000002e-06
1459606385540,2.935,1.4480000000000002e-06
1459606385550,2.935,2.1719999999999997e-06
1459606385560,2.935,3.6200000000000004e-07
1459606385570,2.935,1.81e-06
1459606385580,2.935,3.6200000000000004e-07
1459606385590,2.935,2.5340000000000002e-06
1459606385600,2.935,1.0859999999999999e-06
1459606385610,2.935,1.4480000000000002e-06
1459606385620,2.935,7.240000000000001e-07
1459606385630,2.935,2.1719999999999997e-06
1459606385640,2.935,3.258e-06
1459606385650,2.935,3.62e-06
1459606385660,2.935,1.0859999999999999e-06
1459606385670,2.935,3.258e-06
1459606385680,2.935,2.8960000000000003e-06
1459606385690,2.935,2.5340000000000002e-06
1459606385700,2.935,3.258e-06
1459606385710,2.935,3.258e-06
1459606385720,2.935,2.8960000000000003e-06
1459606385730,2.935,3.62e-06
1459606385740,2.935,3.62e-06
1459606385750,2.935,2.5340000000000002e-06
1459606385760,2.935,1.4480000000000002e-06
1459606385770,2.935,3.62e-06
1459606385780,2.935,1.4480000000000002e-06
1459606385790,2.935,2.1719999999999997e-06
1459606385800,2.935,7.240000000000001e-07
1459606385810,2.935,1.0859999999999999e-06
1459606385820,2.935,1.0859999999999999e-06
1459606385830,2.935,1.81e-06
1459606385840,2.935,1.0859999999999999e-06
1459606385850,2.935,2.1719999999999997e-06
1459606385860,2.935,1.0859999999999999e-06
1459606385870,2.935,1.81e-06
1459606385880,2.935,2.1719999999999997e-06
1459606385890,2.935,2.1719999999999997e-06
1459606385900,2.935,2.8960000000000003e-06
1459606385910,2.935,2.8960000000000003e-06
1459606385920,2.935,1.81e-06
1459606385930,2.935,2.8960000000000003e-06
1459606385940,2.935,0.0
1459606385950,2.935,2.8960000000000003e-06
1459606385960,2.935,1.4480000000000002e-06
1459606385970,2.935,1.81e-06
1459606385980,2.935,3.6200000000000004e-07
1459606385990,2.935,1.81e-06
1459606386000,2.935,1.81e-06
1459606386010,2.935,2.5340000000000002e-06
1459606386020,2.935,1.81e-06
1459606386030,2.935,3.62e-06
1459606386040,2.935,3.258e-06
1459606386050,2.935,5.792000000000001e-06
1459606386060,2.935,5.792000000000001e-06
1459606386070,2.935,6.154e-06
1459606386080,2.935,3.62e-06
1459606386090,2.935,6.154e-06
1459606386100,2.935,5.0680000000000004e-06
1459606386110,2.935,6.154e-06
1459606386120,2.935,5.792000000000001e-06
1459606386130,2.935,3.258e-06
1459606386140,2.935,4.343999999999999e-06
1459606386150,2.935,3.982e-06
1459606386160,2.935,2.1719999999999997e-06
1459606386170,2.935,3.62e-06
1459606386180,2.935,1.4480000000000002e-06
1459606386190,2.935,2.8960000000000003e-06
1459606386200,2.935,1.4480000000000002e-06
1459606386210,2.935,2.1719999999999997e-06
1459606386220,2.935,3.6200000000000004e-07
1459606386230,2.935,3.258e-06
1459606386240,2.935,3.6200000000000004e-07
1459606386250,2.935,2.1719999999999997e-06
1459606386260,2.935,1.0859999999999999e-06
1459606386270,2.935,2.5340000000000002e-06
1459606386280,2.935,1.81e-06
1459606386290,2.935,2.1719999999999997e-06
1459606386300,2.935,2.5340000000000002e-06
1459606386310,2.935,3.258e-06
1459606386320,2.935,1.0859999999999999e-06
1459606386330,2.935,1.81e-06
1459606386340,2.935,2.1719999999999997e-06
1459606386350,2.935,2.8960000000000003e-06
1459606386360,2.935,2.5340000000000002e-06
1459606386370,2.935,5.0680000000000004e-06
1459606386380,2.935,2.1719999999999997e-06
1459606386390,2.935,4.706e-06
1459606386400,2.935,1.0859999999999999e-06
1459606386410,2.935,3.62e-06
1459606386420,2.935,1.0859999999999999e-06
1459606386430,2.935,1.81e-06
1459606386440,2.935,1.0859999999999999e-06
1459606386450,2.935,1.81e-06
1459606386460,2.935,3.6200000000000004e-07
1459606386470,2.935,2.1719999999999997e-06
1459606386480,2.935,1.4480000000000002e-06
1459606386490,2.935,1.81e-06
1459606386500,2.935,7.240000000000001e-07
1459606386510,2.935,1.0859999999999999e-06
1459606386520,2.935,2.1719999999999997e-06
1459606386530,2.935,1.4480000000000002e-06
1459606386540,2.935,2.1719999999999997e-06
1459606386550,2.935,1.0859999999999999e-06
1459606386560,2.935,7.240000000000001e-07
1459606386570,2.935,2.8960000000000003e-06
1459606386580,2.935,1.4480000000000002e-06
1459606386590,2.935,3.62e-06
1459606386600,2.935,4.706e-06
1459606386610,2.935,6.516e-06
1459606386620,2.935,4.343999999999999e-06
