Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605184620,-1.75,3.6200000000000004e-07
1459605184630,-1.75,7.240000000000001e-07
1459605184640,-1.75,1.0859999999999999e-06
1459605184650,-1.75,7.240000000000001e-07
1459605184660,-1.75,1.0859999999999999e-06
1459605184670,-1.75,1.4480000000000002e-06
1459605184680,-1.75,2.5340000000000002e-06
1459605184690,-1.75,1.81e-06
1459605184700,-1.75,1.0859999999999999e-06
1459605184710,-1.75,2.1719999999999997e-06
1459605184720,-1.75,1.81e-06
1459605184730,-1.75,0.0
1459605184740,-1.75,2.1719999999999997e-06
1459605184750,-1.75,1.4480000000000002e-06
1459605184760,-1.75,7.240000000000001e-07
1459605184770,-1.75,7.240000000000001e-07
1459605184780,-1.75,1.4480000000000002e-06
1459605184790,-1.75,7.240000000000001e-07
1459605184800,-1.75,0.0
1459605184810,-1.75,0.0
1459605184820,-1.75,3.6200000000000004e-07
1459605184830,-1.75,1.4480000000000002e-06
1459605184840,-1.75,7.240000000000001e-07
1459605184850,-1.75,0.0
1459605184860,-1.75,7.240000000000001e-07
1459605184870,-1.75,0.0
1459605184880,-1.75,1.0859999999999999e-06
1459605184890,-1.75,7.240000000000001e-07
1459605184900,-1.75,0.0
1459605184910,-1.75,7.240000000000001e-07
1459605184920,-1.75,7.240000000000001e-07
1459605184930,-1.75,1.0859999999999999e-06
1459605184940,-1.75,1.0859999999999999e-06
1459605184950,-1.75,1.0859999999999999e-06
1459605184960,-1.75,7.240000000000001e-07
1459605184970,-1.75,1.4480000000000002e-06
1459605184980,-1.75,1.0859999999999999e-06
1459605184990,-1.75,3.6200000000000004e-07
1459605185000,-1.75,3.6200000000000004e-07
1459605185010,-1.75,3.6200000000000004e-07
1459605185020,-1.75,7.240000000000001e-07
1459605185030,-1.75,7.240000000000001e-07
1459605185040,-1.75,3.6200000000000004e-07
1459605185050,-1.75,7.240000000000001e-07
1459605185060,-1.75,7.240000000000001e-07
1459605185070,-1.75,3.6200000000000004e-07
1459605185080,-1.75,7.240000000000001e-07
1459605185090,-1.75,7.240000000000001e-07
1459605185100,-1.75,7.240000000000001e-07
1459605185110,-1.75,0.0
1459605185120,-1.75,7.240000000000001e-07
1459605185130,-1.75,1.0859999999999999e-06
1459605185140,-1.75,1.0859999999999999e-06
1459605185150,-1.75,0.0
1459605185160,-1.75,7.240000000000001e-07
1459605185170,-1.75,0.0
1459605185180,-1.75,1.0859999999999999e-06
1459605185190,-1.75,7.240000000000001e-07
1459605185200,-1.75,1.0859999999999999e-06
1459605185210,-1.75,7.240000000000001e-07
1459605185220,-1.75,0.0
1459605185230,-1.75,1.4480000000000002e-06
1459605185240,-1.75,0.0
1459605185250,-1.75,7.240000000000001e-07
1459605185260,-1.75,3.6200000000000004e-07
1459605185270,-1.75,1.0859999999999999e-06
1459605185280,-1.75,3.6200000000000004e-07
1459605185290,-1.75,1.4480000000000002e-06
1459605185300,-1.75,1.0859999999999999e-06
1459605185310,-1.75,1.81e-06
1459605185320,-1.75,3.6200000000000004e-07
1459605185330,-1.75,1.81e-06
1459605185340,-1.75,2.5340000000000002e-06
1459605185350,-1.75,1.81e-06
1459605185360,-1.75,1.81e-06
1459605185370,-1.75,1.0859999999999999e-06
1459605185380,-1.75,1.0859999999999999e-06
1459605185390,-1.75,1.4480000000000002e-06
1459605185400,-1.75,1.81e-06
1459605185410,-1.75,1.4480000000000002e-06
1459605185420,-1.75,3.6200000000000004e-07
1459605185430,-1.75,1.0859999999999999e-06
1459605185440,-1.75,1.0859999999999999e-06
1459605185450,-1.75,0.0
1459605185460,-1.75,7.240000000000001e-07
1459605185470,-1.75,7.240000000000001e-07
1459605185480,-1.75,3.6200000000000004e-07
1459605185490,-1.75,1.0859999999999999e-06
1459605185500,-1.75,0.0
1459605185510,-1.75,1.0859999999999999e-06
1459605185520,-1.75,7.240000000000001e-07
1459605185530,-1.75,3.6200000000000004e-07
1459605185540,-1.75,1.4480000000000002e-06
1459605185550,-1.75,1.0859999999999999e-06
1459605185560,-1.75,1.0859999999999999e-06
1459605185570,-1.75,1.0859999999999999e-06
1459605185580,-1.75,3.6200000000000004e-07
1459605185590,-1.75,7.240000000000001e-07
1459605185600,-1.75,1.4480000000000002e-06
1459605185610,-1.75,1.81e-06
1459605185620,-1.75,7.240000000000001e-07
1459605185630,-1.75,3.6200000000000004e-07
1459605185640,-1.75,1.0859999999999999e-06
1459605185650,-1.75,7.240000000000001e-07
1459605185660,-1.75,1.0859999999999999e-06
1459605185670,-1.75,3.6200000000000004e-07
1459605185680,-1.75,1.0859999999999999e-06
1459605185690,-1.75,1.4480000000000002e-06
1459605185700,-1.75,3.6200000000000004e-07
1459605185710,-1.75,7.240000000000001e-07
1459605185720,-1.75,1.4480000000000002e-06
1459605185730,-1.75,7.240000000000001e-07
1459605185740,-1.75,1.81e-06
1459605185750,-1.75,3.6200000000000004e-07
1459605185760,-1.75,1.0859999999999999e-06
1459605185770,-1.75,7.240000000000001e-07
1459605185780,-1.75,1.0859999999999999e-06
1459605185790,-1.75,1.4480000000000002e-06
1459605185800,-1.75,2.8960000000000003e-06
1459605185810,-1.75,2.5340000000000002e-06
1459605185820,-1.75,2.5340000000000002e-06
1459605185830,-1.75,1.81e-06
1459605185840,-1.75,1.81e-06
1459605185850,-1.75,1.0859999999999999e-06
1459605185860,-1.75,2.1719999999999997e-06
1459605185870,-1.75,1.81e-06
1459605185880,-1.75,1.4480000000000002e-06
1459605185890,-1.75,1.4480000000000002e-06
1459605185900,-1.75,1.4480000000000002e-06
1459605185910,-1.75,7.240000000000001e-07
1459605185920,-1.75,1.0859999999999999e-06
1459605185930,-1.75,7.240000000000001e-07
1459605185940,-1.75,3.6200000000000004e-07
1459605185950,-1.75,0.0
1459605185960,-1.75,1.0859999999999999e-06
1459605185970,-1.75,7.240000000000001e-07
1459605185980,-1.75,7.240000000000001e-07
1459605185990,-1.75,1.0859999999999999e-06
1459605186000,-1.75,0.0
1459605186010,-1.75,7.240000000000001e-07
1459605186020,-1.75,1.0859999999999999e-06
1459605186030,-1.75,7.240000000000001e-07
1459605186040,-1.75,7.240000000000001e-07
1459605186050,-1.75,1.0859999999999999e-06
1459605186060,-1.75,7.240000000000001e-07
1459605186070,-1.75,1.4480000000000002e-06
1459605186080,-1.75,0.0
1459605186090,-1.75,3.6200000000000004e-07
1459605186100,-1.75,3.6200000000000004e-07
1459605186110,-1.75,0.0
1459605186120,-1.75,3.6200000000000004e-07
1459605186130,-1.75,3.6200000000000004e-07
1459605186140,-1.75,1.0859999999999999e-06
1459605186150,-1.75,7.240000000000001e-07
1459605186160,-1.75,3.6200000000000004e-07
1459605186170,-1.75,0.0
1459605186180,-1.75,3.6200000000000004e-07
1459605186190,-1.75,1.0859999999999999e-06
1459605186200,-1.75,7.240000000000001e-07
1459605186210,-1.75,0.0
1459605186220,-1.75,1.0859999999999999e-06
1459605186230,-1.75,3.6200000000000004e-07
1459605186240,-1.75,1.0859999999999999e-06
1459605186250,-1.75,1.81e-06
1459605186260,-1.75,1.81e-06
1459605186270,-1.75,7.240000000000001e-07
1459605186280,-1.75,3.6200000000000004e-07
1459605186290,-1.75,3.6200000000000004e-07
1459605186300,-1.75,1.81e-06
1459605186310,-1.75,3.6200000000000004e-07
1459605186320,-1.75,1.0859999999999999e-06
1459605186330,-1.75,3.6200000000000004e-07
1459605186340,-1.75,7.240000000000001e-07
1459605186350,-1.75,1.0859999999999999e-06
1459605186360,-1.75,3.6200000000000004e-07
1459605186370,-1.75,7.240000000000001e-07
1459605186380,-1.75,0.0
1459605186390,-1.75,7.240000000000001e-07
1459605186400,-1.75,0.0
1459605186410,-1.75,3.6200000000000004e-07
1459605186420,-1.75,7.240000000000001e-07
1459605186430,-1.75,3.6200000000000004e-07
1459605186440,-1.75,1.0859999999999999e-06
1459605186450,-1.75,3.6200000000000004e-07
1459605186460,-1.75,3.6200000000000004e-07
1459605186470,-1.75,7.240000000000001e-07
1459605186480,-1.75,3.6200000000000004e-07
1459605186490,-1.75,3.6200000000000004e-07
1459605186500,-1.75,7.240000000000001e-07
1459605186510,-1.75,1.0859999999999999e-06
1459605186520,-1.75,7.240000000000001e-07
1459605186530,-1.75,7.240000000000001e-07
1459605186540,-1.75,1.0859999999999999e-06
1459605186550,-1.75,7.240000000000001e-07
1459605186560,-1.75,1.4480000000000002e-06
1459605186570,-1.75,3.6200000000000004e-07
1459605186580,-1.75,1.0859999999999999e-06
1459605186590,-1.75,3.6200000000000004e-07
1459605186600,-1.75,3.6200000000000004e-07
1459605186610,-1.75,3.6200000000000004e-07
1459605186620,-1.75,0.0
1459605186630,-1.75,7.240000000000001e-07
1459605186640,-1.75,7.240000000000001e-07
1459605186650,-1.75,3.6200000000000004e-07
1459605186660,-1.75,3.6200000000000004e-07
1459605186670,-1.75,1.0859999999999999e-06
1459605186680,-1.75,0.0
1459605186690,-1.75,7.240000000000001e-07
1459605186700,-1.75,7.240000000000001e-07
1459605186710,-1.75,7.240000000000001e-07
1459605186720,-1.75,7.240000000000001e-07
1459605186730,-1.75,7.240000000000001e-07
1459605186740,-1.75,7.240000000000001e-07
1459605186750,-1.75,7.240000000000001e-07
1459605186760,-1.75,7.240000000000001e-07
1459605186770,-1.75,3.6200000000000004e-07
1459605186780,-1.75,1.4480000000000002e-06
1459605186790,-1.75,3.6200000000000004e-07
1459605186800,-1.75,7.240000000000001e-07
1459605186810,-1.75,1.0859999999999999e-06
1459605186820,-1.75,3.6200000000000004e-07
1459605186830,-1.75,3.6200000000000004e-07
1459605186840,-1.75,3.6200000000000004e-07
1459605186850,-1.75,1.0859999999999999e-06
1459605186860,-1.75,7.240000000000001e-07
1459605186870,-1.75,7.240000000000001e-07
1459605186880,-1.75,1.0859999999999999e-06
1459605186890,-1.75,3.6200000000000004e-07
1459605186900,-1.75,1.4480000000000002e-06
1459605186910,-1.75,1.0859999999999999e-06
1459605186920,-1.75,1.4480000000000002e-06
1459605186930,-1.75,2.5340000000000002e-06
1459605186940,-1.75,2.1719999999999997e-06
1459605186950,-1.75,1.0859999999999999e-06
1459605186960,-1.75,1.4480000000000002e-06
1459605186970,-1.75,1.4480000000000002e-06
1459605186980,-1.75,1.4480000000000002e-06
1459605186990,-1.75,1.0859999999999999e-06
1459605187000,-1.75,7.240000000000001e-07
1459605187010,-1.75,3.6200000000000004e-07
1459605187020,-1.75,7.240000000000001e-07
1459605187030,-1.75,7.240000000000001e-07
1459605187040,-1.75,7.240000000000001e-07
1459605187050,-1.75,1.0859999999999999e-06
1459605187060,-1.75,7.240000000000001e-07
1459605187070,-1.75,7.240000000000001e-07
1459605187080,-1.75,7.240000000000001e-07
1459605187090,-1.75,3.6200000000000004e-07
1459605187100,-1.75,3.6200000000000004e-07
1459605187110,-1.75,7.240000000000001e-07
1459605187120,-1.75,1.0859999999999999e-06
1459605187130,-1.75,0.0
1459605187140,-1.75,7.240000000000001e-07
1459605187150,-1.75,1.0859999999999999e-06
1459605187160,-1.75,1.0859999999999999e-06
1459605187170,-1.75,1.0859999999999999e-06
1459605187180,-1.75,1.0859999999999999e-06
1459605187190,-1.75,7.240000000000001e-07
1459605187200,-1.75,7.240000000000001e-07
1459605187210,-1.75,3.6200000000000004e-07
1459605187220,-1.75,0.0
1459605187230,-1.75,1.0859999999999999e-06
1459605187240,-1.71,0.0
1459605187250,-1.71,1.4480000000000002e-06
1459605187260,-1.71,3.6200000000000004e-07
1459605187270,-1.71,7.240000000000001e-07
1459605187280,-1.71,3.6200000000000004e-07
1459605187290,-1.71,7.240000000000001e-07
1459605187300,-1.71,1.4480000000000002e-06
1459605187310,-1.71,1.0859999999999999e-06
1459605187320,-1.71,3.6200000000000004e-07
1459605187330,-1.71,1.0859999999999999e-06
1459605187340,-1.71,7.240000000000001e-07
1459605187350,-1.71,3.6200000000000004e-07
1459605187360,-1.71,7.240000000000001e-07
1459605187370,-1.71,3.6200000000000004e-07
1459605187380,-1.71,7.240000000000001e-07
1459605187390,-1.71,3.6200000000000004e-07
1459605187400,-1.71,7.240000000000001e-07
1459605187410,-1.71,3.6200000000000004e-07
1459605187420,-1.71,7.240000000000001e-07
1459605187430,-1.71,7.240000000000001e-07
1459605187440,-1.71,0.0
1459605187450,-1.71,1.0859999999999999e-06
1459605187460,-1.71,0.0
1459605187470,-1.71,3.6200000000000004e-07
1459605187480,-1.71,1.0859999999999999e-06
1459605187490,-1.71,1.0859999999999999e-06
1459605187500,-1.71,7.240000000000001e-07
1459605187510,-1.71,1.81e-06
1459605187520,-1.71,4.706e-06
1459605187530,-1.71,6.154e-06
1459605187540,-1.71,7.964e-06
1459605187550,-1.71,1.2308e-05
1459605187560,-1.71,2.0272000000000002e-05
1459605187570,-1.71,2.896e-05
1459605187580,-1.71,4.2716e-05
1459605187590,-1.71,5.9368000000000005e-05
1459605187600,-1.71,7.6744e-05
1459605187610,-1.71,0.00011620200000000001
1459605187620,-1.71,0.00012416600000000002
