Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1459604106320,6.985,2.1719999999999997e-06
1459604106330,6.985,1.4480000000000002e-06
1459604106340,6.985,1.81e-06
1459604106350,6.985,3.6200000000000004e-07
1459604106360,6.985,1.4480000000000002e-06
1459604106370,6.985,1.81e-06
1459604106380,6.985,7.240000000000001e-07
1459604106390,6.985,1.0859999999999999e-06
1459604106400,6.985,1.0859999999999999e-06
1459604106410,6.985,7.240000000000001e-07
1459604106420,6.985,1.0859999999999999e-06
1459604106430,6.985,1.0859999999999999e-06
1459604106440,6.985,7.240000000000001e-07
1459604106450,6.985,7.240000000000001e-07
1459604106460,6.985,7.240000000000001e-07
1459604106470,6.985,3.6200000000000004e-07
1459604106480,6.985,3.6200000000000004e-07
1459604106490,6.985,3.6200000000000004e-07
1459604106500,6.985,3.6200000000000004e-07
1459604106510,6.985,3.6200000000000004e-07
1459604106520,6.985,3.6200000000000004e-07
1459604106530,6.985,7.240000000000001e-07
1459604106540,6.985,7.240000000000001e-07
1459604106550,6.985,3.6200000000000004e-07
1459604106560,6.985,1.4480000000000002e-06
1459604106570,6.985,3.6200000000000004e-07
1459604106580,6.985,3.6200000000000004e-07
1459604106590,6.985,7.240000000000001e-07
1459604106600,6.985,3.6200000000000004e-07
1459604106610,6.985,3.6200000000000004e-07
1459604106620,6.985,7.240000000000001e-07
1459604106630,6.985,3.6200000000000004e-07
1459604106640,6.985,3.6200000000000004e-07
1459604106650,6.985,0.0
1459604106660,6.985,1.0859999999999999e-06
1459604106670,6.985,0.0
1459604106680,6.985,3.6200000000000004e-07
1459604106690,6.985,7.240000000000001e-07
1459604106700,6.985,3.6200000000000004e-07
1459604106710,6.985,0.0
1459604106720,6.985,7.240000000000001e-07
1459604106730,6.985,7.240000000000001e-07
1459604106740,6.985,3.6200000000000004e-07
1459604106750,6.985,3.6200000000000004e-07
1459604106760,6.985,0.0
1459604106770,6.985,3.6200000000000004e-07
1459604106780,6.985,7.240000000000001e-07
1459604106790,6.985,3.6200000000000004e-07
1459604106800,6.985,3.6200000000000004e-07
1459604106810,6.985,0.0
1459604106820,6.985,1.0859999999999999e-06
1459604106830,6.985,1.4480000000000002e-06
1459604106840,6.985,5.792000000000001e-06
1459604106850,6.985,7.602e-06
1459604106860,6.985,9.412e-06
1459604106870,6.985,3.982e-06
1459604106880,6.985,3.62e-06
1459604106890,6.985,7.240000000000001e-07
1459604106900,6.985,1.4480000000000002e-06
1459604106910,6.765,7.240000000000001e-07
1459604106920,6.765,1.0859999999999999e-06
1459604106930,6.765,1.0859999999999999e-06
1459604106940,6.765,1.4480000000000002e-06
1459604106950,6.765,1.0859999999999999e-06
1459604106960,6.765,1.0859999999999999e-06
1459604106970,6.765,1.4480000000000002e-06
1459604106980,6.765,1.0859999999999999e-06
1459604106990,6.765,0.0
1459604107000,6.765,7.240000000000001e-07
1459604107010,6.765,1.0859999999999999e-06
1459604107020,6.765,7.240000000000001e-07
1459604107030,6.765,3.6200000000000004e-07
1459604107040,6.765,1.4480000000000002e-06
1459604107050,6.765,0.0
1459604107060,6.765,7.240000000000001e-07
1459604107070,6.765,3.6200000000000004e-07
1459604107080,6.765,3.6200000000000004e-07
1459604107090,6.765,3.6200000000000004e-07
1459604107100,6.765,3.6200000000000004e-07
