Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1459608559910,2.895,5.0680000000000004e-06
1459608559920,2.895,4.706e-06
1459608559930,2.895,3.62e-06
1459608559940,2.895,5.43e-06
1459608559950,2.895,5.792000000000001e-06
1459608559960,2.895,6.154e-06
1459608559970,2.895,7.602e-06
1459608559980,2.895,6.154e-06
1459608559990,2.895,5.43e-06
1459608560000,2.895,3.62e-06
1459608560010,2.895,4.343999999999999e-06
1459608560020,2.895,4.706e-06
1459608560030,2.895,5.43e-06
1459608560040,2.895,4.706e-06
1459608560050,2.895,5.792000000000001e-06
1459608560060,2.895,5.43e-06
1459608560070,2.895,4.706e-06
1459608560080,2.895,3.982e-06
1459608560090,2.895,3.982e-06
1459608560100,2.895,3.258e-06
1459608560110,2.895,3.982e-06
1459608560120,2.895,3.62e-06
1459608560130,2.895,3.982e-06
1459608560140,2.895,3.258e-06
1459608560150,2.895,3.258e-06
1459608560160,2.895,3.982e-06
1459608560170,2.895,2.8960000000000003e-06
1459608560180,2.895,3.258e-06
1459608560190,2.895,2.8960000000000003e-06
1459608560200,2.895,3.258e-06
1459608560210,2.895,3.258e-06
1459608560220,2.895,5.0680000000000004e-06
1459608560230,2.895,2.5340000000000002e-06
1459608560240,2.895,3.258e-06
1459608560250,2.895,3.982e-06
1459608560260,2.895,3.62e-06
1459608560270,2.895,2.5340000000000002e-06
1459608560280,2.895,2.8960000000000003e-06
1459608560290,2.895,2.8960000000000003e-06
1459608560300,2.895,2.1719999999999997e-06
1459608560310,2.895,3.258e-06
1459608560320,2.895,3.258e-06
1459608560330,2.895,6.154e-06
1459608560340,2.895,6.154e-06
1459608560350,2.895,1.0498e-05
1459608560360,2.895,1.0498e-05
1459608560370,2.895,1.4842000000000001e-05
1459608560380,2.895,1.0136000000000001e-05
1459608560390,2.895,6.154e-06
1459608560400,2.895,6.516e-06
1459608560410,2.895,4.343999999999999e-06
1459608560420,2.895,6.516e-06
1459608560430,2.895,3.62e-06
1459608560440,2.895,5.43e-06
1459608560450,2.895,5.0680000000000004e-06
1459608560460,2.895,6.516e-06
1459608560470,2.895,7.24e-06
1459608560480,2.895,6.877999999999999e-06
1459608560490,2.895,7.964e-06
1459608560500,2.895,8.326e-06
1459608560510,2.895,1.1584000000000001e-05
1459608560520,2.895,6.877999999999999e-06
1459608560530,2.895,1.1945999999999999e-05
1459608560540,2.895,8.326e-06
1459608560550,2.895,1.1945999999999999e-05
1459608560560,2.895,9.412e-06
1459608560570,2.895,9.412e-06
1459608560580,2.895,6.516e-06
1459608560590,2.895,6.516e-06
1459608560600,2.895,6.516e-06
1459608560610,2.895,4.343999999999999e-06
1459608560620,2.895,4.706e-06
1459608560630,2.895,3.258e-06
1459608560640,2.895,5.43e-06
1459608560650,2.895,5.43e-06
1459608560660,2.895,5.0680000000000004e-06
1459608560670,2.895,3.982e-06
1459608560680,2.895,4.706e-06
1459608560690,2.87,3.258e-06
1459608560700,2.87,2.8960000000000003e-06
1459608560710,2.87,3.62e-06
1459608560720,2.87,2.8960000000000003e-06
1459608560730,2.87,2.1719999999999997e-06
1459608560740,2.87,3.258e-06
1459608560750,2.87,3.982e-06
1459608560760,2.87,4.343999999999999e-06
1459608560770,2.87,4.706e-06
1459608560780,2.87,4.343999999999999e-06
1459608560790,2.87,3.258e-06
1459608560800,2.87,3.982e-06
1459608560810,2.87,5.43e-06
1459608560820,2.87,5.792000000000001e-06
1459608560830,2.87,5.43e-06
1459608560840,2.87,5.43e-06
1459608560850,2.87,6.877999999999999e-06
1459608560860,2.87,5.0680000000000004e-06
1459608560870,2.87,5.43e-06
1459608560880,2.87,3.62e-06
1459608560890,2.87,3.62e-06
1459608560900,2.87,3.62e-06
1459608560910,2.87,3.982e-06
1459608560920,2.87,3.62e-06
1459608560930,2.87,5.43e-06
1459608560940,2.87,4.706e-06
1459608560950,2.87,6.877999999999999e-06
1459608560960,2.87,5.0680000000000004e-06
1459608560970,2.87,5.792000000000001e-06
1459608560980,2.87,5.0680000000000004e-06
1459608560990,2.87,6.154e-06
1459608561000,2.87,5.0680000000000004e-06
1459608561010,2.87,6.877999999999999e-06
1459608561020,2.87,4.343999999999999e-06
1459608561030,2.87,5.0680000000000004e-06
1459608561040,2.87,6.154e-06
1459608561050,2.87,5.0680000000000004e-06
1459608561060,2.87,6.154e-06
1459608561070,2.87,3.982e-06
1459608561080,2.87,4.706e-06
1459608561090,2.87,4.343999999999999e-06
1459608561100,2.87,4.343999999999999e-06
1459608561110,2.87,3.982e-06
1459608561120,2.87,3.62e-06
1459608561130,2.87,4.706e-06
1459608561140,2.87,5.792000000000001e-06
1459608561150,2.87,2.8960000000000003e-06
1459608561160,2.87,4.706e-06
1459608561170,2.87,4.343999999999999e-06
1459608561180,2.87,3.982e-06
1459608561190,2.87,3.62e-06
1459608561200,2.87,4.706e-06
1459608561210,2.87,5.792000000000001e-06
1459608561220,2.87,4.343999999999999e-06
1459608561230,2.87,5.792000000000001e-06
1459608561240,2.87,5.0680000000000004e-06
1459608561250,2.87,5.43e-06
1459608561260,2.87,5.0680000000000004e-06
1459608561270,2.87,5.0680000000000004e-06
1459608561280,2.87,7.24e-06
1459608561290,2.87,6.877999999999999e-06
1459608561300,2.87,6.877999999999999e-06
1459608561310,2.87,7.602e-06
1459608561320,2.87,7.964e-06
1459608561330,2.87,8.687999999999999e-06
1459608561340,2.87,1.1584000000000001e-05
1459608561350,2.87,2.2805999999999998e-05
1459608561360,2.87,3.439e-05
1459608561370,2.87,7.4572e-05
1459608561380,2.87,8.3622e-05
1459608561390,2.87,0.00017738
1459608561400,2.87,0.00014480000000000002
1459608561410,2.87,0.000199462
1459608561420,2.87,0.000160366
1459608561430,2.87,0.00021611400000000003
1459608561440,2.87,0.000174122
1459608561450,2.87,0.000238558
1459608561460,2.87,0.00017376
1459608561470,2.87,0.000226612
1459608561480,2.87,0.000156746
1459608561490,2.87,0.000150592
1459608561500,2.87,9.231e-05
1459608561510,2.87,8.0002e-05
1459608561520,2.87,5.429999999999999e-05
1459608561530,2.87,6.335e-05
1459608561540,2.87,4.9956e-05
1459608561550,2.87,5.9368000000000005e-05
1459608561560,2.87,3.4028e-05
1459608561570,2.87,3.6924e-05
1459608561580,2.87,2.6426e-05
1459608561590,2.87,3.5838000000000005e-05
1459608561600,2.87,2.8598000000000003e-05
1459608561610,2.87,5.7558e-05
1459608561620,2.87,5.6834e-05
1459608561630,2.87,0.000148782
1459608561640,2.87,0.000142266
1459608561650,2.87,0.000226612
1459608561660,2.87,0.00012054600000000001
1459608561670,2.87,9.267200000000001e-05
1459608561680,2.87,4.3802e-05
1459608561690,2.87,3.2942e-05
1459608561700,2.87,1.7738e-05
1459608561710,2.87,1.7014e-05
1459608561720,2.87,1.0136000000000001e-05
1459608561730,2.87,9.412e-06
1459608561740,2.87,7.24e-06
1459608561750,2.87,7.964e-06
1459608561760,2.87,7.24e-06
1459608561770,2.87,7.602e-06
1459608561780,2.87,5.0680000000000004e-06
1459608561790,2.87,5.43e-06
1459608561800,2.87,4.343999999999999e-06
1459608561810,2.87,5.0680000000000004e-06
1459608561820,2.87,5.792000000000001e-06
1459608561830,2.87,9.774e-06
1459608561840,2.87,8.687999999999999e-06
1459608561850,2.87,1.9548e-05
1459608561860,2.87,1.5566e-05
1459608561870,2.87,2.715e-05
1459608561880,2.87,2.534e-05
1459608561890,2.87,4.344e-05
1459608561900,2.87,2.9684000000000002e-05
1459608561910,2.87,4.6336000000000005e-05
1459608561920,2.87,3.5838000000000005e-05
1459608561930,2.87,5.249e-05
1459608561940,2.87,3.8734e-05
1459608561950,2.87,5.7558e-05
1459608561960,2.87,3.9096e-05
1459608561970,2.87,4.1992e-05
1459608561980,2.87,2.534e-05
1459608561990,2.87,2.6426e-05
1459608562000,2.87,1.629e-05
1459608562010,2.87,1.4118e-05
1459608562020,2.87,1.1945999999999999e-05
1459608562030,2.87,1.4118e-05
1459608562040,2.87,1.0136000000000001e-05
1459608562050,2.87,1.0136000000000001e-05
1459608562060,2.87,6.877999999999999e-06
1459608562070,2.87,1.0498e-05
1459608562080,2.87,7.24e-06
1459608562090,2.87,9.05e-06
1459608562100,2.87,5.792000000000001e-06
1459608562110,2.87,6.516e-06
1459608562120,2.87,6.516e-06
1459608562130,2.87,7.602e-06
1459608562140,2.87,5.792000000000001e-06
1459608562150,2.87,6.877999999999999e-06
