Timestamp,position,BLMTI.06L7.B2I10_TCLA.A6L7.B2
1459606725480,2.12,7.240000000000001e-07
1459606725490,2.12,1.0859999999999999e-06
1459606725500,2.12,3.6200000000000004e-07
1459606725510,2.12,1.81e-06
1459606725520,2.105,3.6200000000000004e-07
1459606725530,2.105,2.1719999999999997e-06
1459606725540,2.105,1.0859999999999999e-06
1459606725550,2.105,2.5340000000000002e-06
1459606725560,2.105,1.4480000000000002e-06
1459606725570,2.105,2.1719999999999997e-06
1459606725580,2.105,1.4480000000000002e-06
1459606725590,2.105,2.5340000000000002e-06
1459606725600,2.105,1.4480000000000002e-06
1459606725610,2.105,1.81e-06
1459606725620,2.105,2.1719999999999997e-06
1459606725630,2.105,1.0859999999999999e-06
1459606725640,2.105,1.4480000000000002e-06
1459606725650,2.105,3.258e-06
1459606725660,2.105,1.4480000000000002e-06
1459606725670,2.105,2.1719999999999997e-06
1459606725680,2.105,1.0859999999999999e-06
1459606725690,2.105,2.5340000000000002e-06
1459606725700,2.105,1.0859999999999999e-06
1459606725710,2.105,3.258e-06
1459606725720,2.105,1.4480000000000002e-06
1459606725730,2.105,4.343999999999999e-06
1459606725740,2.105,2.5340000000000002e-06
1459606725750,2.105,3.258e-06
1459606725760,2.105,2.5340000000000002e-06
1459606725770,2.105,7.964e-06
1459606725780,2.105,1.448e-05
1459606725790,2.105,1.8100000000000003e-05
1459606725800,2.105,8.651799999999999e-05
1459606725810,2.105,9.9912e-05
1459606725820,2.105,0.00013430200000000002
1459606725830,2.105,0.000239282
1459606725840,2.105,0.00013937
1459606725850,2.105,0.000201996
1459606725860,2.105,0.000214666
1459606725870,2.105,0.00015204
1459606725880,2.105,0.00020380599999999998
1459606725890,2.105,0.00012308
1459606725900,2.105,0.000149144
1459606725910,2.105,0.000131406
1459606725920,2.105,0.000136474
1459606725930,2.105,0.000154212
1459606725940,2.105,0.00010136
1459606725950,2.105,0.00014805799999999998
1459606725960,2.105,0.000138284
1459606725970,2.105,0.000122356
1459606725980,2.105,0.000100274
1459606725990,2.105,6.4798e-05
1459606726000,2.105,5.3938000000000004e-05
1459606726010,2.105,4.9956e-05
1459606726020,2.105,3.5114e-05
1459606726030,2.105,3.5838000000000005e-05
1459606726040,2.105,1.7014e-05
1459606726050,2.105,2.534e-05
1459606726060,2.105,1.1945999999999999e-05
1459606726070,2.105,1.3755999999999998e-05
1459606726080,2.105,1.267e-05
1459606726090,2.105,9.774e-06
1459606726100,2.105,8.326e-06
1459606726110,2.105,6.516e-06
1459606726120,2.105,3.258e-06
1459606726130,2.105,5.43e-06
1459606726140,2.105,4.706e-06
1459606726150,2.105,8.687999999999999e-06
1459606726160,2.105,5.43e-06
1459606726170,2.105,1.1945999999999999e-05
1459606726180,2.105,1.448e-05
1459606726190,2.105,1.7738e-05
1459606726200,2.105,3.5476e-05
1459606726210,2.105,3.1856e-05
1459606726220,2.105,2.9321999999999998e-05
1459606726230,2.105,2.2082e-05
1459606726240,2.105,1.5204e-05
1459606726250,2.105,2.4616e-05
1459606726260,2.105,1.3032e-05
1459606726270,2.105,1.4118e-05
1459606726280,2.105,7.602e-06
1459606726290,2.105,8.687999999999999e-06
1459606726300,2.105,8.687999999999999e-06
1459606726310,2.105,1.086e-05
1459606726320,2.105,1.1945999999999999e-05
1459606726330,2.105,1.991e-05
1459606726340,2.105,1.448e-05
1459606726350,2.105,2.896e-05
1459606726360,2.105,1.9548e-05
1459606726370,2.105,2.7874e-05
1459606726380,2.105,1.267e-05
1459606726390,2.105,9.412e-06
1459606726400,2.105,5.0680000000000004e-06
1459606726410,2.105,2.5340000000000002e-06
1459606726420,2.105,2.8960000000000003e-06
1459606726430,2.105,2.1719999999999997e-06
1459606726440,2.105,1.81e-06
1459606726450,2.105,2.1719999999999997e-06
1459606726460,2.105,2.5340000000000002e-06
1459606726470,2.105,2.5340000000000002e-06
1459606726480,2.105,2.1719999999999997e-06
1459606726490,2.105,5.0680000000000004e-06
1459606726500,2.105,4.343999999999999e-06
1459606726510,2.105,5.43e-06
1459606726520,2.105,5.792000000000001e-06
1459606726530,2.105,6.154e-06
1459606726540,2.105,6.154e-06
1459606726550,2.105,1.3032e-05
1459606726560,2.105,1.2308e-05
1459606726570,2.105,2.0634e-05
1459606726580,2.105,1.8824e-05
1459606726590,2.105,3.4751999999999995e-05
1459606726600,2.105,2.896e-05
1459606726610,2.105,4.2716e-05
1459606726620,2.105,3.3666e-05
1459606726630,2.105,2.3168000000000002e-05
1459606726640,2.105,2.353e-05
1459606726650,2.105,1.5566e-05
1459606726660,2.105,1.5204e-05
1459606726670,2.105,1.8824e-05
1459606726680,2.105,1.8462e-05
1459606726690,2.105,2.353e-05
1459606726700,2.105,2.2805999999999998e-05
1459606726710,2.105,4.3078e-05
1459606726720,2.105,5.5023999999999994e-05
1459606726730,2.105,7.9278e-05
1459606726740,2.105,9.4844e-05
1459606726750,2.105,0.000102446
1459606726760,2.105,0.00011041
1459606726770,2.105,0.00012127
1459606726780,2.105,8.7242e-05
1459606726790,2.105,6.8056e-05
1459606726800,2.105,3.1494e-05
1459606726810,2.105,2.3891999999999998e-05
