Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608456120,-3.4,2.5340000000000002e-06
1459608456130,-3.4,2.1719999999999997e-06
1459608456140,-3.4,2.8960000000000003e-06
1459608456150,-3.4,2.5340000000000002e-06
1459608456160,-3.4,2.8960000000000003e-06
1459608456170,-3.345,1.4480000000000002e-06
1459608456180,-3.345,2.8960000000000003e-06
1459608456190,-3.345,2.1719999999999997e-06
1459608456200,-3.345,4.706e-06
1459608456210,-3.345,3.62e-06
1459608456220,-3.345,5.0680000000000004e-06
1459608456230,-3.345,4.343999999999999e-06
1459608456240,-3.345,3.258e-06
1459608456250,-3.345,2.1719999999999997e-06
1459608456260,-3.345,2.5340000000000002e-06
1459608456270,-3.345,3.258e-06
1459608456280,-3.345,1.4480000000000002e-06
1459608456290,-3.345,1.0859999999999999e-06
1459608456300,-3.345,2.5340000000000002e-06
1459608456310,-3.345,1.0859999999999999e-06
1459608456320,-3.345,2.1719999999999997e-06
1459608456330,-3.345,1.81e-06
1459608456340,-3.345,1.81e-06
1459608456350,-3.345,1.0859999999999999e-06
1459608456360,-3.345,1.0859999999999999e-06
1459608456370,-3.345,1.0859999999999999e-06
1459608456380,-3.345,7.240000000000001e-07
1459608456390,-3.345,1.4480000000000002e-06
1459608456400,-3.345,1.81e-06
1459608456410,-3.345,1.4480000000000002e-06
1459608456420,-3.345,1.81e-06
1459608456430,-3.345,0.0
1459608456440,-3.345,2.5340000000000002e-06
1459608456450,-3.345,7.240000000000001e-07
1459608456460,-3.345,1.4480000000000002e-06
1459608456470,-3.345,1.4480000000000002e-06
1459608456480,-3.345,1.81e-06
1459608456490,-3.345,1.0859999999999999e-06
1459608456500,-3.345,4.343999999999999e-06
1459608456510,-3.345,2.1719999999999997e-06
1459608456520,-3.345,7.602e-06
1459608456530,-3.345,7.602e-06
1459608456540,-3.345,1.1222e-05
1459608456550,-3.345,1.086e-05
1459608456560,-3.345,1.086e-05
1459608456570,-3.345,8.687999999999999e-06
1459608456580,-3.345,1.1222e-05
1459608456590,-3.345,8.326e-06
1459608456600,-3.345,1.3394000000000001e-05
1459608456610,-3.345,1.0136000000000001e-05
1459608456620,-3.345,1.1584000000000001e-05
1459608456630,-3.345,1.0498e-05
1459608456640,-3.345,1.1584000000000001e-05
1459608456650,-3.345,9.412e-06
1459608456660,-3.345,9.774e-06
1459608456670,-3.345,6.877999999999999e-06
1459608456680,-3.345,7.602e-06
1459608456690,-3.345,5.43e-06
1459608456700,-3.345,5.792000000000001e-06
1459608456710,-3.345,4.706e-06
1459608456720,-3.345,5.43e-06
1459608456730,-3.345,4.706e-06
1459608456740,-3.345,3.982e-06
