Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1459607588570,-3.66,2.1719999999999997e-06
1459607588580,-3.66,1.81e-06
1459607588590,-3.66,2.1719999999999997e-06
1459607588600,-3.66,2.5340000000000002e-06
1459607588610,-3.66,2.5340000000000002e-06
1459607588620,-3.66,2.1719999999999997e-06
1459607588630,-3.66,3.258e-06
1459607588640,-3.66,2.5340000000000002e-06
1459607588650,-3.66,4.343999999999999e-06
1459607588660,-3.66,3.62e-06
1459607588670,-3.66,6.516e-06
1459607588680,-3.66,6.154e-06
1459607588690,-3.66,7.964e-06
1459607588700,-3.66,8.687999999999999e-06
1459607588710,-3.66,5.43e-06
1459607588720,-3.66,6.516e-06
1459607588730,-3.66,3.982e-06
1459607588740,-3.66,4.706e-06
1459607588750,-3.66,2.8960000000000003e-06
1459607588760,-3.66,5.43e-06
1459607588770,-3.66,3.258e-06
1459607588780,-3.66,5.43e-06
1459607588790,-3.66,2.1719999999999997e-06
1459607588800,-3.66,5.43e-06
1459607588810,-3.66,2.5340000000000002e-06
1459607588820,-3.66,6.877999999999999e-06
1459607588830,-3.66,6.877999999999999e-06
1459607588840,-3.66,1.1945999999999999e-05
1459607588850,-3.66,1.3032e-05
1459607588860,-3.66,1.2308e-05
1459607588870,-3.66,1.1945999999999999e-05
1459607588880,-3.66,1.0136000000000001e-05
1459607588890,-3.66,7.964e-06
1459607588900,-3.66,6.154e-06
1459607588910,-3.66,3.62e-06
1459607588920,-3.66,3.982e-06
1459607588930,-3.66,3.62e-06
1459607588940,-3.6,3.258e-06
1459607588950,-3.6,4.706e-06
1459607588960,-3.6,3.982e-06
1459607588970,-3.6,4.343999999999999e-06
1459607588980,-3.6,5.0680000000000004e-06
1459607588990,-3.6,3.62e-06
1459607589000,-3.6,4.706e-06
1459607589010,-3.6,3.62e-06
1459607589020,-3.6,5.43e-06
1459607589030,-3.6,3.62e-06
1459607589040,-3.6,5.0680000000000004e-06
1459607589050,-3.6,3.982e-06
1459607589060,-3.6,2.5340000000000002e-06
1459607589070,-3.6,2.1719999999999997e-06
1459607589080,-3.6,1.4480000000000002e-06
1459607589090,-3.6,1.81e-06
1459607589100,-3.6,1.81e-06
1459607589110,-3.6,2.5340000000000002e-06
1459607589120,-3.6,2.8960000000000003e-06
1459607589130,-3.6,2.8960000000000003e-06
1459607589140,-3.6,2.1719999999999997e-06
1459607589150,-3.6,3.258e-06
1459607589160,-3.6,3.62e-06
1459607589170,-3.6,1.81e-06
1459607589180,-3.6,3.982e-06
1459607589190,-3.6,2.1719999999999997e-06
1459607589200,-3.6,1.0859999999999999e-06
1459607589210,-3.6,2.1719999999999997e-06
1459607589220,-3.6,1.4480000000000002e-06
1459607589230,-3.6,1.4480000000000002e-06
1459607589240,-3.6,1.0859999999999999e-06
1459607589250,-3.6,1.81e-06
1459607589260,-3.6,7.240000000000001e-07
1459607589270,-3.6,7.240000000000001e-07
1459607589280,-3.6,2.5340000000000002e-06
1459607589290,-3.6,7.240000000000001e-07
1459607589300,-3.6,2.5340000000000002e-06
1459607589310,-3.6,7.240000000000001e-07
1459607589320,-3.6,2.1719999999999997e-06
1459607589330,-3.6,1.4480000000000002e-06
1459607589340,-3.6,2.1719999999999997e-06
1459607589350,-3.6,7.240000000000001e-07
1459607589360,-3.6,2.1719999999999997e-06
1459607589370,-3.6,0.0
1459607589380,-3.6,1.81e-06
1459607589390,-3.6,0.0
1459607589400,-3.6,1.81e-06
1459607589410,-3.6,3.6200000000000004e-07
1459607589420,-3.6,1.81e-06
1459607589430,-3.6,1.4480000000000002e-06
1459607589440,-3.6,3.6200000000000004e-07
1459607589450,-3.6,2.5340000000000002e-06
1459607589460,-3.6,0.0
1459607589470,-3.6,1.4480000000000002e-06
1459607589480,-3.6,1.4480000000000002e-06
1459607589490,-3.6,2.8960000000000003e-06
1459607589500,-3.6,1.81e-06
1459607589510,-3.6,3.258e-06
1459607589520,-3.6,5.0680000000000004e-06
1459607589530,-3.6,6.516e-06
1459607589540,-3.6,4.706e-06
1459607589550,-3.6,7.24e-06
1459607589560,-3.6,7.602e-06
1459607589570,-3.6,1.6652e-05
1459607589580,-3.6,5.43e-06
1459607589590,-3.6,1.4118e-05
1459607589600,-3.6,7.24e-06
1459607589610,-3.6,1.7014e-05
1459607589620,-3.6,1.629e-05
1459607589630,-3.6,2.4978e-05
1459607589640,-3.6,2.2444e-05
1459607589650,-3.6,2.715e-05
1459607589660,-3.6,3.801e-05
1459607589670,-3.6,4.4888e-05
1459607589680,-3.6,3.7648e-05
1459607589690,-3.6,4.4526e-05
1459607589700,-3.6,3.5838000000000005e-05
1459607589710,-3.6,3.5838000000000005e-05
1459607589720,-3.6,2.3168000000000002e-05
1459607589730,-3.6,2.6788000000000002e-05
1459607589740,-3.6,1.8462e-05
1459607589750,-3.6,2.3168000000000002e-05
1459607589760,-3.6,1.629e-05
1459607589770,-3.6,2.2805999999999998e-05
1459607589780,-3.6,2.0272000000000002e-05
1459607589790,-3.6,2.3891999999999998e-05
1459607589800,-3.6,2.0996e-05
1459607589810,-3.6,2.2444e-05
1459607589820,-3.6,1.2308e-05
1459607589830,-3.6,1.6652e-05
1459607589840,-3.6,1.1584000000000001e-05
1459607589850,-3.6,1.1222e-05
1459607589860,-3.6,1.3755999999999998e-05
1459607589870,-3.6,1.7014e-05
1459607589880,-3.6,1.1945999999999999e-05
1459607589890,-3.6,1.5566e-05
1459607589900,-3.6,1.1584000000000001e-05
1459607589910,-3.6,1.267e-05
1459607589920,-3.6,8.326e-06
1459607589930,-3.6,1.2308e-05
1459607589940,-3.6,1.3755999999999998e-05
1459607589950,-3.6,1.3032e-05
1459607589960,-3.6,1.629e-05
1459607589970,-3.6,2.172e-05
1459607589980,-3.6,1.5928e-05
1459607589990,-3.6,2.172e-05
1459607590000,-3.6,1.3032e-05
1459607590010,-3.6,1.448e-05
1459607590020,-3.6,1.1222e-05
1459607590030,-3.6,1.3755999999999998e-05
1459607590040,-3.6,1.3755999999999998e-05
1459607590050,-3.6,2.2082e-05
1459607590060,-3.6,2.1358e-05
1459607590070,-3.6,4.1992e-05
