Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1459601006900,9.06,0.0
1459601006910,9.06,3.6200000000000004e-07
1459601006920,9.06,0.0
1459601006930,9.06,3.6200000000000004e-07
1459601006940,9.06,1.0859999999999999e-06
1459601006950,9.06,3.6200000000000004e-07
1459601006960,9.06,3.6200000000000004e-07
1459601006970,9.06,0.0
1459601006980,9.06,7.240000000000001e-07
1459601006990,9.06,0.0
1459601007000,9.06,3.6200000000000004e-07
1459601007010,9.06,0.0
1459601007020,9.06,3.6200000000000004e-07
1459601007030,9.06,0.0
1459601007040,9.06,7.240000000000001e-07
1459601007050,9.06,0.0
1459601007060,9.06,7.240000000000001e-07
1459601007070,9.06,0.0
1459601007080,9.06,3.6200000000000004e-07
1459601007090,9.06,0.0
1459601007100,9.06,0.0
1459601007110,9.06,0.0
1459601007120,9.06,7.240000000000001e-07
1459601007130,9.06,0.0
1459601007140,9.06,0.0
1459601007150,9.06,0.0
1459601007160,9.06,0.0
1459601007170,9.06,3.6200000000000004e-07
1459601007180,9.06,3.6200000000000004e-07
1459601007190,9.06,0.0
1459601007200,9.06,7.240000000000001e-07
1459601007210,9.06,0.0
1459601007220,9.06,0.0
1459601007230,9.06,0.0
1459601007240,9.06,7.240000000000001e-07
1459601007250,9.06,0.0
1459601007260,9.06,3.6200000000000004e-07
1459601007270,9.06,0.0
1459601007280,9.06,3.6200000000000004e-07
1459601007290,9.06,0.0
1459601007300,9.06,7.240000000000001e-07
1459601007310,9.06,0.0
1459601007320,9.06,3.6200000000000004e-07
1459601007330,9.06,0.0
1459601007340,9.06,7.240000000000001e-07
1459601007350,9.06,0.0
1459601007360,9.06,7.240000000000001e-07
1459601007370,9.06,0.0
1459601007380,9.06,0.0
1459601007390,9.06,0.0
1459601007400,9.06,1.0859999999999999e-06
1459601007410,9.06,0.0
1459601007420,9.06,7.240000000000001e-07
1459601007430,9.06,0.0
1459601007440,9.06,3.6200000000000004e-07
1459601007450,9.06,0.0
1459601007460,9.06,3.6200000000000004e-07
1459601007470,9.06,0.0
1459601007480,9.06,7.240000000000001e-07
1459601007490,9.06,0.0
1459601007500,9.06,7.240000000000001e-07
1459601007510,9.06,0.0
1459601007520,9.06,3.6200000000000004e-07
1459601007530,9.06,0.0
1459601007540,9.06,3.6200000000000004e-07
1459601007550,9.06,0.0
1459601007560,9.06,7.240000000000001e-07
1459601007570,9.06,3.6200000000000004e-07
1459601007580,9.06,7.240000000000001e-07
1459601007590,9.06,0.0
1459601007600,9.06,7.240000000000001e-07
1459601007610,9.06,0.0
1459601007620,9.06,1.0859999999999999e-06
1459601007630,9.06,0.0
1459601007640,9.06,3.6200000000000004e-07
1459601007650,9.06,0.0
1459601007660,9.06,3.6200000000000004e-07
1459601007670,9.06,0.0
1459601007680,9.06,7.240000000000001e-07
1459601007690,9.06,0.0
1459601007700,9.06,3.6200000000000004e-07
1459601007710,9.06,0.0
1459601007720,9.06,3.6200000000000004e-07
1459601007730,9.06,0.0
1459601007740,9.06,1.0859999999999999e-06
1459601007750,9.06,0.0
1459601007760,9.06,3.6200000000000004e-07
1459601007770,9.06,3.6200000000000004e-07
1459601007780,9.06,7.240000000000001e-07
1459601007790,9.06,0.0
1459601007800,9.06,7.240000000000001e-07
1459601007810,9.06,3.6200000000000004e-07
1459601007820,9.06,3.6200000000000004e-07
1459601007830,9.06,0.0
1459601007840,9.06,1.4480000000000002e-06
1459601007850,9.06,0.0
1459601007860,9.06,7.240000000000001e-07
1459601007870,9.06,0.0
1459601007880,9.06,7.240000000000001e-07
1459601007890,9.06,0.0
1459601007900,9.06,0.0
1459601007910,9.06,0.0
1459601007920,9.06,1.4480000000000002e-06
1459601007930,9.06,0.0
1459601007940,9.06,7.240000000000001e-07
1459601007950,9.06,0.0
1459601007960,9.06,3.6200000000000004e-07
1459601007970,9.06,0.0
1459601007980,9.06,1.0859999999999999e-06
1459601007990,9.06,0.0
1459601008000,9.06,0.0
1459601008010,9.06,0.0
1459601008020,9.06,1.0859999999999999e-06
1459601008030,9.06,0.0
1459601008040,9.06,0.0
1459601008050,9.06,0.0
1459601008060,9.06,7.240000000000001e-07
1459601008070,9.06,0.0
1459601008080,9.06,7.240000000000001e-07
1459601008090,8.99,0.0
1459601008100,8.99,0.0
1459601008110,8.99,0.0
1459601008120,8.99,3.6200000000000004e-07
1459601008130,8.99,0.0
1459601008140,8.99,3.6200000000000004e-07
1459601008150,8.99,0.0
1459601008160,8.99,3.6200000000000004e-07
1459601008170,8.99,0.0
1459601008180,8.99,1.0859999999999999e-06
1459601008190,8.99,0.0
1459601008200,8.99,7.240000000000001e-07
1459601008210,8.99,0.0
1459601008220,8.99,3.6200000000000004e-07
1459601008230,8.99,0.0
1459601008240,8.99,1.0859999999999999e-06
1459601008250,8.99,0.0
1459601008260,8.99,3.6200000000000004e-07
1459601008270,8.99,0.0
1459601008280,8.99,1.0859999999999999e-06
1459601008290,8.99,0.0
1459601008300,8.99,2.5340000000000002e-06
1459601008310,8.99,3.6200000000000004e-07
1459601008320,8.99,1.81e-06
1459601008330,8.99,2.8960000000000003e-06
1459601008340,8.99,5.0680000000000004e-06
1459601008350,8.99,6.154e-06
1459601008360,8.99,7.24e-06
1459601008370,8.99,7.602e-06
1459601008380,8.99,7.964e-06
1459601008390,8.99,7.964e-06
1459601008400,8.99,8.326e-06
1459601008410,8.99,7.24e-06
1459601008420,8.99,7.24e-06
1459601008430,8.99,5.792000000000001e-06
1459601008440,8.99,4.343999999999999e-06
1459601008450,8.99,3.258e-06
1459601008460,8.99,3.258e-06
1459601008470,8.99,2.5340000000000002e-06
1459601008480,8.99,2.5340000000000002e-06
1459601008490,8.99,2.5340000000000002e-06
1459601008500,8.99,2.1719999999999997e-06
1459601008510,8.99,1.0859999999999999e-06
1459601008520,8.99,1.0859999999999999e-06
1459601008530,8.99,1.0859999999999999e-06
1459601008540,8.99,2.8960000000000003e-06
1459601008550,8.99,7.240000000000001e-07
1459601008560,8.99,2.1719999999999997e-06
1459601008570,8.99,3.6200000000000004e-07
1459601008580,8.99,2.1719999999999997e-06
1459601008590,8.99,0.0
1459601008600,8.99,1.81e-06
1459601008610,8.99,0.0
1459601008620,8.99,1.0859999999999999e-06
1459601008630,8.99,0.0
1459601008640,8.99,1.0859999999999999e-06
1459601008650,8.99,7.240000000000001e-07
1459601008660,8.99,1.0859999999999999e-06
1459601008670,8.99,3.6200000000000004e-07
1459601008680,8.99,7.240000000000001e-07
1459601008690,8.99,1.0859999999999999e-06
1459601008700,8.99,1.0859999999999999e-06
1459601008710,8.99,3.6200000000000004e-07
1459601008720,8.99,1.0859999999999999e-06
1459601008730,8.99,7.240000000000001e-07
1459601008740,8.99,3.6200000000000004e-07
1459601008750,8.99,3.6200000000000004e-07
1459601008760,8.99,1.4480000000000002e-06
1459601008770,8.99,0.0
1459601008780,8.99,7.240000000000001e-07
1459601008790,8.99,0.0
1459601008800,8.99,7.240000000000001e-07
1459601008810,8.99,0.0
1459601008820,8.99,1.0859999999999999e-06
1459601008830,8.99,0.0
1459601008840,8.99,0.0
