Timestamp,position,BLMTI.04R2.B1I10_TCLIA.4R2
1459606235440,8.695,2.5340000000000002e-06
1459606235450,8.695,2.1719999999999997e-06
1459606235460,8.695,1.4480000000000002e-06
1459606235470,8.695,1.0859999999999999e-06
1459606235480,8.695,1.0859999999999999e-06
1459606235490,8.695,1.0859999999999999e-06
1459606235500,8.695,7.240000000000001e-07
1459606235510,8.695,0.0
1459606235520,8.695,7.240000000000001e-07
1459606235530,8.695,3.6200000000000004e-07
1459606235540,8.695,7.240000000000001e-07
1459606235550,8.695,1.0859999999999999e-06
1459606235560,8.695,1.0859999999999999e-06
1459606235570,8.695,1.4480000000000002e-06
1459606235580,8.695,0.0
1459606235590,8.695,3.6200000000000004e-07
1459606235600,8.695,0.0
1459606235610,8.695,1.0859999999999999e-06
1459606235620,8.695,1.0859999999999999e-06
1459606235630,8.695,7.240000000000001e-07
1459606235640,8.695,1.81e-06
1459606235650,8.695,4.343999999999999e-06
1459606235660,8.695,2.5340000000000002e-06
1459606235670,8.695,2.5340000000000002e-06
1459606235680,8.695,2.8960000000000003e-06
1459606235690,8.695,5.43e-06
1459606235700,8.695,5.0680000000000004e-06
1459606235710,8.695,5.0680000000000004e-06
1459606235720,8.695,3.258e-06
1459606235730,8.695,6.516e-06
1459606235740,8.695,2.8960000000000003e-06
1459606235750,8.695,3.982e-06
1459606235760,8.695,3.982e-06
1459606235770,8.695,2.1719999999999997e-06
1459606235780,8.695,2.1719999999999997e-06
1459606235790,8.695,2.8960000000000003e-06
1459606235800,8.695,2.1719999999999997e-06
1459606235810,8.695,1.81e-06
1459606235820,8.695,1.81e-06
1459606235830,8.695,2.1719999999999997e-06
1459606235840,8.695,1.4480000000000002e-06
1459606235850,8.695,2.5340000000000002e-06
1459606235860,8.695,3.6200000000000004e-07
1459606235870,8.695,1.81e-06
1459606235880,8.695,3.6200000000000004e-07
1459606235890,8.695,1.0859999999999999e-06
1459606235900,8.695,1.81e-06
1459606235910,8.695,7.240000000000001e-07
1459606235920,8.695,7.240000000000001e-07
1459606235930,8.695,0.0
1459606235940,8.695,1.0859999999999999e-06
1459606235950,8.695,3.6200000000000004e-07
1459606235960,8.695,3.6200000000000004e-07
1459606235970,8.695,1.0859999999999999e-06
1459606235980,8.695,1.0859999999999999e-06
1459606235990,8.695,0.0
1459606236000,8.695,7.240000000000001e-07
1459606236010,8.695,7.240000000000001e-07
1459606236020,8.695,7.240000000000001e-07
1459606236030,8.695,0.0
1459606236040,8.695,2.1719999999999997e-06
1459606236050,8.695,0.0
1459606236060,8.695,0.0
1459606236070,8.695,7.240000000000001e-07
1459606236080,8.695,3.6200000000000004e-07
1459606236090,8.695,1.0859999999999999e-06
1459606236100,8.695,3.6200000000000004e-07
1459606236110,8.695,3.6200000000000004e-07
1459606236120,8.695,7.240000000000001e-07
1459606236130,8.695,1.0859999999999999e-06
1459606236140,8.695,3.6200000000000004e-07
1459606236150,8.695,0.0
1459606236160,8.695,0.0
1459606236170,8.695,0.0
1459606236180,8.695,0.0
1459606236190,8.695,0.0
1459606236200,8.695,1.0859999999999999e-06
1459606236210,8.695,1.4480000000000002e-06
1459606236220,8.695,3.6200000000000004e-07
1459606236230,8.695,1.0859999999999999e-06
1459606236240,8.695,1.4480000000000002e-06
1459606236250,8.695,1.81e-06
1459606236260,8.695,2.5340000000000002e-06
1459606236270,8.695,4.706e-06
1459606236280,8.695,4.706e-06
1459606236290,8.695,7.964e-06
1459606236300,8.695,6.516e-06
1459606236310,8.695,8.326e-06
1459606236320,8.695,7.602e-06
1459606236330,8.695,9.412e-06
1459606236340,8.695,7.964e-06
1459606236350,8.695,8.687999999999999e-06
1459606236360,8.695,7.24e-06
1459606236370,8.695,6.516e-06
1459606236380,8.695,3.62e-06
1459606236390,8.695,2.5340000000000002e-06
1459606236400,8.695,1.4480000000000002e-06
1459606236410,8.695,7.240000000000001e-07
1459606236420,8.695,0.0
1459606236430,8.695,7.240000000000001e-07
1459606236440,8.695,7.240000000000001e-07
1459606236450,8.695,0.0
1459606236460,8.695,1.0859999999999999e-06
1459606236470,8.695,7.240000000000001e-07
1459606236480,8.695,3.6200000000000004e-07
1459606236490,8.695,7.240000000000001e-07
1459606236500,8.695,7.240000000000001e-07
1459606236510,8.695,0.0
1459606236520,8.695,7.240000000000001e-07
1459606236530,8.695,1.4480000000000002e-06
1459606236540,8.695,3.6200000000000004e-07
1459606236550,8.695,0.0
1459606236560,8.695,1.4480000000000002e-06
1459606236570,8.695,1.4480000000000002e-06
1459606236580,8.695,3.6200000000000004e-07
1459606236590,8.695,1.0859999999999999e-06
1459606236600,8.695,0.0
1459606236610,8.695,1.0859999999999999e-06
1459606236620,8.695,1.0859999999999999e-06
1459606236630,8.695,3.6200000000000004e-07
1459606236640,8.695,7.240000000000001e-07
1459606236650,8.695,0.0
1459606236660,8.695,1.4480000000000002e-06
1459606236670,8.695,3.6200000000000004e-07
1459606236680,8.695,1.0859999999999999e-06
1459606236690,8.695,0.0
1459606236700,8.695,7.240000000000001e-07
1459606236710,8.695,1.81e-06
1459606236720,8.695,7.240000000000001e-07
1459606236730,8.695,2.1719999999999997e-06
1459606236740,8.695,1.4480000000000002e-06
1459606236750,8.695,2.8960000000000003e-06
1459606236760,8.695,2.8960000000000003e-06
1459606236770,8.695,3.258e-06
1459606236780,8.695,2.1719999999999997e-06
1459606236790,8.695,3.258e-06
1459606236800,8.695,2.1719999999999997e-06
1459606236810,8.695,2.1719999999999997e-06
1459606236820,8.695,1.81e-06
1459606236830,8.695,7.240000000000001e-07
1459606236840,8.695,2.1719999999999997e-06
1459606236850,8.695,1.0859999999999999e-06
1459606236860,8.695,1.4480000000000002e-06
1459606236870,8.695,0.0
1459606236880,8.695,1.0859999999999999e-06
1459606236890,8.695,3.6200000000000004e-07
1459606236900,8.695,1.0859999999999999e-06
1459606236910,8.695,1.0859999999999999e-06
1459606236920,8.695,3.6200000000000004e-07
1459606236930,8.695,1.0859999999999999e-06
1459606236940,8.695,3.6200000000000004e-07
1459606236950,8.695,7.240000000000001e-07
1459606236960,8.695,1.0859999999999999e-06
1459606236970,8.695,1.0859999999999999e-06
1459606236980,8.695,1.0859999999999999e-06
1459606236990,8.695,2.5340000000000002e-06
1459606237000,8.695,2.5340000000000002e-06
1459606237010,8.695,2.1719999999999997e-06
1459606237020,8.695,2.8960000000000003e-06
1459606237030,8.695,3.258e-06
1459606237040,8.695,1.4480000000000002e-06
1459606237050,8.695,1.81e-06
1459606237060,8.695,1.0859999999999999e-06
1459606237070,8.695,1.4480000000000002e-06
1459606237080,8.695,1.0859999999999999e-06
1459606237090,8.695,7.240000000000001e-07
1459606237100,8.695,7.240000000000001e-07
1459606237110,8.695,1.0859999999999999e-06
1459606237120,8.695,7.240000000000001e-07
1459606237130,8.695,3.6200000000000004e-07
1459606237140,8.695,3.6200000000000004e-07
1459606237150,8.695,1.0859999999999999e-06
1459606237160,8.695,0.0
1459606237170,8.695,7.240000000000001e-07
1459606237180,8.695,0.0
1459606237190,8.695,7.240000000000001e-07
1459606237200,8.695,7.240000000000001e-07
1459606237210,8.695,7.240000000000001e-07
1459606237220,8.695,7.240000000000001e-07
1459606237230,8.695,1.0859999999999999e-06
1459606237240,8.695,1.81e-06
1459606237250,8.695,1.0859999999999999e-06
1459606237260,8.695,1.0859999999999999e-06
1459606237270,8.695,7.240000000000001e-07
1459606237280,8.695,3.6200000000000004e-07
1459606237290,8.695,7.240000000000001e-07
1459606237300,8.695,1.0859999999999999e-06
1459606237310,8.695,1.81e-06
1459606237320,8.695,7.240000000000001e-07
1459606237330,8.695,1.0859999999999999e-06
1459606237340,8.695,7.240000000000001e-07
1459606237350,8.695,7.240000000000001e-07
1459606237360,8.695,1.0859999999999999e-06
1459606237370,8.695,1.4480000000000002e-06
1459606237380,8.695,7.240000000000001e-07
1459606237390,8.695,1.4480000000000002e-06
1459606237400,8.695,7.240000000000001e-07
1459606237410,8.695,1.4480000000000002e-06
1459606237420,8.695,1.81e-06
1459606237430,8.695,2.5340000000000002e-06
1459606237440,8.695,3.982e-06
1459606237450,8.695,6.877999999999999e-06
1459606237460,8.695,6.154e-06
1459606237470,8.695,8.687999999999999e-06
1459606237480,8.695,9.774e-06
1459606237490,8.695,1.1945999999999999e-05
1459606237500,8.695,1.1222e-05
1459606237510,8.695,7.602e-06
1459606237520,8.695,6.877999999999999e-06
1459606237530,8.695,7.964e-06
1459606237540,8.695,4.706e-06
1459606237550,8.695,5.792000000000001e-06
1459606237560,8.695,5.0680000000000004e-06
1459606237570,8.695,6.877999999999999e-06
1459606237580,8.695,5.0680000000000004e-06
1459606237590,8.695,8.326e-06
1459606237600,8.695,7.24e-06
1459606237610,8.695,1.3394000000000001e-05
1459606237620,8.695,9.774e-06
1459606237630,8.695,1.5928e-05
1459606237640,8.695,1.3394000000000001e-05
1459606237650,8.695,1.8100000000000003e-05
1459606237660,8.695,6.516e-06
1459606237670,8.695,1.0136000000000001e-05
1459606237680,8.695,7.602e-06
1459606237690,8.695,5.0680000000000004e-06
1459606237700,8.695,3.62e-06
1459606237710,8.695,2.1719999999999997e-06
1459606237720,8.695,2.1719999999999997e-06
1459606237730,8.695,2.1719999999999997e-06
1459606237740,8.695,1.0859999999999999e-06
1459606237750,8.695,7.240000000000001e-07
1459606237760,8.695,7.240000000000001e-07
1459606237770,8.695,7.240000000000001e-07
1459606237780,8.695,3.6200000000000004e-07
1459606237790,8.695,1.4480000000000002e-06
1459606237800,8.695,3.6200000000000004e-07
1459606237810,8.695,3.6200000000000004e-07
1459606237820,8.695,7.240000000000001e-07
1459606237830,8.695,7.240000000000001e-07
1459606237840,8.695,7.240000000000001e-07
1459606237850,8.695,3.6200000000000004e-07
1459606237860,8.695,1.0859999999999999e-06
1459606237870,8.695,7.240000000000001e-07
1459606237880,8.695,7.240000000000001e-07
1459606237890,8.695,7.240000000000001e-07
1459606237900,8.695,1.4480000000000002e-06
1459606237910,8.695,0.0
1459606237920,8.695,1.81e-06
1459606237930,8.695,0.0
1459606237940,8.695,3.6200000000000004e-07
1459606237950,8.695,7.240000000000001e-07
1459606237960,8.695,1.0859999999999999e-06
1459606237970,8.695,3.6200000000000004e-07
1459606237980,8.695,1.0859999999999999e-06
1459606237990,8.695,7.240000000000001e-07
1459606238000,8.695,1.4480000000000002e-06
1459606238010,8.695,1.4480000000000002e-06
1459606238020,8.695,1.4480000000000002e-06
1459606238030,8.695,1.81e-06
1459606238040,8.695,2.1719999999999997e-06
1459606238050,8.695,3.62e-06
1459606238060,8.695,2.8960000000000003e-06
1459606238070,8.695,3.62e-06
1459606238080,8.695,1.4480000000000002e-06
1459606238090,8.695,2.1719999999999997e-06
1459606238100,8.695,1.0859999999999999e-06
1459606238110,8.695,1.0859999999999999e-06
1459606238120,8.695,1.0859999999999999e-06
1459606238130,8.695,1.81e-06
1459606238140,8.695,1.4480000000000002e-06
1459606238150,8.695,7.240000000000001e-07
1459606238160,8.695,7.240000000000001e-07
1459606238170,8.695,3.6200000000000004e-07
1459606238180,8.695,1.0859999999999999e-06
1459606238190,8.695,0.0
1459606238200,8.695,1.0859999999999999e-06
1459606238210,8.695,3.6200000000000004e-07
1459606238220,8.695,3.6200000000000004e-07
1459606238230,8.695,0.0
1459606238240,8.695,1.4480000000000002e-06
1459606238250,8.695,3.6200000000000004e-07
1459606238260,8.695,3.6200000000000004e-07
1459606238270,8.695,1.0859999999999999e-06
1459606238280,8.695,1.0859999999999999e-06
1459606238290,8.695,1.0859999999999999e-06
1459606238300,8.695,1.0859999999999999e-06
1459606238310,8.695,1.0859999999999999e-06
1459606238320,8.695,2.1719999999999997e-06
1459606238330,8.695,3.258e-06
1459606238340,8.695,7.240000000000001e-07
1459606238350,8.695,2.8960000000000003e-06
1459606238360,8.695,1.81e-06
1459606238370,8.695,2.1719999999999997e-06
1459606238380,8.695,1.4480000000000002e-06
1459606238390,8.695,1.4480000000000002e-06
1459606238400,8.695,1.81e-06
1459606238410,8.695,2.1719999999999997e-06
1459606238420,8.695,1.81e-06
1459606238430,8.695,1.81e-06
1459606238440,8.695,1.0859999999999999e-06
1459606238450,8.695,2.1719999999999997e-06
1459606238460,8.695,2.5340000000000002e-06
1459606238470,8.695,1.4480000000000002e-06
1459606238480,8.695,7.240000000000001e-07
