collimator,angle,centre,sigma_x,sigma_y
TCP.D6R7.B2,1.5708,0.55,0.2833116403224779,0.1988479045217905
TCSG.4L3.B2,0.0,-0.2475,0.1150732827392711,0.4468359964933151
TCSG.4R3.B1,0.0,-0.3575,0.11507274618106478,0.44683524047093504
TCSG.5L3.B1,0.0,-0.6075,0.16609601132502683,0.3884226860131197
TCSG.5R3.B2,0.0,0.155,0.16609519973689676,0.38841890549398017
TCSG.6L7.B2,0.008726600000000001,0.1475,0.41187425950649265,0.1546778859127615
TCSG.6R7.B1,0.00873,-0.1825,0.4118742328882927,0.15467792687209103
TCSG.A4L7.B1,2.3492,0.6,0.25496596150605577,0.26718116705796746
TCSG.A4L7.B2,0.73478,-0.3775,0.22431208211058093,0.2981470052539111
TCSG.A4R7.B1,0.80809,-0.0675,0.24445524220442708,0.27731805680642424
TCSG.A4R7.B2,2.3056,0.4525,0.2657234319301136,0.2572586220318849
TCSG.A5L3.B2,2.9810000000000003,-0.01,0.13461691018698638,0.4169577712791712
TCSG.A5L7.B1,0.71035,0.17,0.3065436280743518,0.2715305466341425
TCSG.A5R3.B1,2.9810000000000003,-0.5325,0.1346168003352645,0.41695679810923203
TCSG.A5R7.B2,0.7086,0.1325,0.30654361052177365,0.2715306468301741
TCSG.A6L7.B1,2.4627,-0.03749999999999999,0.1419311703286464,0.3385972193976789
TCSG.A6R7.B2,2.4662,0.3675,0.1419311801532462,0.33859730206044064
TCSG.B4L7.B1,0.0,0.7875,0.2657234504679197,0.2572586624876887
TCSG.B4R7.B2,0.0,0.03,0.276698909349223,0.24757628833590647
TCSG.B5L3.B2,0.1885,-0.3825,0.15168221503965268,0.39745790326532476
TCSG.B5L7.B1,2.5046,0.022499999999999996,0.28433017785084297,0.2900490597304856
TCSG.B5L7.B2,2.4696,-0.007500000000000034,0.24812295074034169,0.3676805055373072
TCSG.B5R3.B1,0.19897,-0.2925,0.15168235038676547,0.39745682845375846
TCSG.B5R7.B1,2.4696,0.075,0.24812293333098273,0.3676806437013322
TCSG.B5R7.B2,2.5063,0.09000000000000002,0.28433016203651823,0.29004916406761144
TCSG.D4L7.B1,1.5708,-0.2575,0.4101450934484074,0.18652156784952967
TCSG.D4R7.B2,1.5708,-0.27,0.4101450674570754,0.18652164342113453
TCSG.D5L7.B2,0.8971,-0.1825,0.3287289564500042,0.2830288973874537
TCSG.D5R7.B1,0.8971,0.0925,0.32872893362703764,0.283029009132185
TCSG.E5L7.B2,2.2777,-0.08,0.34923995232637095,0.2622409619381846
TCSG.E5R7.B1,2.2776,0.0,0.3492399283121906,0.2622410665504967
TCSP.A4L6.B2,0.0,-0.27,0.5142162199366815,0.29617325713471526
TCSP.A4R6.B1,0.0,0.1225,0.511992907371125,0.29707365144005654
TCTPH.4L1.B1,0.0,-0.5525000000000002,0.39774915506882846,0.24924301779092484
TCTPH.4L2.B1,0.0,0.2474999999999996,0.15364798017853182,0.1567887900222349
TCTPH.4L5.B1,0.0,-1.2624999999999997,0.3977491287755536,0.24924300846657782
TCTPH.4L8.B1,0.0,2.6849999999999996,0.23119570884334775,0.2393937207569677
TCTPH.4R1.B2,0.0,0.009999999999999787,0.3977491037524836,0.24924300897333582
TCTPH.4R2.B2,0.0,-0.1599999999999997,0.15364793480152117,0.15678879425958483
TCTPH.4R5.B2,0.0,2.6075000000000004,0.397749210894399,0.2492430028922398
TCTPH.4R8.B2,0.0,-4.055,0.23119564962269842,0.23939372086248914
TCTPV.4L1.B1,1.571,1.847,0.39797964943040465,0.256070257131578
TCTPV.4L2.B1,1.571,-0.9725000000000001,0.15620283194596046,0.15326199552771066
TCTPV.4L5.B1,1.571,0.015000000000000124,0.3979796236601462,0.25607024874637874
TCTPV.4L8.B1,1.571,-1.1575000000000002,0.23632123463464877,0.24006527033898747
TCTPV.4R1.B2,1.5708,1.0300000000000002,0.39797959871504224,0.25607024825313174
TCTPV.4R2.B2,1.5708,-1.2325,0.1562027823301474,0.15326200113170935
TCTPV.4R5.B2,1.5708,0.4900000000000002,0.39797970458890797,0.2560702424328168
TCTPV.4R8.B2,1.5708,0.9675000000000002,0.23632117402608965,0.24006527086511895
TDI.4L2,1.571,,,
TDI.4R8,1.5708,,,
