collimator,angle,centre,sigma_x,sigma_y
TCSG.A4L7.B1,2.3492,0.64,1.0789418627218483,1.1303700663477103
TCSG.A4L7.B2,0.73478,-0.385,0.8977612816930358,1.1923919871747344
TCSG.A4R7.B1,0.80809,-0.0125,0.9637958933354089,1.0932628550075065
TCSG.A4R7.B2,2.3056,0.37,1.0462575443055924,1.012110284258159
TCSG.A5L3.B2,2.9810000000000003,-0.0125,0.5116229746382073,1.5846834218887618
TCSG.A5L7.B1,0.71035,0.1725,1.36328260074367,1.205989900981232
TCSG.A5R3.B1,2.9810000000000003,-0.5175,0.5116225658383351,1.5846796120599478
TCSG.A5R7.B2,0.7086,0.1525,1.2052364755638596,1.0672870633747362
TCSG.A6L7.B1,2.4627,-0.015,0.5494054063233472,1.3119853465180835
TCSG.A6R7.B2,2.4662,0.3675,0.5281549765738056,1.2610473277522496
TCSG.B4L7.B1,0.0,0.7775,1.0679083604357378,1.0335147609682003
TCSG.B4R7.B2,0.0,-0.035,1.0714044877880555,0.9578574810026371
TCSG.B5L3.B2,0.1885,-0.3225,0.5764810899569022,1.5105725127172072
TCSG.B5L7.B1,2.5046,0.0,1.1377647779631876,1.1590567936535745
TCSG.B5L7.B2,2.4696,-0.2325,0.9764668918282763,1.4474228591624927
TCSG.B5R3.B1,0.19897,-0.31,0.5764816474589468,1.510568322487439
TCSG.B5R7.B1,2.4696,0.0775,1.0002547817315046,1.4825455962487601
TCSG.B5R7.B2,2.5063,-0.195,1.2581790530915862,1.2831629346345224
TCSG.D4L7.B1,1.5708,-0.2175,1.6778873583631881,0.7621996928402089
TCSG.D4R7.B2,1.5708,-0.25,1.5816119839137854,0.7189830020596635
TCSG.D5L7.B2,0.8971,-0.1825,1.2615276213328914,1.0864877278384457
TCSG.D5R7.B1,0.8971,0.125,1.3680808028890956,1.177663316675402
TCSG.E5L7.B2,2.2777,-0.1075,1.3153157388539838,0.9879707254770692
TCSG.E5R7.B1,2.2776,-0.02,1.4827276893210333,1.1130781390224807
TCSP.A4L6.B2,0.0,-0.1,1.966195764710884,1.132108773213619
TCSP.A4R6.B1,0.0,0.1125,2.0672639795303844,1.2006529984677055
TCTPH.4L1.B1,0.0,-1.9600000000000009,1.0727888055113879,0.7555984592533465
TCTPH.4L2.B1,0.0,0.7725000000000009,0.5369830474884961,0.5479599071154958
TCTPH.4L5.B1,0.0,-2.0650000000000004,1.0609472527698771,0.7472580579457674
TCTPH.4L8.B1,0.0,1.370000000000001,0.5404034627465605,0.5482239035124254
TCTPH.4R1.B2,0.0,-1.3374999999999995,1.083956634414183,0.7634644011736945
TCTPH.4R2.B2,0.0,0.32750000000000057,0.6283984342912218,0.6412442437714886
TCTPH.4R5.B2,0.0,3.1975000000000007,1.0988290259287765,0.7739392597176977
TCTPH.4R8.B2,0.0,-2.657499999999999,0.5767920580466075,0.5851390906174034
TCTPV.4L1.B1,1.571,2.1149999999999998,1.0290172931419783,0.7324284220034644
TCTPV.4L2.B1,1.571,-0.5599999999999987,0.5712339677083653,0.5604793932886135
TCTPV.4L5.B1,1.571,-0.1875,1.0375775401129832,0.7385213504654573
TCTPV.4L8.B1,1.571,-1.384999999999999,0.6098446852581612,0.5948426738875899
TCTPV.4R1.B2,1.5708,1.4800000000000004,1.1167944289968041,0.7949060545760313
TCTPV.4R2.B2,1.5708,-0.9974999999999996,0.6161863560117696,0.6045857336468662
TCTPV.4R5.B2,1.5708,0.817499999999999,1.098940138759453,0.7821975877553011
TCTPV.4R8.B2,1.5708,1.3200000000000003,0.5714910753862281,0.5574325529460209
TDI.4L2,1.571,,,
TDI.4R8,1.5708,,,
