Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1469748623540,1.46,2.8960000000000003e-06
1469748623550,1.46,7.24e-06
1469748623560,1.44,7.240000000000001e-07
1469748623570,1.44,5.792000000000001e-06
1469748623580,1.44,2.1719999999999997e-06
1469748623590,1.44,6.516e-06
1469748623600,1.44,1.0859999999999999e-06
1469748623610,1.44,5.792000000000001e-06
1469748623620,1.44,3.258e-06
1469748623630,1.44,6.877999999999999e-06
1469748623640,1.44,3.258e-06
1469748623650,1.44,4.706e-06
1469748623660,1.44,3.258e-06
1469748623670,1.44,5.43e-06
1469748623680,1.44,5.0680000000000004e-06
1469748623690,1.44,5.43e-06
1469748623700,1.44,3.982e-06
1469748623710,1.44,6.516e-06
1469748623720,1.44,2.8960000000000003e-06
1469748623730,1.44,7.24e-06
1469748623740,1.44,3.258e-06
1469748623750,1.44,7.602e-06
1469748623760,1.44,0.0
1469748623770,1.44,7.24e-06
1469748623780,1.44,1.4480000000000002e-06
1469748623790,1.44,6.516e-06
1469748623800,1.44,4.706e-06
1469748623810,1.44,5.792000000000001e-06
1469748623820,1.44,6.877999999999999e-06
1469748623830,1.44,8.687999999999999e-06
1469748623840,1.44,1.4842000000000001e-05
1469748623850,1.44,1.7375999999999998e-05
1469748623860,1.44,2.9684000000000002e-05
1469748623870,1.44,3.0408e-05
1469748623880,1.44,5.0318e-05
1469748623890,1.44,5.1042e-05
1469748623900,1.44,4.959399999999999e-05
1469748623910,1.44,4.887e-05
1469748623920,1.44,5.3213999999999996e-05
1469748623930,1.44,5.249e-05
1469748623940,1.44,5.249e-05
1469748623950,1.44,5.429999999999999e-05
1469748623960,1.44,5.4662e-05
1469748623970,1.44,5.249e-05
1469748623980,1.44,5.5386e-05
1469748623990,1.44,6.1178e-05
1469748624000,1.44,6.1178e-05
1469748624010,1.44,6.2988e-05
1469748624020,1.44,6.2626e-05
1469748624030,1.44,6.1902e-05
1469748624040,1.44,6.3712e-05
1469748624050,1.44,6.0453999999999994e-05
1469748624060,1.44,5.5748e-05
1469748624070,1.44,4.959399999999999e-05
1469748624080,1.44,4.6336000000000005e-05
1469748624090,1.44,5.4662e-05
1469748624100,1.44,4.9232e-05
1469748624110,1.44,4.8146e-05
1469748624120,1.44,4.8508000000000004e-05
1469748624130,1.44,5.3576000000000003e-05
1469748624140,1.44,5.5748e-05
1469748624150,1.44,6.5884e-05
1469748624160,1.44,7.059e-05
1469748624170,1.44,7.421e-05
1469748624180,1.44,7.4934e-05
1469748624190,1.44,6.769399999999999e-05
1469748624200,1.44,6.5522e-05
1469748624210,1.44,6.3712e-05
1469748624220,1.44,5.429999999999999e-05
1469748624230,1.44,4.4888e-05
1469748624240,1.44,4.0906e-05
1469748624250,1.44,3.7286e-05
1469748624260,1.44,4.163e-05
1469748624270,1.44,4.6336000000000005e-05
1469748624280,1.44,4.4164e-05
1469748624290,1.44,5.1404e-05
1469748624300,1.44,4.4888e-05
1469748624310,1.44,5.2852e-05
1469748624320,1.44,4.5974e-05
1469748624330,1.44,5.1042e-05
