Timestamp,position,BLMTI.06R7.B1E10_TCLA.C6R7.B1
1469746982680,3.33,1.0859999999999999e-06
1469746982690,3.33,7.240000000000001e-07
1469746982700,3.31,2.8960000000000003e-06
1469746982710,3.31,3.6200000000000004e-07
1469746982720,3.31,4.343999999999999e-06
1469746982730,3.31,7.240000000000001e-07
1469746982740,3.31,4.343999999999999e-06
1469746982750,3.31,1.0859999999999999e-06
1469746982760,3.31,2.5340000000000002e-06
1469746982770,3.31,7.240000000000001e-07
1469746982780,3.31,1.81e-06
1469746982790,3.31,3.6200000000000004e-07
1469746982800,3.31,1.0859999999999999e-06
1469746982810,3.31,1.0859999999999999e-06
1469746982820,3.31,1.0859999999999999e-06
1469746982830,3.31,7.240000000000001e-07
1469746982840,3.31,1.81e-06
1469746982850,3.31,7.240000000000001e-07
1469746982860,3.31,1.81e-06
1469746982870,3.31,7.240000000000001e-07
1469746982880,3.31,1.0859999999999999e-06
1469746982890,3.31,1.0859999999999999e-06
1469746982900,3.31,1.81e-06
1469746982910,3.31,3.6200000000000004e-07
1469746982920,3.31,1.81e-06
1469746982930,3.31,7.240000000000001e-07
1469746982940,3.31,2.5340000000000002e-06
1469746982950,3.31,0.0
1469746982960,3.31,2.8960000000000003e-06
1469746982970,3.31,7.240000000000001e-07
1469746982980,3.31,1.81e-06
1469746982990,3.31,3.6200000000000004e-07
1469746983000,3.31,1.81e-06
1469746983010,3.31,1.0859999999999999e-06
1469746983020,3.31,1.0859999999999999e-06
1469746983030,3.31,1.0859999999999999e-06
1469746983040,3.31,1.0859999999999999e-06
1469746983050,3.31,7.240000000000001e-07
1469746983060,3.31,4.706e-06
1469746983070,3.31,1.9186e-05
1469746983080,3.31,2.4978e-05
1469746983090,3.31,5.611e-05
1469746983100,3.31,0.00010859999999999998
1469746983110,3.31,0.00010353200000000001
1469746983120,3.31,0.00015167799999999998
1469746983130,3.31,0.00012090799999999999
1469746983140,3.31,8.145e-05
1469746983150,3.31,4.7422e-05
1469746983160,3.31,5.9006000000000004e-05
1469746983170,3.31,9.774e-06
1469746983180,3.31,2.9321999999999998e-05
1469746983190,3.31,2.3891999999999998e-05
1469746983200,3.31,2.2805999999999998e-05
1469746983210,3.31,4.7783999999999995e-05
1469746983220,3.31,1.9186e-05
1469746983230,3.31,4.7422e-05
1469746983240,3.31,1.8462e-05
1469746983250,3.31,1.8100000000000003e-05
1469746983260,3.31,3.801e-05
1469746983270,3.31,5.5386e-05
1469746983280,3.31,1.448e-05
1469746983290,3.31,5.3938000000000004e-05
1469746983300,3.31,1.7738e-05
1469746983310,3.31,4.0544000000000003e-05
1469746983320,3.31,9.412e-06
1469746983330,3.31,1.086e-05
1469746983340,3.31,3.5114e-05
1469746983350,3.31,6.877999999999999e-06
1469746983360,3.31,1.7375999999999998e-05
1469746983370,3.31,1.81e-06
1469746983380,3.31,1.1945999999999999e-05
1469746983390,3.31,5.792000000000001e-06
1469746983400,3.31,1.267e-05
1469746983410,3.31,3.258e-06
1469746983420,3.31,1.5928e-05
1469746983430,3.31,3.258e-06
1469746983440,3.31,2.4978e-05
1469746983450,3.31,1.7738e-05
1469746983460,3.31,5.611e-05
1469746983470,3.31,7.5658e-05
1469746983480,3.31,4.525e-05
1469746983490,3.31,9.375799999999999e-05
1469746983500,3.31,7.8192e-05
1469746983510,3.31,0.000119822
1469746983520,3.31,5.7558e-05
1469746983530,3.31,6.2626e-05
1469746983540,3.31,1.9186e-05
1469746983550,3.31,5.3576000000000003e-05
1469746983560,3.31,7.964e-06
1469746983570,3.31,6.516e-06
1469746983580,3.31,7.24e-06
1469746983590,3.31,1.4480000000000002e-06
1469746983600,3.31,3.62e-06
1469746983610,3.31,1.4480000000000002e-06
1469746983620,3.31,3.982e-06
1469746983630,3.31,1.0859999999999999e-06
1469746983640,3.31,2.5340000000000002e-06
