Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1469749044450,0.885,0.000107514
1469749044460,0.885,0.000111496
1469749044470,0.885,9.231e-05
1469749044480,0.885,6.7332e-05
1469749044490,0.885,6.0816e-05
1469749044500,0.885,6.697e-05
1469749044510,0.885,6.4436e-05
1469749044520,0.885,5.792e-05
1469749044530,0.885,7.5296e-05
1469749044540,0.885,9.955e-05
1469749044550,0.885,0.00014335200000000002
1469749044560,0.885,0.000120184
1469749044570,0.885,9.231e-05
1469749044580,0.885,6.697e-05
1469749044590,0.885,7.167600000000001e-05
1469749044600,0.885,7.0952e-05
1469749044610,0.885,7.3124e-05
1469749044620,0.885,8.145e-05
1469749044630,0.885,0.00010823799999999999
1469749044640,0.885,0.000128872
1469749044650,0.885,0.00011801200000000001
1469749044660,0.885,9.122399999999999e-05
1469749044670,0.885,8.0726e-05
1469749044680,0.885,7.421e-05
1469749044690,0.885,7.9278e-05
1469749044700,0.885,8.2536e-05
1469749044710,0.885,0.000102446
1469749044720,0.885,0.000110772
1469749044730,0.885,0.000102446
1469749044740,0.885,6.9142e-05
1469749044750,0.885,5.4662e-05
1469749044760,0.885,4.9232e-05
1469749044770,0.885,4.959399999999999e-05
1469749044780,0.885,5.3938000000000004e-05
1469749044790,0.885,6.2264e-05
1469749044800,0.885,6.2264e-05
1469749044810,0.885,7.4934e-05
1469749044820,0.885,0.000102084
1469749044830,0.885,9.955e-05
1469749044840,0.885,7.276199999999999e-05
1469749044850,0.885,6.6608e-05
1469749044860,0.885,6.9142e-05
1469749044870,0.885,8.8328e-05
1469749044880,0.885,8.6156e-05
1469749044890,0.885,8.108800000000001e-05
1469749044900,0.885,7.276199999999999e-05
1469749044910,0.885,8.869e-05
1469749044920,0.885,7.8916e-05
1469749044930,0.885,6.6246e-05
1469749044940,0.885,5.6834e-05
1469749044950,0.885,6.335e-05
1469749044960,0.885,6.2988e-05
1469749044970,0.885,6.4798e-05
1469749044980,0.885,5.8643999999999996e-05
1469749044990,0.885,6.1178e-05
1469749045000,0.885,6.3712e-05
1469749045010,0.885,6.841800000000001e-05
1469749045020,0.885,5.7558e-05
1469749045030,0.885,6.1902e-05
1469749045040,0.885,6.5884e-05
1469749045050,0.885,8.0002e-05
1469749045060,0.885,8.036399999999999e-05
1469749045070,0.885,7.3848e-05
1469749045080,0.885,6.2264e-05
1469749045090,0.885,6.2264e-05
1469749045100,0.885,5.792e-05
1469749045110,0.885,6.1902e-05
1469749045120,0.885,5.7558e-05
1469749045130,0.885,6.769399999999999e-05
1469749045140,0.885,9.0138e-05
1469749045150,0.885,0.00012670000000000002
1469749045160,0.885,0.000115478
1469749045170,0.885,6.950399999999999e-05
1469749045180,0.885,5.249e-05
1469749045190,0.885,5.2128e-05
1469749045200,0.885,5.611e-05
1469749045210,0.885,5.9368000000000005e-05
1469749045220,0.885,6.2264e-05
1469749045230,0.885,6.9142e-05
1469749045240,0.885,9.918799999999999e-05
1469749045250,0.885,0.000109324
1469749045260,0.885,9.520600000000001e-05
1469749045270,0.885,7.8192e-05
1469749045280,0.885,6.8056e-05
1469749045290,0.885,6.5522e-05
1469749045300,0.885,6.950399999999999e-05
1469749045310,0.885,9.4844e-05
1469749045320,0.885,9.6292e-05
1469749045330,0.885,0.000135026
1469749045340,0.885,9.701600000000001e-05
1469749045350,0.885,7.602e-05
1469749045360,0.885,5.429999999999999e-05
1469749045370,0.885,6.7332e-05
1469749045380,0.885,5.8643999999999996e-05
1469749045390,0.885,6.7332e-05
1469749045400,0.885,7.4572e-05
