Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746993290,0.115,1.8100000000000003e-05
1469746993300,0.115,3.1856e-05
1469746993310,0.115,3.7648e-05
1469746993320,0.115,3.7286e-05
1469746993330,0.115,3.0408e-05
1469746993340,0.115,2.6788000000000002e-05
1469746993350,0.115,1.4118e-05
1469746993360,0.115,1.7738e-05
1469746993370,0.115,1.1584000000000001e-05
1469746993380,0.115,1.1945999999999999e-05
1469746993390,0.115,8.326e-06
1469746993400,0.115,7.24e-06
1469746993410,0.115,6.877999999999999e-06
1469746993420,0.115,5.792000000000001e-06
1469746993430,0.115,5.43e-06
1469746993440,0.115,3.982e-06
1469746993450,0.115,5.0680000000000004e-06
1469746993460,0.115,4.706e-06
1469746993470,0.115,9.05e-06
1469746993480,0.115,7.24e-06
1469746993490,0.115,7.602e-06
1469746993500,0.115,1.2308e-05
1469746993510,0.115,2.0634e-05
1469746993520,0.115,2.2805999999999998e-05
1469746993530,0.115,2.5702e-05
1469746993540,0.115,3.0408e-05
1469746993550,0.115,4.1992e-05
1469746993560,0.115,5.3576000000000003e-05
1469746993570,0.115,4.6698e-05
1469746993580,0.115,3.5838000000000005e-05
1469746993590,0.115,1.5928e-05
1469746993600,0.115,1.3394000000000001e-05
1469746993610,0.115,8.326e-06
1469746993620,0.115,5.0680000000000004e-06
1469746993630,0.115,6.516e-06
1469746993640,0.115,4.343999999999999e-06
1469746993650,0.115,5.0680000000000004e-06
1469746993660,0.115,3.258e-06
1469746993670,0.115,5.0680000000000004e-06
1469746993680,0.115,3.258e-06
1469746993690,0.115,4.343999999999999e-06
1469746993700,0.115,6.877999999999999e-06
1469746993710,0.115,6.154e-06
1469746993720,0.115,8.326e-06
1469746993730,0.115,7.602e-06
1469746993740,0.115,1.3755999999999998e-05
1469746993750,0.115,1.267e-05
1469746993760,0.115,7.24e-06
1469746993770,0.115,7.964e-06
1469746993780,0.115,1.3032e-05
1469746993790,0.115,1.9186e-05
1469746993800,0.115,1.5566e-05
1469746993810,0.115,7.964e-06
1469746993820,0.115,5.792000000000001e-06
1469746993830,0.115,1.1222e-05
1469746993840,0.115,1.1584000000000001e-05
1469746993850,0.115,5.792000000000001e-06
1469746993860,0.115,2.5340000000000002e-06
1469746993870,0.115,4.706e-06
1469746993880,0.115,6.154e-06
1469746993890,0.115,4.706e-06
1469746993900,0.115,3.62e-06
1469746993910,0.115,6.154e-06
1469746993920,0.115,1.4118e-05
1469746993930,0.115,1.3032e-05
1469746993940,0.115,9.774e-06
1469746993950,0.115,7.964e-06
1469746993960,0.115,1.8824e-05
1469746993970,0.115,2.3168000000000002e-05
1469746993980,0.115,3.2942e-05
1469746993990,0.115,2.172e-05
