Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1469747348520,-1.44,9.412e-06
1469747348530,-1.44,9.05e-06
1469747348540,-1.44,7.964e-06
1469747348550,-1.44,1.2308e-05
1469747348560,-1.44,7.602e-06
1469747348570,-1.44,9.05e-06
1469747348580,-1.44,6.516e-06
1469747348590,-1.44,1.0498e-05
1469747348600,-1.44,8.326e-06
1469747348610,-1.44,1.0498e-05
1469747348620,-1.44,9.774e-06
1469747348630,-1.44,9.05e-06
1469747348640,-1.44,9.774e-06
1469747348650,-1.44,1.1945999999999999e-05
1469747348660,-1.44,9.05e-06
1469747348670,-1.44,1.1222e-05
1469747348680,-1.44,1.0136000000000001e-05
1469747348690,-1.44,1.1222e-05
1469747348700,-1.44,1.0498e-05
1469747348710,-1.44,1.086e-05
1469747348720,-1.44,9.412e-06
1469747348730,-1.44,1.1945999999999999e-05
1469747348740,-1.44,1.086e-05
1469747348750,-1.44,1.086e-05
1469747348760,-1.44,9.774e-06
1469747348770,-1.44,1.1222e-05
1469747348780,-1.44,8.326e-06
1469747348790,-1.44,9.774e-06
1469747348800,-1.44,9.412e-06
1469747348810,-1.44,1.3032e-05
1469747348820,-1.44,7.964e-06
1469747348830,-1.44,9.774e-06
1469747348840,-1.44,9.05e-06
1469747348850,-1.44,1.0136000000000001e-05
1469747348860,-1.44,9.05e-06
1469747348870,-1.44,1.1945999999999999e-05
1469747348880,-1.44,8.687999999999999e-06
1469747348890,-1.44,1.1222e-05
1469747348900,-1.44,9.05e-06
1469747348910,-1.44,1.0498e-05
1469747348920,-1.44,8.687999999999999e-06
1469747348930,-1.44,9.05e-06
1469747348940,-1.44,6.877999999999999e-06
1469747348950,-1.44,8.687999999999999e-06
1469747348960,-1.44,8.326e-06
1469747348970,-1.44,7.602e-06
1469747348980,-1.44,7.964e-06
1469747348990,-1.44,7.964e-06
1469747349000,-1.44,9.412e-06
1469747349010,-1.44,7.602e-06
1469747349020,-1.44,9.412e-06
1469747349030,-1.44,9.412e-06
1469747349040,-1.44,9.774e-06
1469747349050,-1.44,1.086e-05
1469747349060,-1.44,9.05e-06
1469747349070,-1.44,9.412e-06
1469747349080,-1.44,9.05e-06
1469747349090,-1.44,9.412e-06
1469747349100,-1.44,8.326e-06
1469747349110,-1.44,1.0136000000000001e-05
1469747349120,-1.44,7.24e-06
1469747349130,-1.44,1.086e-05
1469747349140,-1.44,1.086e-05
1469747349150,-1.44,1.0136000000000001e-05
1469747349160,-1.44,9.774e-06
1469747349170,-1.44,8.687999999999999e-06
1469747349180,-1.44,1.0136000000000001e-05
1469747349190,-1.44,9.774e-06
1469747349200,-1.44,9.05e-06
1469747349210,-1.44,8.326e-06
1469747349220,-1.44,9.774e-06
1469747349230,-1.44,2.2082e-05
1469747349240,-1.44,8.326e-06
1469747349250,-1.44,1.0136000000000001e-05
1469747349260,-1.44,1.3032e-05
1469747349270,-1.44,8.687999999999999e-06
1469747349280,-1.44,1.7375999999999998e-05
1469747349290,-1.44,6.154e-06
1469747349300,-1.44,2.4254000000000002e-05
1469747349310,-1.44,1.3755999999999998e-05
1469747349320,-1.44,2.534e-05
1469747349330,-1.44,1.8824e-05
1469747349340,-1.44,1.1945999999999999e-05
1469747349350,-1.44,4.7783999999999995e-05
1469747349360,-1.44,1.4842000000000001e-05
1469747349370,-1.44,7.7468e-05
1469747349380,-1.44,2.0996e-05
1469747349390,-1.44,4.4526e-05
1469747349400,-1.44,2.534e-05
1469747349410,-1.44,3.077e-05
1469747349420,-1.44,4.2353999999999995e-05
1469747349430,-1.44,1.4118e-05
1469747349440,-1.44,3.3666e-05
1469747349450,-1.44,1.4842000000000001e-05
1469747349460,-1.44,3.1132e-05
1469747349470,-1.44,1.5928e-05
1469747349480,-1.44,1.7014e-05
1469747349490,-1.44,2.715e-05
1469747349500,-1.44,1.3032e-05
1469747349510,-1.44,2.0634e-05
1469747349520,-1.44,1.1945999999999999e-05
1469747349530,-1.44,2.2444e-05
1469747349540,-1.44,1.5204e-05
1469747349550,-1.44,1.7738e-05
1469747349560,-1.44,1.8462e-05
1469747349570,-1.44,1.3755999999999998e-05
1469747349580,-1.44,2.5702e-05
1469747349590,-1.44,1.3032e-05
1469747349600,-1.44,1.8824e-05
1469747349610,-1.44,1.5928e-05
1469747349620,-1.44,1.8100000000000003e-05
1469747349630,-1.44,2.2805999999999998e-05
1469747349640,-1.44,1.8100000000000003e-05
1469747349650,-1.44,2.3891999999999998e-05
1469747349660,-1.44,1.1945999999999999e-05
1469747349670,-1.44,1.9186e-05
1469747349680,-1.44,1.5204e-05
1469747349690,-1.44,1.4842000000000001e-05
1469747349700,-1.44,1.1945999999999999e-05
1469747349710,-1.44,9.774e-06
1469747349720,-1.44,1.5566e-05
1469747349730,-1.44,1.1222e-05
1469747349740,-1.44,1.5204e-05
1469747349750,-1.44,1.1945999999999999e-05
1469747349760,-1.44,1.4842000000000001e-05
1469747349770,-1.44,1.6652e-05
