Timestamp,position,BLMTI.05L7.B2I10_TCSG.B5L7.B2
1469748635240,1.4,2.4978e-05
1469748635250,1.4,2.3891999999999998e-05
1469748635260,1.4,2.4254000000000002e-05
1469748635270,1.4,2.2082e-05
1469748635280,1.4,2.4616e-05
1469748635290,1.4,2.4254000000000002e-05
1469748635300,1.4,2.2805999999999998e-05
1469748635310,1.4,2.4254000000000002e-05
1469748635320,1.4,2.4978e-05
1469748635330,1.4,2.3891999999999998e-05
1469748635340,1.4,2.4978e-05
1469748635350,1.4,2.6064e-05
1469748635360,1.4,3.077e-05
1469748635370,1.4,2.7874e-05
1469748635380,1.4,2.6426e-05
1469748635390,1.4,2.5702e-05
1469748635400,1.4,2.7874e-05
1469748635410,1.4,2.7511999999999997e-05
1469748635420,1.4,2.4978e-05
1469748635430,1.4,2.534e-05
1469748635440,1.4,2.4616e-05
1469748635450,1.4,2.0996e-05
1469748635460,1.4,2.2082e-05
1469748635470,1.4,2.3891999999999998e-05
1469748635480,1.4,2.4978e-05
1469748635490,1.4,2.534e-05
1469748635500,1.4,2.5702e-05
1469748635510,1.4,2.4978e-05
1469748635520,1.4,2.4978e-05
1469748635530,1.4,2.3891999999999998e-05
1469748635540,1.4,2.5702e-05
1469748635550,1.4,2.3891999999999998e-05
1469748635560,1.4,2.4978e-05
1469748635570,1.4,2.4978e-05
1469748635580,1.4,2.534e-05
1469748635590,1.4,2.6788000000000002e-05
1469748635600,1.4,2.4254000000000002e-05
1469748635610,1.4,2.2805999999999998e-05
1469748635620,1.4,2.3168000000000002e-05
1469748635630,1.4,2.172e-05
1469748635640,1.4,2.2805999999999998e-05
1469748635650,1.4,2.2444e-05
1469748635660,1.4,2.4616e-05
1469748635670,1.4,2.353e-05
1469748635680,1.4,2.5702e-05
1469748635690,1.4,2.3891999999999998e-05
1469748635700,1.4,2.4978e-05
1469748635710,1.4,2.3891999999999998e-05
1469748635720,1.4,2.3168000000000002e-05
1469748635730,1.4,2.4254000000000002e-05
1469748635740,1.4,2.5702e-05
1469748635750,1.4,2.4254000000000002e-05
1469748635760,1.4,2.5702e-05
1469748635770,1.4,2.353e-05
1469748635780,1.4,2.2805999999999998e-05
1469748635790,1.4,2.2444e-05
1469748635800,1.4,2.2444e-05
1469748635810,1.4,2.2082e-05
1469748635820,1.4,2.172e-05
1469748635830,1.4,2.353e-05
1469748635840,1.4,2.534e-05
1469748635850,1.4,2.4978e-05
1469748635860,1.4,2.4616e-05
1469748635870,1.4,2.1358e-05
1469748635880,1.4,2.3891999999999998e-05
1469748635890,1.4,2.4254000000000002e-05
1469748635900,1.4,2.3891999999999998e-05
1469748635910,1.4,2.1358e-05
1469748635920,1.4,2.2082e-05
1469748635930,1.4,2.0634e-05
1469748635940,1.4,2.4978e-05
1469748635950,1.4,2.2444e-05
1469748635960,1.4,2.4254000000000002e-05
1469748635970,1.4,2.353e-05
1469748635980,1.4,2.3891999999999998e-05
1469748635990,1.4,2.4978e-05
1469748636000,1.4,2.353e-05
1469748636010,1.4,2.4978e-05
1469748636020,1.4,2.6426e-05
1469748636030,1.4,2.534e-05
1469748636040,1.4,2.4978e-05
1469748636050,1.4,2.353e-05
1469748636060,1.4,2.5702e-05
1469748636070,1.4,2.353e-05
1469748636080,1.4,2.3891999999999998e-05
1469748636090,1.4,2.4616e-05
1469748636100,1.4,2.4616e-05
1469748636110,1.4,2.2082e-05
1469748636120,1.4,2.1358e-05
1469748636130,1.4,2.1358e-05
1469748636140,1.4,2.4616e-05
1469748636150,1.4,2.2444e-05
1469748636160,1.4,2.4616e-05
1469748636170,1.4,2.2805999999999998e-05
1469748636180,1.4,2.3168000000000002e-05
1469748636190,1.4,2.353e-05
1469748636200,1.4,2.5702e-05
1469748636210,1.4,2.6426e-05
1469748636220,1.4,2.3168000000000002e-05
1469748636230,1.4,2.2082e-05
