Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746010930,-0.895,6.516e-06
1469746010940,-0.895,3.62e-06
1469746010950,-0.895,4.343999999999999e-06
1469746010960,-0.895,5.792000000000001e-06
1469746010970,-0.895,5.792000000000001e-06
1469746010980,-0.895,8.687999999999999e-06
1469746010990,-0.895,6.516e-06
1469746011000,-0.895,7.964e-06
1469746011010,-0.895,6.154e-06
1469746011020,-0.895,7.602e-06
1469746011030,-0.895,4.343999999999999e-06
1469746011040,-0.895,6.154e-06
1469746011050,-0.895,4.343999999999999e-06
1469746011060,-0.895,5.0680000000000004e-06
1469746011070,-0.895,3.982e-06
1469746011080,-0.895,5.43e-06
1469746011090,-0.895,5.792000000000001e-06
1469746011100,-0.895,7.964e-06
1469746011110,-0.895,7.964e-06
1469746011120,-0.895,7.602e-06
1469746011130,-0.895,7.24e-06
1469746011140,-0.895,5.43e-06
1469746011150,-0.895,5.0680000000000004e-06
1469746011160,-0.875,6.154e-06
1469746011170,-0.875,1.0498e-05
1469746011180,-0.875,9.05e-06
1469746011190,-0.875,8.326e-06
1469746011200,-0.875,6.516e-06
1469746011210,-0.875,7.24e-06
1469746011220,-0.875,9.05e-06
1469746011230,-0.875,1.1945999999999999e-05
1469746011240,-0.875,1.3755999999999998e-05
1469746011250,-0.875,6.154e-06
1469746011260,-0.875,5.0680000000000004e-06
1469746011270,-0.875,2.8960000000000003e-06
1469746011280,-0.875,3.62e-06
1469746011290,-0.875,3.982e-06
1469746011300,-0.875,5.0680000000000004e-06
1469746011310,-0.875,7.964e-06
1469746011320,-0.875,1.5566e-05
1469746011330,-0.875,1.7014e-05
1469746011340,-0.875,2.0996e-05
1469746011350,-0.875,1.267e-05
1469746011360,-0.875,7.24e-06
1469746011370,-0.875,6.516e-06
1469746011380,-0.875,4.706e-06
1469746011390,-0.875,3.982e-06
1469746011400,-0.875,3.62e-06
1469746011410,-0.875,4.343999999999999e-06
1469746011420,-0.875,5.0680000000000004e-06
1469746011430,-0.875,1.086e-05
1469746011440,-0.875,1.3032e-05
1469746011450,-0.875,1.4118e-05
1469746011460,-0.875,8.326e-06
1469746011470,-0.875,6.154e-06
1469746011480,-0.875,5.0680000000000004e-06
1469746011490,-0.875,5.0680000000000004e-06
1469746011500,-0.875,5.43e-06
1469746011510,-0.875,5.43e-06
1469746011520,-0.875,7.602e-06
1469746011530,-0.875,5.0680000000000004e-06
1469746011540,-0.875,7.24e-06
1469746011550,-0.875,6.154e-06
1469746011560,-0.875,6.154e-06
1469746011570,-0.875,4.706e-06
1469746011580,-0.875,3.982e-06
1469746011590,-0.875,5.43e-06
1469746011600,-0.875,4.706e-06
1469746011610,-0.875,8.326e-06
1469746011620,-0.875,9.774e-06
1469746011630,-0.875,1.0136000000000001e-05
1469746011640,-0.875,1.086e-05
1469746011650,-0.875,1.1584000000000001e-05
1469746011660,-0.875,5.792000000000001e-06
1469746011670,-0.875,5.792000000000001e-06
1469746011680,-0.875,5.43e-06
1469746011690,-0.875,6.516e-06
1469746011700,-0.875,9.05e-06
1469746011710,-0.875,1.1584000000000001e-05
1469746011720,-0.875,1.7014e-05
1469746011730,-0.875,6.516e-06
1469746011740,-0.875,1.0136000000000001e-05
1469746011750,-0.875,4.343999999999999e-06
1469746011760,-0.875,0.00019439400000000002
1469746011770,-0.875,2.6426e-05
1469746011780,-0.875,0.000657392
1469746011790,-0.875,0.00017919
1469746011800,-0.875,0.00023819599999999998
1469746011810,-0.875,9.8826e-05
