Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1469745579110,-1.835,2.5340000000000002e-06
1469745579120,-1.835,3.258e-06
1469745579130,-1.835,2.8960000000000003e-06
1469745579140,-1.835,3.258e-06
1469745579150,-1.835,2.5340000000000002e-06
1469745579160,-1.835,3.258e-06
1469745579170,-1.835,2.5340000000000002e-06
1469745579180,-1.835,3.982e-06
1469745579190,-1.835,2.5340000000000002e-06
1469745579200,-1.835,3.982e-06
1469745579210,-1.835,1.4480000000000002e-06
1469745579220,-1.835,2.1719999999999997e-06
1469745579230,-1.835,2.1719999999999997e-06
1469745579240,-1.835,2.5340000000000002e-06
1469745579250,-1.835,1.81e-06
1469745579260,-1.835,2.8960000000000003e-06
1469745579270,-1.835,1.81e-06
1469745579280,-1.835,3.982e-06
1469745579290,-1.835,2.5340000000000002e-06
1469745579300,-1.835,3.62e-06
1469745579310,-1.835,3.62e-06
1469745579320,-1.835,3.258e-06
1469745579330,-1.835,2.5340000000000002e-06
1469745579340,-1.835,2.1719999999999997e-06
1469745579350,-1.835,2.1719999999999997e-06
1469745579360,-1.835,2.8960000000000003e-06
1469745579370,-1.835,2.8960000000000003e-06
1469745579380,-1.835,2.1719999999999997e-06
1469745579390,-1.835,1.81e-06
1469745579400,-1.835,2.8960000000000003e-06
1469745579410,-1.835,1.4480000000000002e-06
1469745579420,-1.835,2.5340000000000002e-06
1469745579430,-1.835,2.5340000000000002e-06
1469745579440,-1.835,3.982e-06
1469745579450,-1.835,2.5340000000000002e-06
1469745579460,-1.835,3.62e-06
1469745579470,-1.835,2.8960000000000003e-06
1469745579480,-1.835,2.8960000000000003e-06
1469745579490,-1.835,1.81e-06
1469745579500,-1.835,3.258e-06
1469745579510,-1.835,2.1719999999999997e-06
1469745579520,-1.835,2.1719999999999997e-06
1469745579530,-1.835,1.81e-06
1469745579540,-1.835,3.258e-06
1469745579550,-1.835,2.8960000000000003e-06
1469745579560,-1.835,2.8960000000000003e-06
1469745579570,-1.835,2.5340000000000002e-06
1469745579580,-1.835,3.62e-06
1469745579590,-1.835,1.81e-06
1469745579600,-1.835,3.62e-06
1469745579610,-1.835,2.5340000000000002e-06
1469745579620,-1.835,2.1719999999999997e-06
1469745579630,-1.835,2.1719999999999997e-06
1469745579640,-1.835,4.343999999999999e-06
1469745579650,-1.835,3.258e-06
1469745579660,-1.835,4.343999999999999e-06
1469745579670,-1.835,1.81e-06
1469745579680,-1.835,3.62e-06
1469745579690,-1.835,2.1719999999999997e-06
1469745579700,-1.835,3.982e-06
1469745579710,-1.835,1.81e-06
1469745579720,-1.835,2.1719999999999997e-06
1469745579730,-1.835,1.81e-06
1469745579740,-1.835,3.258e-06
1469745579750,-1.835,2.5340000000000002e-06
1469745579760,-1.835,4.343999999999999e-06
1469745579770,-1.835,3.258e-06
1469745579780,-1.835,3.62e-06
1469745579790,-1.835,2.5340000000000002e-06
1469745579800,-1.835,2.1719999999999997e-06
1469745579810,-1.835,2.5340000000000002e-06
1469745579820,-1.835,3.258e-06
1469745579830,-1.835,7.240000000000001e-07
1469745579840,-1.835,3.62e-06
1469745579850,-1.835,1.81e-06
1469745579860,-1.835,4.706e-06
1469745579870,-1.835,2.1719999999999997e-06
1469745579880,-1.835,2.5340000000000002e-06
1469745579890,-1.835,7.240000000000001e-07
1469745579900,-1.835,4.343999999999999e-06
1469745579910,-1.835,3.258e-06
1469745579920,-1.835,5.43e-06
1469745579930,-1.835,4.343999999999999e-06
1469745579940,-1.835,3.62e-06
1469745579950,-1.835,2.8960000000000003e-06
1469745579960,-1.835,2.1719999999999997e-06
1469745579970,-1.835,1.81e-06
1469745579980,-1.835,2.1719999999999997e-06
1469745579990,-1.835,2.1719999999999997e-06
1469745580000,-1.835,2.5340000000000002e-06
1469745580010,-1.835,1.4480000000000002e-06
1469745580020,-1.835,2.8960000000000003e-06
1469745580030,-1.835,1.0859999999999999e-06
1469745580040,-1.835,3.258e-06
1469745580050,-1.835,1.4480000000000002e-06
1469745580060,-1.835,2.8960000000000003e-06
1469745580070,-1.82,2.1719999999999997e-06
1469745580080,-1.82,3.982e-06
1469745580090,-1.82,3.258e-06
1469745580100,-1.82,5.0680000000000004e-06
1469745580110,-1.82,2.5340000000000002e-06
1469745580120,-1.82,3.62e-06
1469745580130,-1.82,1.0859999999999999e-06
1469745580140,-1.82,2.5340000000000002e-06
1469745580150,-1.82,1.81e-06
1469745580160,-1.82,2.5340000000000002e-06
1469745580170,-1.82,1.81e-06
1469745580180,-1.82,2.5340000000000002e-06
1469745580190,-1.82,2.1719999999999997e-06
