Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1469748075880,1.08,2.8236e-05
1469748075890,1.08,2.2444e-05
1469748075900,1.08,2.3168000000000002e-05
1469748075910,1.08,2.6426e-05
1469748075920,1.08,3.5838000000000005e-05
1469748075930,1.08,3.077e-05
1469748075940,1.08,3.1494e-05
1469748075950,1.08,3.2218e-05
1469748075960,1.08,4.6336000000000005e-05
1469748075970,1.08,3.5476e-05
1469748075980,1.08,5.3576000000000003e-05
1469748075990,1.08,4.2716e-05
1469748076000,1.08,4.0181999999999996e-05
1469748076010,1.08,3.5838000000000005e-05
1469748076020,1.08,3.801e-05
1469748076030,1.08,3.9458e-05
1469748076040,1.08,3.2942e-05
1469748076050,1.08,3.0408e-05
1469748076060,1.08,2.7874e-05
1469748076070,1.08,2.3891999999999998e-05
1469748076080,1.08,2.8236e-05
1469748076090,1.08,3.2218e-05
1469748076100,1.08,3.0046e-05
1469748076110,1.08,2.715e-05
1469748076120,1.08,2.5702e-05
1469748076130,1.08,3.3666e-05
1469748076140,1.08,3.6924e-05
1469748076150,1.08,2.6426e-05
1469748076160,1.08,2.4616e-05
1469748076170,1.08,2.8236e-05
1469748076180,1.08,5.8281999999999995e-05
1469748076190,1.08,3.801e-05
1469748076200,1.08,3.9096e-05
1469748076210,1.08,3.4028e-05
1469748076220,1.08,5.3576000000000003e-05
1469748076230,1.08,5.0318e-05
1469748076240,1.08,4.7783999999999995e-05
1469748076250,1.08,4.2716e-05
1469748076260,1.08,3.6562e-05
1469748076270,1.08,3.1494e-05
1469748076280,1.08,3.1132e-05
1469748076290,1.08,4.7783999999999995e-05
1469748076300,1.08,3.6200000000000006e-05
1469748076310,1.08,2.7511999999999997e-05
1469748076320,1.08,2.7874e-05
1469748076330,1.08,3.7286e-05
1469748076340,1.08,3.1132e-05
1469748076350,1.08,2.4616e-05
1469748076360,1.08,3.8372e-05
1469748076370,1.08,5.5748e-05
1469748076380,1.08,3.6200000000000006e-05
1469748076390,1.08,2.6426e-05
1469748076400,1.08,4.3802e-05
1469748076410,1.08,8.869e-05
1469748076420,1.08,0.00010715200000000001
1469748076430,1.08,4.344e-05
1469748076440,1.08,3.801e-05
1469748076450,1.08,6.5884e-05
1469748076460,1.08,0.000165434
1469748076470,1.08,8.688e-05
1469748076480,1.08,5.2128e-05
1469748076490,1.08,4.8146e-05
1469748076500,1.08,4.1268e-05
1469748076510,1.08,4.7783999999999995e-05
1469748076520,1.08,3.801e-05
1469748076530,1.08,3.1132e-05
1469748076540,1.08,3.0408e-05
1469748076550,1.08,2.7511999999999997e-05
1469748076560,1.08,2.4254000000000002e-05
1469748076570,1.08,2.2444e-05
1469748076580,1.08,3.077e-05
1469748076590,1.08,3.8372e-05
1469748076600,1.08,3.077e-05
1469748076610,1.08,2.9321999999999998e-05
1469748076620,1.08,3.3304e-05
1469748076630,1.08,4.2716e-05
1469748076640,1.08,5.7558e-05
1469748076650,1.08,4.344e-05
1469748076660,1.08,3.5476e-05
1469748076670,1.08,2.7874e-05
1469748076680,1.08,3.8372e-05
1469748076690,1.08,3.3304e-05
1469748076700,1.08,3.0046e-05
1469748076710,1.08,2.353e-05
1469748076720,1.08,2.4254000000000002e-05
1469748076730,1.08,2.2444e-05
1469748076740,1.08,2.6788000000000002e-05
1469748076750,1.08,2.4254000000000002e-05
1469748076760,1.08,2.2444e-05
1469748076770,1.08,2.3168000000000002e-05
1469748076780,1.08,2.7511999999999997e-05
1469748076790,1.08,2.6788000000000002e-05
1469748076800,1.08,3.0408e-05
1469748076810,1.08,2.6788000000000002e-05
1469748076820,1.08,3.4028e-05
1469748076830,1.08,5.0318e-05
1469748076840,1.08,4.8146e-05
1469748076850,1.08,4.163e-05
1469748076860,1.08,7.1314e-05
1469748076870,1.08,0.000102084
1469748076880,1.08,7.4934e-05
1469748076890,1.08,5.7196000000000006e-05
1469748076900,1.08,8.5794e-05
1469748076910,1.08,0.000104618
1469748076920,1.08,0.000125976
1469748076930,1.08,8.1812e-05
1469748076940,1.08,6.3712e-05
1469748076950,1.08,4.0181999999999996e-05
1469748076960,1.08,5.1404e-05
1469748076970,1.08,5.5748e-05
1469748076980,1.08,3.7648e-05
1469748076990,1.08,3.258e-05
1469748077000,1.08,2.896e-05
1469748077010,1.08,3.2942e-05
1469748077020,1.08,3.9458e-05
1469748077030,1.08,3.4751999999999995e-05
1469748077040,1.08,2.896e-05
1469748077050,1.08,2.6426e-05
1469748077060,1.08,3.8734e-05
1469748077070,1.08,3.8372e-05
1469748077080,1.08,4.2716e-05
1469748077090,1.08,4.9956e-05
1469748077100,1.08,5.7196000000000006e-05
1469748077110,1.08,4.5611999999999996e-05
1469748077120,1.08,4.1268e-05
1469748077130,1.08,4.0544000000000003e-05
1469748077140,1.08,6.8056e-05
1469748077150,1.08,5.1766000000000005e-05
1469748077160,1.08,3.982e-05
1469748077170,1.08,3.258e-05
1469748077180,1.08,3.8734e-05
1469748077190,1.08,3.1132e-05
1469748077200,1.08,2.896e-05
1469748077210,1.08,2.6064e-05
1469748077220,1.08,2.2082e-05
1469748077230,1.08,2.1358e-05
1469748077240,1.08,2.3891999999999998e-05
1469748077250,1.08,2.6064e-05
1469748077260,1.08,2.2805999999999998e-05
1469748077270,1.08,2.2805999999999998e-05
1469748077280,1.08,2.715e-05
1469748077290,1.08,2.534e-05
1469748077300,1.08,3.6562e-05
1469748077310,1.08,2.4254000000000002e-05
1469748077320,1.08,3.0046e-05
1469748077330,1.08,3.1856e-05
1469748077340,1.08,4.4164e-05
1469748077350,1.08,3.5838000000000005e-05
1469748077360,1.08,3.1856e-05
1469748077370,1.08,3.6924e-05
1469748077380,1.08,4.7422e-05
1469748077390,1.08,3.9096e-05
1469748077400,1.08,2.896e-05
1469748077410,1.08,2.8236e-05
1469748077420,1.08,3.9096e-05
1469748077430,1.08,3.1856e-05
1469748077440,1.08,2.4978e-05
1469748077450,1.08,2.0996e-05
1469748077460,1.08,3.0046e-05
1469748077470,1.08,4.0906e-05
1469748077480,1.08,2.7874e-05
1469748077490,1.08,2.534e-05
1469748077500,1.08,3.0046e-05
1469748077510,1.08,5.9368000000000005e-05
1469748077520,1.08,7.5296e-05
1469748077530,1.08,4.1992e-05
1469748077540,1.08,4.5974e-05
1469748077550,1.08,4.887e-05
1469748077560,1.08,8.036399999999999e-05
1469748077570,1.08,6.5522e-05
1469748077580,1.08,6.4074e-05
1469748077590,1.08,5.3213999999999996e-05
1469748077600,1.08,4.7783999999999995e-05
1469748077610,1.08,4.344e-05
1469748077620,1.08,4.8146e-05
1469748077630,1.08,4.1268e-05
1469748077640,1.08,3.9096e-05
1469748077650,1.08,3.5476e-05
1469748077660,1.08,3.3304e-05
1469748077670,1.08,3.1132e-05
1469748077680,1.08,2.896e-05
1469748077690,1.08,2.5702e-05
1469748077700,1.08,2.7874e-05
1469748077710,1.08,2.4254000000000002e-05
1469748077720,1.08,2.6788000000000002e-05
1469748077730,1.08,2.7511999999999997e-05
1469748077740,1.08,3.6924e-05
1469748077750,1.08,4.3078e-05
1469748077760,1.08,3.6924e-05
1469748077770,1.08,3.9096e-05
1469748077780,1.08,5.3576000000000003e-05
1469748077790,1.08,5.792e-05
1469748077800,1.08,6.2988e-05
1469748077810,1.08,4.2353999999999995e-05
1469748077820,1.08,3.9096e-05
1469748077830,1.08,4.2716e-05
1469748077840,1.08,4.4888e-05
1469748077850,1.08,2.7874e-05
1469748077860,1.08,2.9321999999999998e-05
1469748077870,1.08,2.4978e-05
1469748077880,1.08,2.8598000000000003e-05
1469748077890,1.08,2.1358e-05
1469748077900,1.08,2.4978e-05
1469748077910,1.08,2.172e-05
1469748077920,1.08,2.5702e-05
1469748077930,1.08,2.3168000000000002e-05
1469748077940,1.08,2.5702e-05
1469748077950,1.08,2.7874e-05
1469748077960,1.08,4.344e-05
1469748077970,1.08,4.5974e-05
1469748077980,1.08,3.6562e-05
1469748077990,1.08,4.4526e-05
1469748078000,1.08,6.5884e-05
1469748078010,1.08,6.2626e-05
1469748078020,1.08,5.1404e-05
1469748078030,1.08,4.0906e-05
1469748078040,1.08,4.9956e-05
1469748078050,1.08,4.2353999999999995e-05
1469748078060,1.08,3.1494e-05
1469748078070,1.08,2.7874e-05
1469748078080,1.08,4.163e-05
1469748078090,1.08,3.7648e-05
1469748078100,1.08,2.9321999999999998e-05
1469748078110,1.08,2.2805999999999998e-05
1469748078120,1.08,2.8236e-05
1469748078130,1.08,3.077e-05
1469748078140,1.08,2.7511999999999997e-05
1469748078150,1.08,2.1358e-05
1469748078160,1.08,2.353e-05
1469748078170,1.08,2.4254000000000002e-05
1469748078180,1.08,2.7511999999999997e-05
1469748078190,1.08,2.3891999999999998e-05
1469748078200,1.08,2.7874e-05
1469748078210,1.08,4.8146e-05
1469748078220,1.08,6.2626e-05
1469748078230,1.08,5.429999999999999e-05
1469748078240,1.08,3.2942e-05
1469748078250,1.08,5.5023999999999994e-05
1469748078260,1.08,8.289799999999999e-05
1469748078270,1.08,6.516e-05
1469748078280,1.08,3.4751999999999995e-05
1469748078290,1.08,1.991e-05
1469748078300,1.08,3.5476e-05
1469748078310,1.08,3.5114e-05
1469748078320,1.08,2.2444e-05
1469748078330,1.08,1.7738e-05
1469748078340,1.08,2.172e-05
1469748078350,1.08,1.9548e-05
1469748078360,1.08,2.2082e-05
1469748078370,1.08,1.9548e-05
1469748078380,1.08,2.4616e-05
1469748078390,1.08,2.0996e-05
1469748078400,1.08,2.353e-05
1469748078410,1.08,1.9186e-05
1469748078420,1.075,4.4526e-05
1469748078430,1.075,5.7558e-05
1469748078440,1.075,3.3666e-05
1469748078450,1.075,3.258e-05
1469748078460,1.075,5.2128e-05
1469748078470,1.075,8.7966e-05
1469748078480,1.075,4.344e-05
1469748078490,1.075,3.077e-05
1469748078500,1.075,2.896e-05
1469748078510,1.075,3.4028e-05
1469748078520,1.075,3.2218e-05
1469748078530,1.075,2.4254000000000002e-05
1469748078540,1.075,2.3891999999999998e-05
1469748078550,1.075,1.991e-05
1469748078560,1.075,2.2444e-05
1469748078570,1.075,1.9186e-05
1469748078580,1.075,2.3891999999999998e-05
1469748078590,1.075,2.0996e-05
1469748078600,1.075,2.4254000000000002e-05
1469748078610,1.075,2.6064e-05
1469748078620,1.075,3.982e-05
1469748078630,1.075,2.4978e-05
1469748078640,1.075,3.0046e-05
1469748078650,1.075,4.1268e-05
1469748078660,1.075,6.3712e-05
1469748078670,1.075,5.3576000000000003e-05
1469748078680,1.075,4.7783999999999995e-05
1469748078690,1.075,5.5386e-05
1469748078700,1.075,4.6698e-05
1469748078710,1.075,6.3712e-05
1469748078720,1.075,5.3576000000000003e-05
1469748078730,1.075,4.2716e-05
1469748078740,1.075,2.3891999999999998e-05
1469748078750,1.075,2.4616e-05
1469748078760,1.075,2.7511999999999997e-05
1469748078770,1.075,2.2805999999999998e-05
1469748078780,1.075,2.2082e-05
1469748078790,1.075,1.7014e-05
1469748078800,1.075,2.3168000000000002e-05
1469748078810,1.075,2.0996e-05
1469748078820,1.075,2.0996e-05
1469748078830,1.075,1.7738e-05
1469748078840,1.075,2.3891999999999998e-05
1469748078850,1.075,2.2805999999999998e-05
1469748078860,1.075,2.6064e-05
1469748078870,1.075,2.3168000000000002e-05
1469748078880,1.075,4.8146e-05
1469748078890,1.075,4.344e-05
1469748078900,1.075,3.8372e-05
1469748078910,1.075,3.4028e-05
1469748078920,1.075,4.4888e-05
1469748078930,1.075,6.1902e-05
1469748078940,1.075,4.163e-05
1469748078950,1.075,2.6426e-05
1469748078960,1.075,3.5114e-05
1469748078970,1.075,4.959399999999999e-05
1469748078980,1.075,3.1132e-05
1469748078990,1.075,2.0272000000000002e-05
1469748079000,1.075,2.172e-05
1469748079010,1.075,1.991e-05
1469748079020,1.075,2.2805999999999998e-05
1469748079030,1.075,1.9186e-05
1469748079040,1.075,2.2444e-05
1469748079050,1.075,2.2082e-05
1469748079060,1.075,2.3891999999999998e-05
1469748079070,1.075,2.0996e-05
1469748079080,1.075,2.172e-05
1469748079090,1.075,2.715e-05
1469748079100,1.075,4.3802e-05
1469748079110,1.075,3.1494e-05
1469748079120,1.075,3.4751999999999995e-05
1469748079130,1.075,4.1268e-05
1469748079140,1.075,9.8102e-05
1469748079150,1.075,0.000100274
1469748079160,1.075,9.122399999999999e-05
1469748079170,1.075,5.6834e-05
1469748079180,1.075,4.5974e-05
1469748079190,1.075,4.5611999999999996e-05
1469748079200,1.075,3.8372e-05
1469748079210,1.075,2.8598000000000003e-05
1469748079220,1.075,2.8236e-05
1469748079230,1.075,2.3168000000000002e-05
1469748079240,1.075,2.0996e-05
1469748079250,1.075,0.00099731
1469748079260,1.075,0.00211517
1469748079270,1.075,0.000398924
1469748079280,1.075,0.00104582
1469748079290,1.075,0.000953508
1469748079300,1.075,0.00040145800000000004
1469748079310,1.075,0.0007540460000000001
1469748079320,1.075,0.00021358
1469748079330,1.075,0.00161235
1469748079340,1.075,0.00047422
1469748079350,1.075,0.00114066
1469748079360,1.075,0.000583182
1469748079370,1.075,0.000529606
1469748079380,1.075,0.0007649060000000001
1469748079390,1.075,0.0004887
1469748079400,1.075,0.00030878599999999997
1469748079410,1.075,0.00044670800000000003
1469748079420,1.075,9.8464e-05
1469748079430,1.075,0.000420644
1469748079440,1.075,9.1948e-05
1469748079450,1.075,0.0001991
1469748079460,1.075,6.2626e-05
1469748079470,1.075,7.4934e-05
1469748079480,1.075,9.303399999999999e-05
1469748079490,1.075,5.5023999999999994e-05
1469748079500,1.075,6.5522e-05
1469748079510,1.075,5.249e-05
1469748079520,1.075,6.516e-05
1469748079530,1.075,6.8056e-05
1469748079540,1.075,0.00010389399999999999
1469748079550,1.075,0.000100274
1469748079560,1.075,9.9912e-05
1469748079570,1.075,0.000129958
1469748079580,1.075,0.00028055
1469748079590,1.075,0.00018208599999999998
1469748079600,1.075,0.000377204
1469748079610,1.075,0.000140818
