Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
26	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
27	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
28	False	TCLA.B5L3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.276791883152673	0.0	0.0	0.0	20086.66	0.0	151.618688	168.6890508	0.0027679188315267297	2.76791883152673E-4	2.76791883152673E-4	2.919580340074726E-4	10.0	0.0	0.0	100%	2.092096	6.974567662274533E-4	6.974567662274533E-4	0.0	
29	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
30	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
31	False	TCSG.B5L3.B2	10.80025444	0.0	0.0	0.0	0.0	0.0	0.16658652903337182	0.0	0.0	0.0	20054.18	0.1885	45.5392187	312.6789585	0.0015492547200103579	1.665865290333718E-4	1.516944776850882E-4	3.974900955729606E-4	9.3	0.0	0.0	100%	1.33494	4.357483614542243E-4	4.344620590232098E-4	0.0	
32	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
33	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
34	False	TCSG.A5L3.B2	170.7987187	0.0	0.0	0.0	0.0	0.0	0.14868492881908182	0.0	0.0	0.0	20048.36	2.981	35.86868463	344.1125651	0.001382769838017461	1.4868492881908182E-4	1.346277875034008E-4	4.169915445527784E-4	9.3	0.0	0.0	100%	1.199268	3.908913296757513E-4	3.915803602607538E-4	0.0	
35	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
