Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678437420,0.06,7.240000000000001e-07
1494678437430,0.06,1.81e-06
1494678437440,0.06,7.240000000000001e-07
1494678437450,0.06,1.81e-06
1494678437460,0.06,7.240000000000001e-07
1494678437470,0.06,3.6200000000000004e-07
1494678437480,0.06,7.240000000000001e-07
1494678437490,0.06,7.240000000000001e-07
1494678437500,0.06,1.4480000000000002e-06
1494678437510,0.06,7.240000000000001e-07
1494678437520,0.06,1.81e-06
1494678437530,0.06,0.0
1494678437540,0.06,1.0859999999999999e-06
1494678437550,0.06,7.240000000000001e-07
1494678437560,0.06,1.4480000000000002e-06
1494678437570,0.06,3.6200000000000004e-07
1494678437580,0.06,1.0859999999999999e-06
1494678437590,0.06,7.240000000000001e-07
1494678437600,0.06,1.0859999999999999e-06
1494678437610,0.06,7.240000000000001e-07
1494678437620,0.06,7.240000000000001e-07
1494678437630,0.06,1.4480000000000002e-06
1494678437640,0.06,3.6200000000000004e-07
1494678437650,0.06,1.81e-06
1494678437660,0.06,1.4480000000000002e-06
1494678437670,0.06,1.0859999999999999e-06
1494678437680,0.06,3.6200000000000004e-07
1494678437690,0.06,1.4480000000000002e-06
1494678437700,0.06,1.0859999999999999e-06
1494678437710,0.06,7.240000000000001e-07
1494678437720,0.06,7.240000000000001e-07
1494678437730,0.06,7.240000000000001e-07
1494678437740,0.06,1.0859999999999999e-06
1494678437750,0.06,1.0859999999999999e-06
1494678437760,0.06,1.0859999999999999e-06
1494678437770,0.06,0.0
1494678437780,0.06,7.240000000000001e-07
1494678437790,0.06,1.0859999999999999e-06
1494678437800,0.06,1.0859999999999999e-06
1494678437810,0.06,7.240000000000001e-07
1494678437820,0.06,3.6200000000000004e-07
1494678437830,0.06,1.4480000000000002e-06
1494678437840,0.06,3.6200000000000004e-07
1494678437850,0.06,1.4480000000000002e-06
1494678437860,0.06,3.6200000000000004e-07
1494678437870,0.06,1.81e-06
1494678437880,0.06,7.240000000000001e-07
1494678437890,0.06,1.0859999999999999e-06
1494678437900,0.06,7.240000000000001e-07
1494678437910,0.06,7.240000000000001e-07
1494678437920,0.06,3.6200000000000004e-07
1494678437930,0.06,1.4480000000000002e-06
1494678437940,0.06,1.0859999999999999e-06
1494678437950,0.06,3.6200000000000004e-07
1494678437960,0.06,1.4480000000000002e-06
1494678437970,0.06,1.0859999999999999e-06
1494678437980,0.06,7.240000000000001e-07
1494678437990,0.06,7.240000000000001e-07
1494678438000,0.06,7.240000000000001e-07
1494678438010,0.06,1.0859999999999999e-06
1494678438020,0.06,1.81e-06
1494678438030,0.06,7.240000000000001e-07
1494678438040,0.06,3.6200000000000004e-07
1494678438050,0.06,7.240000000000001e-07
1494678438060,0.06,7.240000000000001e-07
1494678438070,0.06,1.0859999999999999e-06
1494678438080,0.06,0.0
1494678438090,0.06,1.0859999999999999e-06
1494678438100,0.06,3.6200000000000004e-07
1494678438110,0.06,7.240000000000001e-07
1494678438120,0.06,3.6200000000000004e-07
1494678438130,0.06,7.240000000000001e-07
1494678438140,0.06,7.240000000000001e-07
1494678438150,0.06,1.0859999999999999e-06
1494678438160,0.06,1.4480000000000002e-06
1494678438170,0.06,7.240000000000001e-07
1494678438180,0.06,7.240000000000001e-07
1494678438190,0.06,1.0859999999999999e-06
1494678438200,0.06,1.4480000000000002e-06
1494678438210,0.06,3.6200000000000004e-07
1494678438220,0.06,1.4480000000000002e-06
1494678438230,0.06,0.0
1494678438240,0.06,1.81e-06
1494678438250,0.06,3.6200000000000004e-07
1494678438260,0.06,7.240000000000001e-07
1494678438270,0.06,7.240000000000001e-07
1494678438280,0.06,1.4480000000000002e-06
1494678438290,0.06,7.240000000000001e-07
1494678438300,0.06,1.4480000000000002e-06
1494678438310,0.06,7.240000000000001e-07
1494678438320,0.06,1.0859999999999999e-06
1494678438330,0.06,1.0859999999999999e-06
1494678438340,0.06,7.240000000000001e-07
1494678438350,0.06,7.240000000000001e-07
1494678438360,0.06,0.0
1494678438370,0.06,1.0859999999999999e-06
1494678438380,0.06,1.0859999999999999e-06
1494678438390,0.06,7.240000000000001e-07
1494678438400,0.06,3.6200000000000004e-07
1494678438410,0.06,1.0859999999999999e-06
1494678438420,0.06,3.6200000000000004e-07
1494678438430,0.06,1.81e-06
1494678438440,0.06,0.0
1494678438450,0.06,1.4480000000000002e-06
1494678438460,0.06,7.240000000000001e-07
1494678438470,0.06,1.4480000000000002e-06
1494678438480,0.06,3.6200000000000004e-07
1494678438490,0.06,3.6200000000000004e-07
1494678438500,0.06,1.4480000000000002e-06
1494678438510,0.06,3.6200000000000004e-07
1494678438520,0.06,7.240000000000001e-07
1494678438530,0.06,7.240000000000001e-07
1494678438540,0.06,1.0859999999999999e-06
1494678438550,0.06,1.4480000000000002e-06
1494678438560,0.06,7.240000000000001e-07
1494678438570,0.06,7.240000000000001e-07
1494678438580,0.06,3.6200000000000004e-07
1494678438590,0.06,1.4480000000000002e-06
1494678438600,0.06,7.240000000000001e-07
1494678438610,0.06,1.0859999999999999e-06
1494678438620,0.06,0.0
1494678438630,0.06,1.0859999999999999e-06
1494678438640,0.06,1.0859999999999999e-06
1494678438650,0.06,1.0859999999999999e-06
1494678438660,0.06,1.0859999999999999e-06
1494678438670,0.06,3.6200000000000004e-07
1494678438680,0.06,1.4480000000000002e-06
1494678438690,0.06,7.240000000000001e-07
1494678438700,0.06,1.0859999999999999e-06
1494678438710,0.06,3.6200000000000004e-07
1494678438720,0.06,1.81e-06
1494678438730,0.06,3.6200000000000004e-07
1494678438740,0.06,7.240000000000001e-07
1494678438750,0.06,7.240000000000001e-07
1494678438760,0.06,0.0
1494678438770,0.06,7.240000000000001e-07
1494678438780,0.06,1.0859999999999999e-06
1494678438790,0.06,1.0859999999999999e-06
1494678438800,0.06,7.240000000000001e-07
1494678438810,0.06,1.0859999999999999e-06
1494678438820,0.06,7.240000000000001e-07
1494678438830,0.06,1.0859999999999999e-06
1494678438840,0.06,1.0859999999999999e-06
1494678438850,0.06,7.240000000000001e-07
1494678438860,0.06,1.0859999999999999e-06
1494678438870,0.06,1.0859999999999999e-06
1494678438880,0.06,7.240000000000001e-07
1494678438890,0.06,1.0859999999999999e-06
1494678438900,0.06,3.6200000000000004e-07
1494678438910,0.06,1.0859999999999999e-06
1494678438920,0.06,7.240000000000001e-07
1494678438930,0.06,1.0859999999999999e-06
1494678438940,0.06,3.6200000000000004e-07
1494678438950,0.06,7.240000000000001e-07
1494678438960,0.06,7.240000000000001e-07
1494678438970,0.06,1.81e-06
1494678438980,0.06,3.6200000000000004e-07
1494678438990,0.06,1.4480000000000002e-06
1494678439000,0.06,1.0859999999999999e-06
1494678439010,0.06,7.240000000000001e-07
1494678439020,0.06,7.240000000000001e-07
1494678439030,0.06,3.6200000000000004e-07
1494678439040,0.06,1.0859999999999999e-06
1494678439050,0.06,1.0859999999999999e-06
1494678439060,0.06,7.240000000000001e-07
1494678439070,0.06,3.6200000000000004e-07
1494678439080,0.06,7.240000000000001e-07
1494678439090,0.06,1.0859999999999999e-06
1494678439100,0.06,1.4480000000000002e-06
1494678439110,0.06,7.240000000000001e-07
1494678439120,0.06,7.240000000000001e-07
1494678439130,0.06,1.4480000000000002e-06
1494678439140,0.06,1.4480000000000002e-06
1494678439150,0.06,1.4480000000000002e-06
1494678439160,0.06,7.240000000000001e-07
1494678439170,0.06,1.0859999999999999e-06
1494678439180,0.06,1.0859999999999999e-06
1494678439190,0.06,1.0859999999999999e-06
1494678439200,0.06,7.240000000000001e-07
1494678439210,0.06,3.6200000000000004e-07
1494678439220,0.06,7.240000000000001e-07
1494678439230,0.06,1.4480000000000002e-06
1494678439240,0.06,1.0859999999999999e-06
1494678439250,0.06,1.81e-06
1494678439260,0.06,7.240000000000001e-07
1494678439270,0.06,1.81e-06
1494678439280,0.06,7.240000000000001e-07
1494678439290,0.06,1.4480000000000002e-06
1494678439300,0.06,7.240000000000001e-07
1494678439310,0.06,7.240000000000001e-07
1494678439320,0.06,1.0859999999999999e-06
1494678439330,0.06,1.0859999999999999e-06
1494678439340,0.06,7.240000000000001e-07
1494678439350,0.06,1.4480000000000002e-06
1494678439360,0.06,1.0859999999999999e-06
1494678439370,0.06,1.4480000000000002e-06
1494678439380,0.06,0.0
1494678439390,0.06,1.81e-06
1494678439400,0.06,1.4480000000000002e-06
