Timestamp,position,BLMTI.04L7.B1E10_TCSG.A4L7.B1
1494680716590,1.885,1.1945999999999999e-05
1494680716600,1.885,9.774e-06
1494680716610,1.885,1.1222e-05
1494680716620,1.885,1.1584000000000001e-05
1494680716630,1.885,1.0136000000000001e-05
1494680716640,1.885,9.774e-06
1494680716650,1.885,1.086e-05
1494680716660,1.885,1.0498e-05
1494680716670,1.885,1.1584000000000001e-05
1494680716680,1.885,9.774e-06
1494680716690,1.885,1.1945999999999999e-05
1494680716700,1.885,1.1584000000000001e-05
1494680716710,1.885,1.5928e-05
1494680716720,1.885,1.5566e-05
1494680716730,1.885,3.258e-06
1494680716740,1.885,8.687999999999999e-06
1494680716750,1.885,1.3755999999999998e-05
1494680716760,1.885,9.774e-06
1494680716770,1.885,9.05e-06
1494680716780,1.885,9.05e-06
1494680716790,1.885,9.05e-06
1494680716800,1.885,1.0498e-05
1494680716810,1.885,1.1222e-05
1494680716820,1.885,1.1222e-05
1494680716830,1.885,1.3032e-05
1494680716840,1.885,1.2308e-05
1494680716850,1.885,1.4842000000000001e-05
1494680716860,1.885,1.1584000000000001e-05
1494680716870,1.885,1.4118e-05
1494680716880,1.885,1.3394000000000001e-05
1494680716890,1.885,1.448e-05
1494680716900,1.885,1.3755999999999998e-05
1494680716910,1.885,1.5204e-05
1494680716920,1.885,1.0136000000000001e-05
1494680716930,1.885,1.1222e-05
1494680716940,1.885,9.05e-06
1494680716950,1.885,1.0498e-05
1494680716960,1.885,9.05e-06
1494680716970,1.885,9.412e-06
1494680716980,1.885,1.1584000000000001e-05
1494680716990,1.885,1.6652e-05
1494680717000,1.885,1.5928e-05
1494680717010,1.885,1.267e-05
1494680717020,1.885,1.2308e-05
1494680717030,1.885,1.1945999999999999e-05
1494680717040,1.885,1.1945999999999999e-05
1494680717050,1.885,1.267e-05
1494680717060,1.885,1.267e-05
1494680717070,1.885,1.81e-06
1494680717080,1.885,8.687999999999999e-06
1494680717090,1.885,1.086e-05
1494680717100,1.885,1.1222e-05
1494680717110,1.885,1.448e-05
1494680717120,1.88,9.774e-06
1494680717130,1.88,1.267e-05
1494680717140,1.88,1.0498e-05
1494680717150,1.88,1.3755999999999998e-05
1494680717160,1.88,1.1222e-05
1494680717170,1.88,1.4118e-05
1494680717180,1.88,1.086e-05
1494680717190,1.88,1.629e-05
1494680717200,1.88,1.4842000000000001e-05
1494680717210,1.88,3.9458e-05
1494680717220,1.88,4.1992e-05
1494680717230,1.88,3.8372e-05
1494680717240,1.88,4.5611999999999996e-05
1494680717250,1.88,5.5386e-05
1494680717260,1.88,5.9006000000000004e-05
1494680717270,1.88,7.783e-05
1494680717280,1.88,6.2626e-05
1494680717290,1.88,5.1404e-05
1494680717300,1.88,6.5884e-05
1494680717310,1.88,7.602e-05
1494680717320,1.88,6.878e-05
1494680717330,1.88,7.4572e-05
1494680717340,1.88,6.697e-05
1494680717350,1.88,6.9142e-05
1494680717360,1.88,6.335e-05
1494680717370,1.88,5.5023999999999994e-05
1494680717380,1.88,4.706e-05
1494680717390,1.88,5.3213999999999996e-05
1494680717400,1.88,5.5386e-05
1494680717410,1.88,8.0002e-05
1494680717420,1.88,7.8916e-05
1494680717430,1.88,7.348600000000001e-05
1494680717440,1.88,8.507e-05
1494680717450,1.88,6.841800000000001e-05
1494680717460,1.88,5.7196000000000006e-05
1494680717470,1.88,6.1178e-05
1494680717480,1.88,5.9368000000000005e-05
1494680717490,1.88,5.6834e-05
1494680717500,1.88,5.6834e-05
1494680717510,1.88,7.602e-05
1494680717520,1.88,8.7604e-05
1494680717530,1.88,8.9776e-05
1494680717540,1.88,8.3984e-05
1494680717550,1.88,5.2852e-05
1494680717560,1.88,6.4798e-05
1494680717570,1.88,5.973e-05
1494680717580,1.88,6.2626e-05
1494680717590,1.88,7.8554e-05
1494680717600,1.88,7.964e-05
1494680717610,1.88,8.0726e-05
1494680717620,1.88,7.4934e-05
1494680717630,1.88,6.4436e-05
1494680717640,1.88,5.5748e-05
1494680717650,1.88,6.1178e-05
1494680717660,1.88,5.2852e-05
1494680717670,1.88,5.6472e-05
1494680717680,1.88,7.0952e-05
1494680717690,1.88,8.688e-05
1494680717700,1.88,7.602e-05
1494680717710,1.88,6.5522e-05
1494680717720,1.88,4.5611999999999996e-05
1494680717730,1.88,5.5023999999999994e-05
1494680717740,1.88,5.5748e-05
1494680717750,1.88,6.5522e-05
1494680717760,1.88,7.8916e-05
1494680717770,1.88,7.602e-05
1494680717780,1.88,7.0228e-05
1494680717790,1.88,8.0002e-05
1494680717800,1.88,7.167600000000001e-05
1494680717810,1.88,5.429999999999999e-05
1494680717820,1.88,5.429999999999999e-05
1494680717830,1.88,4.959399999999999e-05
1494680717840,1.88,4.3078e-05
1494680717850,1.88,3.982e-05
1494680717860,1.88,5.7196000000000006e-05
1494680717870,1.88,7.4934e-05
1494680717880,1.88,7.6382e-05
1494680717890,1.88,7.240000000000001e-05
1494680717900,1.88,5.429999999999999e-05
1494680717910,1.88,4.525e-05
1494680717920,1.88,5.5386e-05
1494680717930,1.88,6.1178e-05
1494680717940,1.88,5.7196000000000006e-05
1494680717950,1.88,6.4074e-05
1494680717960,1.88,6.335e-05
1494680717970,1.88,7.167600000000001e-05
1494680717980,1.88,5.2852e-05
1494680717990,1.88,5.611e-05
1494680718000,1.88,5.611e-05
1494680718010,1.88,5.5386e-05
1494680718020,1.88,6.3712e-05
1494680718030,1.88,6.6246e-05
1494680718040,1.88,6.1178e-05
1494680718050,1.88,5.7196000000000006e-05
1494680718060,1.88,6.5884e-05
1494680718070,1.88,7.240000000000001e-05
1494680718080,1.88,7.2038e-05
1494680718090,1.88,6.4436e-05
1494680718100,1.88,5.5023999999999994e-05
1494680718110,1.88,5.1766000000000005e-05
1494680718120,1.88,5.1404e-05
1494680718130,1.88,5.5023999999999994e-05
1494680718140,1.88,6.2988e-05
1494680718150,1.88,8.5432e-05
1494680718160,1.88,7.5658e-05
1494680718170,1.88,5.5386e-05
1494680718180,1.88,5.792e-05
1494680718190,1.88,6.3712e-05
1494680718200,1.88,6.0092e-05
1494680718210,1.88,5.6472e-05
1494680718220,1.88,5.249e-05
1494680718230,1.88,5.5023999999999994e-05
1494680718240,1.88,3.8372e-05
1494680718250,1.88,5.1042e-05
1494680718260,1.88,5.1766000000000005e-05
1494680718270,1.88,5.2852e-05
1494680718280,1.88,5.7558e-05
1494680718290,1.88,5.8281999999999995e-05
1494680718300,1.88,6.1178e-05
1494680718310,1.88,4.163e-05
1494680718320,1.88,5.5023999999999994e-05
1494680718330,1.88,4.706e-05
1494680718340,1.88,4.9232e-05
1494680718350,1.88,5.5748e-05
1494680718360,1.88,5.8643999999999996e-05
1494680718370,1.88,5.7558e-05
1494680718380,1.88,4.344e-05
1494680718390,1.88,6.8056e-05
1494680718400,1.88,5.973e-05
1494680718410,1.88,5.4662e-05
1494680718420,1.88,4.3078e-05
1494680718430,1.88,4.5974e-05
1494680718440,1.88,4.4888e-05
1494680718450,1.88,5.2128e-05
1494680718460,1.88,3.8734e-05
1494680718470,1.88,6.2626e-05
1494680718480,1.88,6.841800000000001e-05
1494680718490,1.88,5.6834e-05
1494680718500,1.88,4.959399999999999e-05
1494680718510,1.88,4.3802e-05
1494680718520,1.88,4.1268e-05
1494680718530,1.88,3.5476e-05
1494680718540,1.88,2.353e-05
1494680718550,1.88,4.0906e-05
1494680718560,1.88,4.959399999999999e-05
1494680718570,1.88,6.335e-05
1494680718580,1.88,6.6246e-05
1494680718590,1.88,5.6834e-05
1494680718600,1.88,4.5611999999999996e-05
1494680718610,1.88,4.344e-05
1494680718620,1.88,2.8598000000000003e-05
1494680718630,1.88,5.1766000000000005e-05
1494680718640,1.88,5.4662e-05
1494680718650,1.88,5.8643999999999996e-05
1494680718660,1.88,4.9232e-05
1494680718670,1.88,4.3078e-05
1494680718680,1.88,3.801e-05
1494680718690,1.88,4.344e-05
1494680718700,1.88,4.6336000000000005e-05
1494680718710,1.88,3.982e-05
1494680718720,1.88,5.1042e-05
1494680718730,1.88,4.4164e-05
1494680718740,1.88,4.3078e-05
1494680718750,1.88,4.6336000000000005e-05
1494680718760,1.88,5.4662e-05
1494680718770,1.88,5.3938000000000004e-05
1494680718780,1.88,4.5974e-05
1494680718790,1.88,2.6788000000000002e-05
1494680718800,1.88,3.982e-05
1494680718810,1.88,4.2716e-05
1494680718820,1.88,3.9096e-05
1494680718830,1.88,3.8734e-05
1494680718840,1.88,3.9458e-05
1494680718850,1.88,4.5611999999999996e-05
1494680718860,1.88,4.706e-05
1494680718870,1.88,4.706e-05
1494680718880,1.88,3.982e-05
1494680718890,1.88,4.1992e-05
1494680718900,1.88,4.6698e-05
1494680718910,1.88,4.7422e-05
1494680718920,1.88,4.7422e-05
1494680718930,1.88,4.5611999999999996e-05
1494680718940,1.88,3.801e-05
1494680718950,1.88,3.5838000000000005e-05
1494680718960,1.88,3.801e-05
1494680718970,1.88,3.9458e-05
1494680718980,1.88,4.3802e-05
1494680718990,1.88,4.8508000000000004e-05
1494680719000,1.88,5.0318e-05
1494680719010,1.88,6.0816e-05
1494680719020,1.88,6.6608e-05
1494680719030,1.88,6.0092e-05
1494680719040,1.88,5.1766000000000005e-05
1494680719050,1.88,3.1132e-05
1494680719060,1.88,4.706e-05
1494680719070,1.88,5.2128e-05
1494680719080,1.88,4.7422e-05
1494680719090,1.88,4.163e-05
1494680719100,1.88,3.801e-05
1494680719110,1.88,3.982e-05
1494680719120,1.88,4.163e-05
1494680719130,1.88,4.2353999999999995e-05
1494680719140,1.88,3.1494e-05
1494680719150,1.88,4.3802e-05
1494680719160,1.88,4.163e-05
1494680719170,1.88,4.2353999999999995e-05
1494680719180,1.88,4.2716e-05
1494680719190,1.88,4.6336000000000005e-05
1494680719200,1.88,4.706e-05
1494680719210,1.88,3.9096e-05
1494680719220,1.88,3.7648e-05
1494680719230,1.88,3.439e-05
1494680719240,1.88,4.5974e-05
1494680719250,1.88,4.6698e-05
1494680719260,1.88,4.7783999999999995e-05
1494680719270,1.88,4.525e-05
1494680719280,1.88,3.8734e-05
1494680719290,1.88,3.4751999999999995e-05
1494680719300,1.88,3.5114e-05
1494680719310,1.88,3.8372e-05
1494680719320,1.88,4.2716e-05
1494680719330,1.88,4.4526e-05
1494680719340,1.88,6.2988e-05
1494680719350,1.88,5.9368000000000005e-05
1494680719360,1.88,4.4888e-05
1494680719370,1.88,3.9458e-05
1494680719380,1.88,3.801e-05
1494680719390,1.88,3.801e-05
1494680719400,1.88,3.2218e-05
1494680719410,1.88,3.2218e-05
1494680719420,1.88,2.4616e-05
1494680719430,1.88,4.1992e-05
1494680719440,1.88,4.4888e-05
1494680719450,1.88,4.3078e-05
1494680719460,1.88,4.4888e-05
1494680719470,1.88,4.4526e-05
1494680719480,1.88,4.4888e-05
1494680719490,1.88,3.9458e-05
1494680719500,1.88,3.5838000000000005e-05
1494680719510,1.88,2.9321999999999998e-05
1494680719520,1.88,5.1766000000000005e-05
1494680719530,1.88,5.3213999999999996e-05
1494680719540,1.88,4.3078e-05
1494680719550,1.88,3.7648e-05
1494680719560,1.88,3.5476e-05
1494680719570,1.88,3.982e-05
1494680719580,1.88,3.3666e-05
1494680719590,1.88,3.1132e-05
