Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1494680184930,-1.075,2.3168000000000002e-05
1494680184940,-1.075,2.172e-05
1494680184950,-1.075,2.353e-05
1494680184960,-1.075,2.1358e-05
1494680184970,-1.075,2.8598000000000003e-05
1494680184980,-1.075,3.077e-05
1494680184990,-1.075,3.077e-05
1494680185000,-1.075,2.5702e-05
1494680185010,-1.075,2.8598000000000003e-05
1494680185020,-1.075,2.4254000000000002e-05
1494680185030,-1.075,2.2805999999999998e-05
1494680185040,-1.075,2.2805999999999998e-05
1494680185050,-1.075,2.4978e-05
1494680185060,-1.075,3.0046e-05
1494680185070,-1.075,3.077e-05
1494680185080,-1.075,2.9684000000000002e-05
1494680185090,-1.075,2.9321999999999998e-05
1494680185100,-1.075,2.6426e-05
1494680185110,-1.075,2.715e-05
1494680185120,-1.075,1.991e-05
1494680185130,-1.075,1.9186e-05
1494680185140,-1.075,2.4978e-05
1494680185150,-1.075,2.8598000000000003e-05
1494680185160,-1.075,3.1856e-05
1494680185170,-1.075,2.9684000000000002e-05
1494680185180,-1.075,3.1494e-05
1494680185190,-1.075,2.896e-05
1494680185200,-1.075,2.4254000000000002e-05
1494680185210,-1.075,1.7738e-05
1494680185220,-1.075,2.0272000000000002e-05
1494680185230,-1.075,2.2805999999999998e-05
1494680185240,-1.075,2.8236e-05
1494680185250,-1.075,2.6788000000000002e-05
1494680185260,-1.075,3.0046e-05
1494680185270,-1.075,2.9321999999999998e-05
1494680185280,-1.075,2.6426e-05
1494680185290,-1.075,2.2805999999999998e-05
1494680185300,-1.075,2.2805999999999998e-05
1494680185310,-1.075,1.8100000000000003e-05
1494680185320,-1.075,2.2082e-05
1494680185330,-1.075,2.2082e-05
1494680185340,-1.075,2.6788000000000002e-05
1494680185350,-1.075,2.6064e-05
1494680185360,-1.075,2.8598000000000003e-05
1494680185370,-1.075,2.896e-05
1494680185380,-1.075,1.9186e-05
1494680185390,-1.075,1.9186e-05
1494680185400,-1.075,2.0634e-05
1494680185410,-1.075,2.353e-05
1494680185420,-1.075,2.7874e-05
1494680185430,-1.075,3.4751999999999995e-05
1494680185440,-1.075,2.9321999999999998e-05
1494680185450,-1.075,3.1494e-05
1494680185460,-1.075,2.7511999999999997e-05
1494680185470,-1.075,2.7874e-05
1494680185480,-1.075,2.2805999999999998e-05
1494680185490,-1.075,1.991e-05
1494680185500,-1.075,2.4978e-05
1494680185510,-1.075,2.5702e-05
1494680185520,-1.075,2.9321999999999998e-05
1494680185530,-1.075,3.077e-05
1494680185540,-1.075,2.9321999999999998e-05
1494680185550,-1.075,2.6788000000000002e-05
1494680185560,-1.075,2.4978e-05
1494680185570,-1.075,2.353e-05
1494680185580,-1.075,2.353e-05
1494680185590,-1.075,2.6426e-05
1494680185600,-1.075,2.6788000000000002e-05
1494680185610,-1.075,2.7874e-05
1494680185620,-1.075,3.2218e-05
1494680185630,-1.075,2.5702e-05
1494680185640,-1.075,2.6426e-05
1494680185650,-1.075,2.715e-05
1494680185660,-1.075,2.5702e-05
1494680185670,-1.075,2.353e-05
1494680185680,-1.075,2.2444e-05
1494680185690,-1.075,2.4254000000000002e-05
1494680185700,-1.075,2.8236e-05
1494680185710,-1.075,3.3304e-05
1494680185720,-1.075,3.0046e-05
1494680185730,-1.075,2.7511999999999997e-05
1494680185740,-1.075,2.5702e-05
1494680185750,-1.075,2.172e-05
1494680185760,-1.075,2.3168000000000002e-05
1494680185770,-1.075,1.8462e-05
1494680185780,-1.075,2.4616e-05
1494680185790,-1.075,1.8462e-05
1494680185800,-1.075,2.4616e-05
1494680185810,-1.075,2.0272000000000002e-05
1494680185820,-1.075,2.353e-05
1494680185830,-1.075,2.172e-05
1494680185840,-1.075,1.629e-05
1494680185850,-1.075,1.5928e-05
1494680185860,-1.075,2.3168000000000002e-05
1494680185870,-1.075,2.2082e-05
1494680185880,-1.075,2.7511999999999997e-05
1494680185890,-1.075,2.5702e-05
1494680185900,-1.075,2.8598000000000003e-05
1494680185910,-1.075,2.715e-05
1494680185920,-1.075,2.7874e-05
1494680185930,-1.075,2.2805999999999998e-05
1494680185940,-1.075,2.172e-05
1494680185950,-1.075,2.0272000000000002e-05
1494680185960,-1.075,2.2444e-05
1494680185970,-1.075,2.3891999999999998e-05
1494680185980,-1.075,2.4616e-05
1494680185990,-1.075,2.2082e-05
1494680186000,-1.075,2.2082e-05
1494680186010,-1.075,1.991e-05
1494680186020,-1.075,2.1358e-05
1494680186030,-1.075,2.0634e-05
1494680186040,-1.075,1.9186e-05
1494680186050,-1.075,2.4254000000000002e-05
1494680186060,-1.075,2.4616e-05
1494680186070,-1.075,2.9321999999999998e-05
1494680186080,-1.075,3.077e-05
1494680186090,-1.075,2.6788000000000002e-05
1494680186100,-1.075,2.2444e-05
1494680186110,-1.075,1.8462e-05
1494680186120,-1.075,2.534e-05
1494680186130,-1.075,2.6064e-05
1494680186140,-1.075,3.1856e-05
1494680186150,-1.075,2.8236e-05
1494680186160,-1.075,2.9321999999999998e-05
1494680186170,-1.075,3.1856e-05
1494680186180,-1.075,2.172e-05
1494680186190,-1.075,2.4254000000000002e-05
1494680186200,-1.075,2.4978e-05
1494680186210,-1.075,2.534e-05
1494680186220,-1.075,2.534e-05
1494680186230,-1.075,2.4978e-05
1494680186240,-1.075,2.715e-05
1494680186250,-1.075,2.6788000000000002e-05
1494680186260,-1.075,2.2444e-05
1494680186270,-1.075,2.2444e-05
1494680186280,-1.075,2.2805999999999998e-05
1494680186290,-1.075,2.0272000000000002e-05
1494680186300,-1.075,2.0996e-05
1494680186310,-1.075,3.0408e-05
1494680186320,-1.075,3.8372e-05
1494680186330,-1.075,3.439e-05
1494680186340,-1.075,3.3666e-05
1494680186350,-1.075,2.534e-05
1494680186360,-1.075,2.353e-05
1494680186370,-1.075,2.2444e-05
1494680186380,-1.075,2.6426e-05
1494680186390,-1.075,2.534e-05
1494680186400,-1.075,2.8236e-05
1494680186410,-1.075,2.6788000000000002e-05
1494680186420,-1.075,2.172e-05
1494680186430,-1.075,2.4616e-05
1494680186440,-1.075,2.2805999999999998e-05
1494680186450,-1.075,2.0634e-05
1494680186460,-1.075,2.6064e-05
1494680186470,-1.075,2.6788000000000002e-05
1494680186480,-1.075,2.8236e-05
1494680186490,-1.075,2.8598000000000003e-05
1494680186500,-1.075,2.4978e-05
1494680186510,-1.075,3.2218e-05
1494680186520,-1.075,3.0046e-05
1494680186530,-1.075,2.3891999999999998e-05
1494680186540,-1.075,1.991e-05
1494680186550,-1.075,1.8824e-05
1494680186560,-1.075,2.534e-05
1494680186570,-1.075,3.3666e-05
1494680186580,-1.075,3.0046e-05
1494680186590,-1.075,3.258e-05
1494680186600,-1.075,2.7874e-05
1494680186610,-1.075,2.7511999999999997e-05
1494680186620,-1.075,2.0996e-05
1494680186630,-1.075,2.172e-05
1494680186640,-1.075,2.172e-05
1494680186650,-1.075,2.353e-05
1494680186660,-1.075,2.7511999999999997e-05
1494680186670,-1.075,2.4616e-05
1494680186680,-1.075,2.3891999999999998e-05
1494680186690,-1.075,2.3168000000000002e-05
1494680186700,-1.075,2.3891999999999998e-05
1494680186710,-1.075,1.991e-05
1494680186720,-1.075,1.991e-05
1494680186730,-1.075,2.4254000000000002e-05
1494680186740,-1.075,2.4616e-05
1494680186750,-1.075,3.1494e-05
1494680186760,-1.075,3.077e-05
1494680186770,-1.075,2.715e-05
1494680186780,-1.075,2.7511999999999997e-05
1494680186790,-1.075,2.0272000000000002e-05
1494680186800,-1.075,2.4616e-05
1494680186810,-1.075,1.991e-05
1494680186820,-1.075,2.0272000000000002e-05
1494680186830,-1.075,1.9548e-05
1494680186840,-1.075,2.3168000000000002e-05
1494680186850,-1.075,2.0634e-05
1494680186860,-1.075,2.2082e-05
1494680186870,-1.075,2.353e-05
1494680186880,-1.075,2.4254000000000002e-05
1494680186890,-1.075,2.353e-05
1494680186900,-1.075,2.6788000000000002e-05
1494680186910,-1.075,2.2444e-05
1494680186920,-1.075,2.2805999999999998e-05
1494680186930,-1.075,2.3168000000000002e-05
1494680186940,-1.075,2.2082e-05
1494680186950,-1.075,1.9548e-05
1494680186960,-1.075,2.0634e-05
1494680186970,-1.075,1.5566e-05
1494680186980,-1.075,2.0996e-05
1494680186990,-1.075,1.8462e-05
1494680187000,-1.075,2.5702e-05
1494680187010,-1.075,2.3168000000000002e-05
1494680187020,-1.075,2.1358e-05
1494680187030,-1.075,2.0996e-05
1494680187040,-1.075,2.0272000000000002e-05
1494680187050,-1.075,2.353e-05
1494680187060,-1.075,2.0996e-05
1494680187070,-1.075,1.6652e-05
1494680187080,-1.075,1.8462e-05
1494680187090,-1.075,2.0996e-05
1494680187100,-1.075,2.7511999999999997e-05
1494680187110,-1.075,1.5928e-05
1494680187120,-1.075,2.1358e-05
1494680187130,-1.075,1.7738e-05
1494680187140,-1.075,1.8462e-05
1494680187150,-1.075,1.4842000000000001e-05
1494680187160,-1.075,1.8462e-05
1494680187170,-1.075,1.8100000000000003e-05
1494680187180,-1.075,2.0272000000000002e-05
1494680187190,-1.075,2.2444e-05
1494680187200,-1.075,2.0272000000000002e-05
1494680187210,-1.075,2.172e-05
1494680187220,-1.075,1.5928e-05
1494680187230,-1.075,1.8100000000000003e-05
1494680187240,-1.075,1.9548e-05
1494680187250,-1.075,1.629e-05
1494680187260,-1.075,1.7375999999999998e-05
1494680187270,-1.075,1.8462e-05
1494680187280,-1.075,1.9186e-05
1494680187290,-1.075,2.2444e-05
1494680187300,-1.075,2.2805999999999998e-05
1494680187310,-1.075,2.3168000000000002e-05
1494680187320,-1.075,2.172e-05
1494680187330,-1.075,1.991e-05
1494680187340,-1.075,1.8824e-05
1494680187350,-1.075,2.3168000000000002e-05
1494680187360,-1.075,2.3891999999999998e-05
1494680187370,-1.075,2.2444e-05
1494680187380,-1.075,2.4254000000000002e-05
1494680187390,-1.075,2.6426e-05
1494680187400,-1.075,1.8462e-05
1494680187410,-1.075,1.9186e-05
1494680187420,-1.075,1.8462e-05
1494680187430,-1.075,1.9548e-05
1494680187440,-1.075,1.9548e-05
1494680187450,-1.075,2.172e-05
1494680187460,-1.075,1.8462e-05
1494680187470,-1.075,2.0996e-05
1494680187480,-1.075,1.9548e-05
1494680187490,-1.075,2.0996e-05
1494680187500,-1.075,1.9186e-05
1494680187510,-1.075,2.0996e-05
1494680187520,-1.075,1.9186e-05
1494680187530,-1.075,1.8462e-05
1494680187540,-1.075,1.8824e-05
1494680187550,-1.075,2.0634e-05
1494680187560,-1.075,2.0634e-05
1494680187570,-1.075,2.0272000000000002e-05
1494680187580,-1.075,1.7375999999999998e-05
1494680187590,-1.075,1.7014e-05
1494680187600,-1.075,1.6652e-05
1494680187610,-1.075,1.9548e-05
1494680187620,-1.075,1.5204e-05
1494680187630,-1.075,2.0272000000000002e-05
1494680187640,-1.075,1.9186e-05
1494680187650,-1.075,1.7375999999999998e-05
1494680187660,-1.075,1.7738e-05
1494680187670,-1.075,1.9548e-05
1494680187680,-1.075,1.1945999999999999e-05
1494680187690,-1.075,2.172e-05
1494680187700,-1.075,1.3394000000000001e-05
1494680187710,-1.075,1.8824e-05
1494680187720,-1.075,1.9186e-05
1494680187730,-1.075,1.8824e-05
1494680187740,-1.075,1.7014e-05
1494680187750,-1.075,1.9548e-05
1494680187760,-1.075,1.8462e-05
1494680187770,-1.075,1.3394000000000001e-05
1494680187780,-1.075,1.3394000000000001e-05
1494680187790,-1.075,1.9186e-05
1494680187800,-1.075,1.4842000000000001e-05
1494680187810,-1.075,1.9186e-05
1494680187820,-1.075,1.629e-05
1494680187830,-1.075,1.7375999999999998e-05
