Timestamp,position,BLMTI.06L3.B1I10_TCP.6L3.B1
1494674589990,-1.0,3.6200000000000004e-07
1494674590000,-1.0,7.240000000000001e-07
1494674590010,-1.0,7.240000000000001e-07
1494674590020,-1.0,1.0859999999999999e-06
1494674590030,-1.0,3.6200000000000004e-07
1494674590040,-1.0,7.240000000000001e-07
1494674590050,-1.0,1.0859999999999999e-06
1494674590060,-1.0,3.6200000000000004e-07
1494674590070,-1.0,1.0859999999999999e-06
1494674590080,-1.0,3.6200000000000004e-07
1494674590090,-1.0,1.4480000000000002e-06
1494674590100,-1.0,0.0
1494674590110,-1.0,1.0859999999999999e-06
1494674590120,-1.0,3.6200000000000004e-07
1494674590130,-1.0,7.240000000000001e-07
1494674590140,-1.0,7.240000000000001e-07
1494674590150,-1.0,7.240000000000001e-07
1494674590160,-1.0,3.6200000000000004e-07
1494674590170,-1.0,3.6200000000000004e-07
1494674590180,-1.0,1.0859999999999999e-06
1494674590190,-1.0,3.6200000000000004e-07
1494674590200,-1.0,1.0859999999999999e-06
1494674590210,-1.0,7.240000000000001e-07
1494674590220,-1.0,7.240000000000001e-07
1494674590230,-1.0,1.81e-06
1494674590240,-1.0,1.4480000000000002e-06
1494674590250,-1.0,3.6200000000000004e-07
1494674590260,-1.0,1.0859999999999999e-06
1494674590270,-1.0,1.81e-06
1494674590280,-1.0,3.6200000000000004e-07
1494674590290,-1.0,1.0859999999999999e-06
1494674590300,-1.0,3.6200000000000004e-07
1494674590310,-1.0,1.0859999999999999e-06
1494674590320,-1.0,1.0859999999999999e-06
1494674590330,-1.0,7.240000000000001e-07
1494674590340,-1.0,7.240000000000001e-07
1494674590350,-1.0,1.0859999999999999e-06
1494674590360,-1.0,1.0859999999999999e-06
1494674590370,-1.0,1.0859999999999999e-06
1494674590380,-1.0,7.240000000000001e-07
1494674590390,-1.0,7.240000000000001e-07
1494674590400,-1.0,1.4480000000000002e-06
1494674590410,-1.0,3.6200000000000004e-07
1494674590420,-1.0,7.240000000000001e-07
1494674590430,-1.0,3.6200000000000004e-07
1494674590440,-1.0,1.0859999999999999e-06
1494674590450,-1.0,7.240000000000001e-07
1494674590460,-1.0,7.240000000000001e-07
1494674590470,-1.0,7.240000000000001e-07
1494674590480,-1.0,7.240000000000001e-07
1494674590490,-1.0,1.0859999999999999e-06
1494674590500,-1.0,3.6200000000000004e-07
1494674590510,-1.0,1.0859999999999999e-06
1494674590520,-1.0,3.6200000000000004e-07
1494674590530,-1.0,7.240000000000001e-07
1494674590540,-1.0,7.240000000000001e-07
1494674590550,-1.0,7.240000000000001e-07
1494674590560,-1.0,7.240000000000001e-07
1494674590570,-1.0,3.6200000000000004e-07
1494674590580,-1.0,3.6200000000000004e-07
1494674590590,-1.0,1.0859999999999999e-06
1494674590600,-1.0,7.240000000000001e-07
1494674590610,-1.0,0.0
1494674590620,-1.0,7.240000000000001e-07
1494674590630,-1.0,1.0859999999999999e-06
1494674590640,-1.0,7.240000000000001e-07
1494674590650,-0.95,3.6200000000000004e-07
1494674590660,-0.95,7.240000000000001e-07
1494674590670,-0.95,3.6200000000000004e-07
1494674590680,-0.95,3.6200000000000004e-07
1494674590690,-0.95,7.240000000000001e-07
1494674590700,-0.95,7.240000000000001e-07
1494674590710,-0.95,3.6200000000000004e-07
1494674590720,-0.95,1.0859999999999999e-06
1494674590730,-0.95,1.0859999999999999e-06
1494674590740,-0.95,1.81e-06
1494674590750,-0.95,7.240000000000001e-07
1494674590760,-0.95,3.6200000000000004e-07
1494674590770,-0.95,7.240000000000001e-07
1494674590780,-0.95,7.240000000000001e-07
1494674590790,-0.95,1.0859999999999999e-06
1494674590800,-0.95,3.6200000000000004e-07
1494674590810,-0.95,1.4480000000000002e-06
1494674590820,-0.95,7.240000000000001e-07
1494674590830,-0.95,3.6200000000000004e-07
1494674590840,-0.95,1.0859999999999999e-06
1494674590850,-0.95,7.240000000000001e-07
1494674590860,-0.95,3.6200000000000004e-07
1494674590870,-0.95,3.6200000000000004e-07
1494674590880,-0.95,1.0859999999999999e-06
1494674590890,-0.95,7.240000000000001e-07
1494674590900,-0.95,7.240000000000001e-07
1494674590910,-0.95,3.6200000000000004e-07
1494674590920,-0.95,7.240000000000001e-07
1494674590930,-0.95,3.6200000000000004e-07
1494674590940,-0.95,7.240000000000001e-07
1494674590950,-0.95,7.240000000000001e-07
1494674590960,-0.95,7.240000000000001e-07
1494674590970,-0.95,3.6200000000000004e-07
1494674590980,-0.95,1.0859999999999999e-06
1494674590990,-0.95,7.240000000000001e-07
1494674591000,-0.95,7.240000000000001e-07
1494674591010,-0.95,1.0859999999999999e-06
1494674591020,-0.95,3.6200000000000004e-07
1494674591030,-0.95,1.0859999999999999e-06
1494674591040,-0.95,7.240000000000001e-07
1494674591050,-0.95,1.0859999999999999e-06
1494674591060,-0.95,3.6200000000000004e-07
1494674591070,-0.95,1.0859999999999999e-06
1494674591080,-0.95,7.240000000000001e-07
1494674591090,-0.95,7.240000000000001e-07
1494674591100,-0.95,7.240000000000001e-07
1494674591110,-0.95,7.240000000000001e-07
1494674591120,-0.95,3.6200000000000004e-07
1494674591130,-0.95,7.240000000000001e-07
1494674591140,-0.95,7.240000000000001e-07
1494674591150,-0.95,3.6200000000000004e-07
1494674591160,-0.95,1.4480000000000002e-06
1494674591170,-0.95,7.240000000000001e-07
1494674591180,-0.95,3.6200000000000004e-07
1494674591190,-0.95,7.240000000000001e-07
1494674591200,-0.95,1.0859999999999999e-06
1494674591210,-0.95,7.240000000000001e-07
1494674591220,-0.95,1.4480000000000002e-06
1494674591230,-0.95,1.4480000000000002e-06
