Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494677048040,-1.6,2.5340000000000002e-06
1494677048050,-1.6,5.43e-06
1494677048060,-1.6,3.62e-06
1494677048070,-1.6,2.5340000000000002e-06
1494677048080,-1.6,3.62e-06
1494677048090,-1.6,5.43e-06
1494677048100,-1.6,3.982e-06
1494677048110,-1.6,3.62e-06
1494677048120,-1.6,3.982e-06
1494677048130,-1.6,5.0680000000000004e-06
1494677048140,-1.6,2.5340000000000002e-06
1494677048150,-1.6,4.343999999999999e-06
1494677048160,-1.6,3.62e-06
1494677048170,-1.6,3.982e-06
1494677048180,-1.6,2.8960000000000003e-06
1494677048190,-1.6,4.706e-06
1494677048200,-1.6,3.62e-06
1494677048210,-1.6,5.43e-06
1494677048220,-1.6,3.982e-06
1494677048230,-1.6,5.0680000000000004e-06
1494677048240,-1.6,5.0680000000000004e-06
1494677048250,-1.6,6.154e-06
1494677048260,-1.6,3.62e-06
1494677048270,-1.6,4.706e-06
1494677048280,-1.6,3.258e-06
1494677048290,-1.6,5.0680000000000004e-06
1494677048300,-1.6,3.982e-06
1494677048310,-1.6,5.43e-06
1494677048320,-1.6,4.706e-06
1494677048330,-1.6,4.706e-06
1494677048340,-1.6,3.982e-06
1494677048350,-1.6,5.0680000000000004e-06
1494677048360,-1.6,3.982e-06
1494677048370,-1.6,5.792000000000001e-06
1494677048380,-1.6,3.258e-06
1494677048390,-1.6,4.706e-06
1494677048400,-1.6,3.258e-06
1494677048410,-1.6,4.706e-06
1494677048420,-1.6,3.258e-06
1494677048430,-1.6,5.0680000000000004e-06
1494677048440,-1.6,3.62e-06
1494677048450,-1.6,4.706e-06
1494677048460,-1.6,3.258e-06
1494677048470,-1.6,4.706e-06
1494677048480,-1.6,2.8960000000000003e-06
1494677048490,-1.6,5.792000000000001e-06
1494677048500,-1.6,2.8960000000000003e-06
1494677048510,-1.6,4.706e-06
1494677048520,-1.6,2.5340000000000002e-06
1494677048530,-1.6,4.343999999999999e-06
1494677048540,-1.6,3.62e-06
1494677048550,-1.6,4.706e-06
1494677048560,-1.6,3.62e-06
1494677048570,-1.6,4.706e-06
1494677048580,-1.6,2.1719999999999997e-06
1494677048590,-1.6,6.154e-06
1494677048600,-1.6,2.5340000000000002e-06
1494677048610,-1.6,6.877999999999999e-06
1494677048620,-1.6,2.5340000000000002e-06
1494677048630,-1.6,5.792000000000001e-06
1494677048640,-1.6,3.62e-06
1494677048650,-1.6,6.877999999999999e-06
1494677048660,-1.6,2.8960000000000003e-06
1494677048670,-1.6,5.0680000000000004e-06
1494677048680,-1.6,3.62e-06
1494677048690,-1.6,6.877999999999999e-06
1494677048700,-1.6,2.8960000000000003e-06
1494677048710,-1.6,5.792000000000001e-06
1494677048720,-1.6,2.8960000000000003e-06
1494677048730,-1.6,6.516e-06
1494677048740,-1.6,3.258e-06
1494677048750,-1.6,5.792000000000001e-06
1494677048760,-1.6,2.1719999999999997e-06
1494677048770,-1.6,5.792000000000001e-06
1494677048780,-1.6,7.240000000000001e-07
1494677048790,-1.6,5.43e-06
1494677048800,-1.6,2.5340000000000002e-06
1494677048810,-1.6,5.0680000000000004e-06
1494677048820,-1.6,2.8960000000000003e-06
1494677048830,-1.6,5.792000000000001e-06
1494677048840,-1.6,2.8960000000000003e-06
1494677048850,-1.6,6.154e-06
1494677048860,-1.6,3.258e-06
1494677048870,-1.6,7.24e-06
1494677048880,-1.6,2.1719999999999997e-06
1494677048890,-1.6,6.154e-06
1494677048900,-1.6,2.1719999999999997e-06
1494677048910,-1.59,4.706e-06
1494677048920,-1.59,2.1719999999999997e-06
1494677048930,-1.59,5.43e-06
1494677048940,-1.59,2.5340000000000002e-06
1494677048950,-1.59,6.154e-06
1494677048960,-1.59,2.8960000000000003e-06
1494677048970,-1.59,6.154e-06
1494677048980,-1.59,3.982e-06
1494677048990,-1.59,5.43e-06
1494677049000,-1.59,2.1719999999999997e-06
1494677049010,-1.59,5.0680000000000004e-06
1494677049020,-1.59,1.4480000000000002e-06
1494677049030,-1.59,5.0680000000000004e-06
1494677049040,-1.59,3.258e-06
1494677049050,-1.59,5.43e-06
1494677049060,-1.59,2.8960000000000003e-06
1494677049070,-1.59,5.43e-06
1494677049080,-1.59,1.81e-06
1494677049090,-1.59,4.343999999999999e-06
1494677049100,-1.59,1.0859999999999999e-06
1494677049110,-1.59,3.258e-06
1494677049120,-1.59,2.1719999999999997e-06
1494677049130,-1.59,5.0680000000000004e-06
1494677049140,-1.59,2.1719999999999997e-06
1494677049150,-1.59,5.43e-06
