Timestamp,position,BLMTI.05R3.B1I10_TCLA.A5R3.B1
1469992104510,0.92,4.6336000000000005e-05
1469992104520,0.92,4.3078e-05
1469992104530,0.92,5.2128e-05
1469992104540,0.92,4.2716e-05
1469992104550,0.92,4.7422e-05
1469992104560,0.92,4.1992e-05
1469992104570,0.92,4.1992e-05
1469992104580,0.92,5.0318e-05
1469992104590,0.92,3.6200000000000006e-05
1469992104600,0.92,3.8734e-05
1469992104610,0.92,3.2942e-05
1469992104620,0.92,3.8372e-05
1469992104630,0.92,3.1856e-05
1469992104640,0.92,4.6336000000000005e-05
1469992104650,0.92,3.3666e-05
1469992104660,0.92,3.6562e-05
1469992104670,0.92,3.6924e-05
1469992104680,0.92,5.6834e-05
1469992104690,0.92,5.0318e-05
1469992104700,0.92,5.068e-05
1469992104710,0.92,5.792e-05
1469992104720,0.92,4.1992e-05
1469992104730,0.92,5.5386e-05
1469992104740,0.92,4.3802e-05
1469992104750,0.92,7.0952e-05
1469992104760,0.92,4.163e-05
1469992104770,0.92,5.8281999999999995e-05
1469992104780,0.92,5.2128e-05
1469992104790,0.92,5.3576000000000003e-05
1469992104800,0.92,3.982e-05
1469992104810,0.92,3.439e-05
1469992104820,0.92,3.9458e-05
1469992104830,0.92,3.3666e-05
1469992104840,0.92,3.982e-05
1469992104850,0.92,3.9096e-05
1469992104860,0.92,3.9458e-05
1469992104870,0.92,3.258e-05
1469992104880,0.92,3.1494e-05
1469992104890,0.92,3.439e-05
1469992104900,0.92,3.1856e-05
1469992104910,0.92,2.8236e-05
1469992104920,0.92,3.077e-05
1469992104930,0.92,2.8236e-05
1469992104940,0.92,3.2218e-05
1469992104950,0.92,2.9684000000000002e-05
1469992104960,0.92,3.4751999999999995e-05
1469992104970,0.92,4.0906e-05
1469992104980,0.92,2.9321999999999998e-05
1469992104990,0.92,3.3666e-05
1469992105000,0.91,2.7511999999999997e-05
1469992105010,0.91,3.439e-05
1469992105020,0.91,2.9684000000000002e-05
1469992105030,0.91,3.6562e-05
1469992105040,0.91,3.0046e-05
1469992105050,0.91,2.8236e-05
1469992105060,0.91,3.0408e-05
1469992105070,0.91,3.1132e-05
1469992105080,0.91,3.7648e-05
1469992105090,0.91,2.6788000000000002e-05
1469992105100,0.91,3.1494e-05
1469992105110,0.91,3.2942e-05
1469992105120,0.91,4.4526e-05
1469992105130,0.91,3.6200000000000006e-05
1469992105140,0.91,4.163e-05
1469992105150,0.91,3.1856e-05
1469992105160,0.91,3.7286e-05
1469992105170,0.91,3.4751999999999995e-05
1469992105180,0.91,5.068e-05
1469992105190,0.91,4.6698e-05
1469992105200,0.91,3.982e-05
1469992105210,0.91,4.9232e-05
1469992105220,0.91,4.7783999999999995e-05
1469992105230,0.91,6.3712e-05
1469992105240,0.91,5.3576000000000003e-05
1469992105250,0.91,6.3712e-05
1469992105260,0.91,3.801e-05
1469992105270,0.91,5.3938000000000004e-05
1469992105280,0.91,5.611e-05
1469992105290,0.91,4.2716e-05
1469992105300,0.91,3.6924e-05
1469992105310,0.91,3.5476e-05
1469992105320,0.91,4.5974e-05
1469992105330,0.91,3.5114e-05
1469992105340,0.91,3.5476e-05
1469992105350,0.91,0.00111858
1469992105360,0.91,0.0052233
1469992105370,0.91,0.00210612
1469992105380,0.91,0.00304478
1469992105390,0.91,0.00186864
1469992105400,0.91,0.00196204
1469992105410,0.91,0.00154791
1469992105420,0.91,0.0008311519999999999
1469992105430,0.91,0.00128148
1469992105440,0.91,0.000592956
1469992105450,0.91,0.00121306
1469992105460,0.91,0.000629156
1469992105470,0.91,0.00088509
1469992105480,0.91,0.000578476
1469992105490,0.91,0.000616486
1469992105500,0.91,0.000618658
1469992105510,0.91,0.00043367599999999997
1469992105520,0.91,0.0006302419999999999
1469992105530,0.91,0.00025883
1469992105540,0.91,0.000529606
1469992105550,0.91,0.00028127400000000003
1469992105560,0.91,0.00049051
1469992105570,0.91,0.000312406
1469992105580,0.91,0.000326886
1469992105590,0.91,0.00032145599999999997
1469992105600,0.91,0.000221544
1469992105610,0.91,0.000332316
1469992105620,0.91,0.00019837599999999997
1469992105630,0.91,0.000326886
1469992105640,0.91,0.00022082
1469992105650,0.91,0.000267156
1469992105660,0.91,0.00022552599999999998
1469992105670,0.91,0.00022082
1469992105680,0.91,0.000355846
1469992105690,0.91,0.00021285599999999998
1469992105700,0.91,0.00026245
1469992105710,0.91,0.00016579599999999998
1469992105720,0.91,0.000353674
1469992105730,0.91,0.000455034
1469992105740,0.91,0.000422816
1469992105750,0.91,0.000285618
1469992105760,0.91,0.000204168
1469992105770,0.91,0.00044670800000000003
1469992105780,0.91,0.000297926
1469992105790,0.91,0.00024217799999999998
1469992105800,0.91,0.000120184
1469992105810,0.91,0.00020634
1469992105820,0.91,0.00018208599999999998
1469992105830,0.91,0.00016579599999999998
1469992105840,0.91,0.00015167799999999998
1469992105850,0.91,0.00011728799999999999
1469992105860,0.91,0.000218286
1469992105870,0.91,0.00015819399999999998
1469992105880,0.91,0.000209236
1469992105890,0.91,0.000102084
1469992105900,0.91,0.00017484599999999999
1469992105910,0.91,0.000151316
1469992105920,0.91,0.00017014
1469992105930,0.91,0.000127424
1469992105940,0.91,9.375799999999999e-05
1469992105950,0.91,0.000154212
1469992105960,0.91,0.000131768
1469992105970,0.91,0.000161814
1469992105980,0.91,8.9776e-05
1469992105990,0.91,0.000131406
1469992106000,0.91,0.000163262
