,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
455,0,13134.71309574468,2.543070311424949,13189.3,14152.138904105577,0.5432190615623573,612.5858680834613,TCTPH,PROTON,I
456,0,11.622278350515463,2.1086000077136093,12.850999999999999,10.321509912224283,0.22222613216383155,3.7626207803829956,TCSG,PROTON,I
457,1,2.7390864197530864,3.7362231661041116,3.258,2.252389895977384,0.3926848877755085,0.9709424340461538,TCTPH,PROTON,I
458,0,2.7390864197530864,3.9539517888374514,3.258,2.252389895977384,0.3926848877755085,0.9709424340461538,TCTPH,PROTON,I
459,1,185.66236607142858,1.9898463622914044,235.662,163.5209692000999,56.73107633031292,72.14103076762261,TCSP,PROTON,I
460,1,57.39532911392405,1.4421367923220656,67.332,53.65987810305489,0.18716537727345264,10.840221625201437,TCSG,PROTON,I
461,0,7.603865979381443,3.3443116451799555,11.041,7.730989883754673,0.4799699458129424,3.579669484079484,TCTPH,PROTON,I
462,0,239.36078823529414,2.0992585243325523,335.574,165.15243443315748,0.105169604187013,95.79058470036135,TCTPV,PROTON,I
463,1,13.673885416666668,1.3498305355188294,16.109,11.25913452498878,0.11592585404620441,3.2668750912093554,TCSG,PROTON,I
464,1,5.398899999999999,2.428592423859729,6.154,4.413133530464651,0.1364347388592778,1.0261536775860938,TCP,PROTON,I
465,0,3.3484999999999996,5.060013192323235,7.421,4.107866365433986,0.002962006321190525,0.8341944713695659,TCTPH,PROTON,I
466,1,63.70461224489795,4.0755888883531695,84.889,42.43679415468544,0.05165188838459381,29.972065877501475,TCSP,PROTON,I
467,0,15.08668817204301,6.43605808798955,17.014,15.407655474731355,0.33256464763807675,2.463613508279351,TCTPH,PROTON,I
468,0,6.287693181818181,3.6973426793335156,10.86,6.5706729156450825,0.8485243387997147,4.636676504559863,TCTPV,PROTON,I
469,0,67.35812371134023,2.025807441127996,228.06,123.8447249625402,91.53494365841804,104.2152750660225,TCSP,PROTON,I
470,1,9.051523255813951,2.208010210676537,13.755999999999998,9.260626442453313,0.36409601763755733,5.077638628596265,TCSP,PROTON,I
471,1,72.67616494845362,1.367335750765487,112.22000000000001,72.9972999806896,42.23871658021501,39.22270000021485,TCTPH,PROTON,I
472,0,6.168364583333333,4.041043237929034,7.7829999999999995,5.118992753102031,0.4065374969749211,2.523705745765697,TCTPH,PROTON,I
473,1,575.0075348837208,1.2009271738298835,596.2139999999999,508.902873104684,0.7538110003904737,71.05892952041584,TCTPV,PROTON,I
474,0,1079.1661382978723,0.694465883383638,1233.33,1082.3576020283024,0.2496827454168175,193.139590030797,TCSG,PROTON,I
475,1,5.9019176470588235,2.898300591318428,9.231,7.142372421473352,0.35001959014224465,3.2561319456897655,TCTPV,PROTON,I
476,1,4.380792079207921,2.029230763874727,4.887,3.2734003118606654,0.16009508161113206,1.1685862863170826,TCTPH,PROTON,I
477,0,4.380792079207921,5.155813786325488,4.887,3.2734003118606654,0.16009508161113206,1.1685862863170826,TCTPH,PROTON,I
478,0,265.63010126582276,2.2694686749541106,321.818,231.0372714564344,0.16902832914580831,60.759538901127996,TCTPV,PROTON,I
479,1,7.840157894736842,3.8681022736667336,11.765,7.21527281952075,0.4600686327878365,3.553589153894887,TCP,PROTON,I
480,1,446.83322105263153,1.041698825075457,451.77599999999995,382.56800343479114,0.20600127613821292,56.85716306795169,TCSG,PROTON,I
481,0,446.83322105263153,1.3133245939795413,451.77599999999995,382.56800343479114,0.20600127613821292,56.85716306795169,TCSG,PROTON,I
482,0,25.567775280898875,1.5149436974409862,29.865,25.058169255389398,0.27697486303949836,5.606419832349191,TCSG,PROTON,I
483,0,8.286999999999999,4.817892826394951,10.498,6.474517207575981,0.18332763663665483,2.2366138530626096,TCTPV,PROTON,I
484,1,116.9707415730337,2.142449647536964,131.225,91.85303588639542,0.09359556307364056,17.940704828151613,TCTPH,PROTON,I
485,0,364.20438947368416,1.946693067687494,474.582,295.31871089939426,0.04973658174661646,58.717151753035374,TCSP,PROTON,I
486,1,37.8001170212766,1.3081493075811934,41.087,35.501565451982444,0.12182625780104338,4.81372110732611,TCSG,PROTON,I
487,0,12.240282828282828,1.9769875237736099,13.755999999999998,11.591361415989477,1.1020890119681337,2.188912392973153,TCSG,PROTON,I
488,1,8.418467391304345,2.2607531255895483,11.945999999999998,7.287010723857739,0.3983962617767575,4.056899361016734,TCSP,PROTON,I
489,1,6.757178217821783,2.3858263035144027,8.145000000000001,6.734523152205854,3.629054176880599,1.411011229805784,TCSG,PROTON,I
490,1,106.80885416666666,1.612268356467858,128.51,98.89530385452579,0.2172239427222337,22.405654509181133,TCTPV,PROTON,I
491,1,18.791924050632915,1.1469642996267047,20.272000000000002,13.495161900524355,0.1777162123462427,2.278182669405483,TCP,PROTON,I
492,1,7797.084426966291,0.7402773166819201,7900.469999999999,7028.814562028059,0.8024615793617598,441.6101651459958,TCTPH,PROTON,I
493,1,6.77831313131313,2.817067208180466,8.687999999999999,6.956260512965784,1.490550811390002,1.8093329326540768,TCSG,PROTON,I
494,1,83.58674025974025,1.394532277953478,99.731,74.00101342554375,0.1640919099176127,15.713713956784735,TCSG,PROTON,I
495,0,19.9919875,2.8699322331652297,21.539,15.015584545611024,0.35283323627234625,3.589045410961694,TCTPV,PROTON,I
496,1,5.973402597402598,3.3228036394791545,8.869,4.663001801160875,0.07190175357437366,2.4815872638838683,TCSP,PROTON,I
497,0,5.973402597402598,3.358764717828496,8.869,4.663001801160875,0.07190175357437366,2.4815872638838683,TCSP,PROTON,I
498,1,42.82378651685393,3.4306868773625716,62.988,28.018206670251164,0.06463730921436782,23.460379738127916,TCSP,PROTON,I
499,0,21.499417721518988,3.7449323110088044,23.349,19.910670990290846,0.3142057224813084,2.2529890871159886,TCTPH,PROTON,I
500,0,108.30056790123456,2.5767925345307408,123.08,109.71260267550097,0.19365572015521526,19.076144288784736,TCTPV,PROTON,I
501,1,119.73543478260869,1.377730683642158,135.75,115.27979965266782,0.21474866943609017,16.30545392038967,TCSG,PROTON,I
502,0,14.787200000000002,5.512888727601333,18.824,12.780835493633665,0.4841940867097033,4.957304950102061,TCTPH,PROTON,I
503,0,4.779475247524752,4.181074709416772,9.231,4.90559317772346,0.013451240287243283,3.1330308846579107,TCSP,PROTON,I
504,1,4.93698969072165,2.7382788396745092,5.792000000000001,4.307547775638129,0.9623841844934969,1.3089391522917484,TCP,PROTON,I
505,0,4.93698969072165,3.3584465211338927,5.792000000000001,4.307547775638129,0.9623841844934969,1.3089391522917484,TCP,PROTON,I
506,1,18.599904761904764,1.4631363447681645,23.168000000000003,16.712673780033317,1.7961276284373355,6.370441908074141,TCTPH,PROTON,I
507,1,4.925878378378378,2.6322496775456,6.516,5.166162965689419,0.9355844767831415,1.4913272914969475,TCSG,PROTON,I
508,1,60.962632911392404,2.360178270254135,66.97,45.2733716612937,0.11211026446770149,11.63617103867285,TCTPH,PROTON,I
509,1,125.6051274509804,2.4663591674968264,154.936,81.0536633063531,0.03518426836623155,38.3473154263587,TCP,PROTON,I
510,1,90.10679310344827,2.482106298975751,99.731,50.00614886744523,0.057686485244727415,11.729446519420247,TCTPH,PROTON,I
511,0,8.850506172839506,4.013256343835529,13.213000000000001,6.533461027737984,0.1517671589816532,6.230375761561374,TCSP,PROTON,I
512,1,273.63889024390244,3.353969952826114,346.796,201.9197704418454,0.06566965532194982,94.89954671253881,TCSP,PROTON,I
513,0,9.840258928571428,3.016502083650617,14.48,10.95285079547355,0.5010081190245566,5.039054023093673,TCTPV,PROTON,I
