,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
295,0,0.21891891891891846,5.265984566978267,2.1719999999999997,1.092021324266817,5.401151304062552,1.0799810740071094,TCSG,PROTON,I
296,0,27.340715909090907,2.898300591318428,30.77,25.294298927303345,0.28653738616199625,3.4210662034402537,TCTPV,PROTON,I
297,1,1.9456315789473686,4.000816751155037,2.353,1.2531237103388313,0.388602667934461,0.84270202341465,TCSP,PROTON,I
298,0,1.9456315789473686,4.043265735252173,2.353,1.2531237103388313,0.388602667934461,0.84270202341465,TCSP,PROTON,I
299,1,0.2963202247191009,5.0888222008551365,1.0859999999999999,0.3008823529411913,25.311359425557455,0.7851176470588072,TCLA,PROTON,I
300,0,0.2963202247191009,5.814396079204423,1.0859999999999999,0.3008823529411913,25.311359425557455,0.7851176470588072,TCLA,PROTON,I
301,1,42.09879,4.453883443001268,47.06,35.32258978470498,0.35647180398419376,6.9596435100893945,TCLA,PROTON,I
302,1,7.269589743589743,1.9978881322934128,8.869,5.296343434391003,25.624957913421806,3.572656565654451,TCSG,PROTON,I
303,0,7.269589743589743,2.42661949115466,8.869,5.296343434391003,25.624957913421806,3.572656565654451,TCSG,PROTON,I
304,1,79.73461363636365,1.0961292652072512,86.156,74.93597799518463,0.2218954174404322,6.499010476788834,TCLA,PROTON,I
305,1,385.24390322580643,1.9860008608111581,404.173,374.2353061266116,0.4190540164757306,22.766056624093416,TCP,PROTON,I
306,1,3.6346500000000006,3.886676594273094,4.706,27.503357466911368,0.09108732075943918,1.9413278337198923,TCP,PROTON,I
307,0,3.6346500000000006,4.109568441973343,4.706,27.503357466911368,0.09108732075943918,1.9413278337198923,TCP,PROTON,I
308,1,271.9688554216867,2.9021332961434205,289.238,280.96828468659413,0.29484881833621707,20.371052920657977,TCSG,PROTON,I
309,1,6.72732,3.101911547109558,8.507,6.8172862137496,0.6944392301331463,1.7882693642543486,TCP,PROTON,I
310,0,6.72732,4.19779646495066,8.507,6.8172862137496,0.6944392301331463,1.7882693642543486,TCP,PROTON,I
311,1,12.134287128712872,3.7307228926773393,16.471,14.470007365272242,0.6680494547890967,2.4251725279518643,TCP,PROTON,I
312,0,12.134287128712872,4.128802763578615,16.471,14.470007365272242,0.6680494547890967,2.4251725279518643,TCP,PROTON,I
313,1,20.036420454545453,3.1715652495367492,20.996,18.704397915095903,0.36566010257686427,0.9473855117359808,TCP,PROTON,I
