Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459977494499,0.605,1.3394000000000001e-05
1459977494509,0.605,7.964e-06
1459977494519,0.605,1.2308e-05
1459977494529,0.605,8.687999999999999e-06
1459977494539,0.605,1.4118e-05
1459977494549,0.605,1.086e-05
1459977494559,0.605,1.5566e-05
1459977494569,0.605,1.1945999999999999e-05
1459977494579,0.605,1.5928e-05
1459977494589,0.605,1.0136000000000001e-05
1459977494599,0.605,1.3032e-05
1459977494609,0.605,1.086e-05
1459977494619,0.605,1.5566e-05
1459977494629,0.605,1.0136000000000001e-05
1459977494639,0.605,1.4118e-05
1459977494649,0.605,1.0136000000000001e-05
1459977494659,0.605,1.448e-05
1459977494669,0.605,8.687999999999999e-06
1459977494679,0.605,1.1945999999999999e-05
1459977494689,0.605,7.24e-06
1459977494700,0.605,1.267e-05
1459977494710,0.605,9.05e-06
1459977494720,0.605,1.448e-05
1459977494730,0.605,1.0136000000000001e-05
1459977494740,0.605,1.4118e-05
1459977494750,0.605,9.05e-06
1459977494760,0.605,1.1584000000000001e-05
1459977494770,0.605,9.05e-06
1459977494780,0.605,1.3394000000000001e-05
1459977494790,0.605,9.774e-06
1459977494800,0.605,1.3394000000000001e-05
1459977494810,0.605,1.0136000000000001e-05
1459977494820,0.605,1.267e-05
1459977494830,0.605,8.687999999999999e-06
1459977494840,0.605,1.1222e-05
1459977494850,0.605,8.326e-06
1459977494860,0.605,1.0498e-05
1459977494870,0.605,7.964e-06
1459977494880,0.605,1.4118e-05
1459977494890,0.605,1.086e-05
1459977494900,0.605,1.629e-05
1459977494910,0.605,9.05e-06
1459977494920,0.605,1.448e-05
1459977494930,0.605,9.412e-06
1459977494940,0.605,1.4118e-05
1459977494950,0.605,7.964e-06
1459977494960,0.605,1.1584000000000001e-05
1459977494970,0.605,7.24e-06
1459977494980,0.605,1.4118e-05
1459977494990,0.605,1.086e-05
1459977495000,0.605,1.3394000000000001e-05
1459977495010,0.605,7.964e-06
1459977495020,0.605,1.1222e-05
1459977495030,0.605,7.964e-06
1459977495040,0.605,1.3394000000000001e-05
1459977495050,0.605,8.687999999999999e-06
1459977495060,0.605,1.3032e-05
1459977495070,0.605,9.774e-06
1459977495080,0.605,1.4118e-05
1459977495090,0.605,1.1584000000000001e-05
1459977495100,0.605,1.4842000000000001e-05
1459977495110,0.605,7.602e-06
1459977495120,0.605,1.086e-05
1459977495130,0.605,9.05e-06
1459977495140,0.605,1.4842000000000001e-05
1459977495150,0.605,1.0498e-05
1459977495160,0.605,1.267e-05
1459977495170,0.605,8.687999999999999e-06
1459977495180,0.605,1.4842000000000001e-05
1459977495190,0.605,1.086e-05
1459977495200,0.605,1.267e-05
1459977495210,0.605,7.964e-06
1459977495220,0.605,1.3394000000000001e-05
1459977495230,0.605,7.964e-06
1459977495240,0.605,1.3394000000000001e-05
1459977495250,0.605,1.0136000000000001e-05
1459977495260,0.605,1.267e-05
1459977495270,0.605,8.687999999999999e-06
1459977495280,0.605,1.1945999999999999e-05
1459977495290,0.605,7.964e-06
1459977495300,0.605,1.3394000000000001e-05
1459977495310,0.605,9.05e-06
1459977495320,0.605,1.2308e-05
1459977495330,0.605,7.24e-06
1459977495340,0.605,1.3032e-05
1459977495350,0.605,1.0136000000000001e-05
1459977495360,0.605,1.3755999999999998e-05
1459977495370,0.605,7.24e-06
1459977495380,0.605,1.086e-05
1459977495390,0.605,7.602e-06
1459977495400,0.605,1.267e-05
1459977495410,0.605,7.24e-06
1459977495420,0.605,1.1584000000000001e-05
1459977495430,0.605,7.602e-06
1459977495440,0.605,1.3755999999999998e-05
1459977495450,0.605,7.602e-06
1459977495460,0.605,1.1945999999999999e-05
1459977495470,0.605,6.877999999999999e-06
1459977495480,0.605,1.1584000000000001e-05
1459977495490,0.605,6.877999999999999e-06
1459977495500,0.605,1.3032e-05
1459977495510,0.605,8.326e-06
1459977495520,0.605,1.1222e-05
1459977495530,0.605,6.154e-06
1459977495540,0.605,1.0498e-05
1459977495550,0.605,7.964e-06
1459977495560,0.605,1.3032e-05
1459977495570,0.605,7.964e-06
1459977495580,0.605,1.0136000000000001e-05
1459977495590,0.605,8.326e-06
1459977495600,0.605,1.1945999999999999e-05
1459977495610,0.605,8.687999999999999e-06
1459977495620,0.605,1.3394000000000001e-05
1459977495630,0.605,7.602e-06
1459977495640,0.605,1.3755999999999998e-05
1459977495650,0.605,8.687999999999999e-06
1459977495660,0.605,1.3755999999999998e-05
1459977495670,0.605,9.412e-06
1459977495680,0.605,1.2308e-05
1459977495690,0.605,9.412e-06
1459977495699,0.605,1.3032e-05
1459977495709,0.605,9.412e-06
1459977495719,0.605,1.3032e-05
1459977495729,0.605,9.412e-06
1459977495739,0.605,1.2308e-05
1459977495749,0.605,8.687999999999999e-06
1459977495759,0.605,1.0136000000000001e-05
1459977495769,0.605,7.964e-06
1459977495779,0.605,1.0136000000000001e-05
1459977495789,0.605,8.326e-06
1459977495799,0.605,1.3755999999999998e-05
1459977495809,0.605,9.05e-06
1459977495819,0.605,1.3394000000000001e-05
1459977495829,0.605,9.05e-06
1459977495839,0.605,1.1222e-05
1459977495849,0.605,7.602e-06
1459977495859,0.605,1.3032e-05
1459977495869,0.605,7.964e-06
1459977495879,0.605,1.0498e-05
1459977495889,0.605,7.964e-06
1459977495899,0.605,1.1945999999999999e-05
1459977495909,0.605,9.774e-06
1459977495919,0.605,1.3394000000000001e-05
1459977495929,0.605,7.964e-06
1459977495939,0.605,1.2308e-05
1459977495949,0.605,6.154e-06
1459977495959,0.605,1.2308e-05
1459977495969,0.605,9.774e-06
1459977495979,0.605,1.086e-05
1459977495989,0.605,7.602e-06
1459977495999,0.605,1.1584000000000001e-05
1459977496009,0.605,9.05e-06
1459977496019,0.605,1.3755999999999998e-05
1459977496029,0.605,6.877999999999999e-06
1459977496039,0.605,1.086e-05
1459977496049,0.605,8.326e-06
1459977496059,0.605,1.4118e-05
1459977496069,0.605,9.05e-06
1459977496079,0.605,1.1584000000000001e-05
1459977496089,0.605,6.877999999999999e-06
1459977496099,0.605,1.3032e-05
1459977496109,0.605,9.774e-06
1459977496119,0.605,1.5928e-05
1459977496129,0.605,9.05e-06
1459977496139,0.605,1.1945999999999999e-05
1459977496149,0.605,8.326e-06
1459977496159,0.605,1.3394000000000001e-05
1459977496169,0.605,8.326e-06
1459977496179,0.605,1.1945999999999999e-05
1459977496189,0.605,6.516e-06
1459977496199,0.605,1.086e-05
1459977496209,0.605,8.687999999999999e-06
1459977496219,0.605,1.267e-05
1459977496229,0.605,7.24e-06
1459977496239,0.605,9.774e-06
1459977496249,0.605,4.706e-06
1459977496259,0.605,1.3755999999999998e-05
1459977496269,0.605,7.964e-06
1459977496279,0.605,1.1222e-05
1459977496289,0.605,6.516e-06
1459977496299,0.605,1.086e-05
1459977496309,0.605,6.516e-06
1459977496319,0.605,1.0136000000000001e-05
1459977496329,0.605,7.24e-06
1459977496339,0.605,1.0136000000000001e-05
1459977496349,0.605,6.877999999999999e-06
1459977496359,0.605,1.1222e-05
1459977496369,0.605,7.964e-06
1459977496379,0.605,1.0136000000000001e-05
1459977496389,0.605,7.964e-06
1459977496399,0.605,9.774e-06
1459977496409,0.605,6.516e-06
1459977496419,0.605,1.267e-05
1459977496429,0.605,6.154e-06
1459977496439,0.605,1.1222e-05
1459977496449,0.605,6.516e-06
1459977496459,0.605,9.412e-06
1459977496469,0.605,5.792000000000001e-06
1459977496479,0.605,9.05e-06
1459977496489,0.605,6.516e-06
1459977496499,0.605,9.05e-06
1459977496509,0.605,6.154e-06
1459977496519,0.605,1.086e-05
1459977496529,0.605,7.24e-06
1459977496539,0.605,1.086e-05
1459977496549,0.605,6.516e-06
1459977496559,0.605,1.1222e-05
1459977496569,0.605,6.154e-06
1459977496579,0.605,1.1222e-05
1459977496589,0.605,7.964e-06
1459977496599,0.605,1.0498e-05
1459977496609,0.605,6.877999999999999e-06
1459977496619,0.605,1.1945999999999999e-05
1459977496629,0.605,8.687999999999999e-06
1459977496639,0.605,1.1584000000000001e-05
1459977496649,0.605,7.602e-06
1459977496659,0.605,1.1222e-05
1459977496669,0.605,7.602e-06
1459977496679,0.605,9.774e-06
1459977496689,0.605,6.154e-06
1459977496700,0.605,9.412e-06
1459977496710,0.605,6.516e-06
1459977496720,0.605,1.1945999999999999e-05
1459977496730,0.605,7.24e-06
1459977496740,0.605,1.1584000000000001e-05
1459977496750,0.605,5.792000000000001e-06
1459977496760,0.605,1.0498e-05
1459977496770,0.605,5.43e-06
1459977496780,0.605,9.774e-06
1459977496790,0.605,8.326e-06
1459977496800,0.605,1.1222e-05
1459977496810,0.605,7.964e-06
1459977496820,0.605,1.0498e-05
1459977496830,0.605,8.687999999999999e-06
1459977496840,0.605,1.267e-05
1459977496850,0.605,7.964e-06
1459977496860,0.605,9.774e-06
1459977496870,0.605,6.877999999999999e-06
1459977496880,0.605,1.1584000000000001e-05
1459977496890,0.605,6.516e-06
1459977496900,0.605,1.0136000000000001e-05
1459977496910,0.605,5.792000000000001e-06
1459977496920,0.605,8.687999999999999e-06
1459977496930,0.605,6.154e-06
1459977496940,0.605,1.086e-05
1459977496950,0.605,5.792000000000001e-06
1459977496960,0.605,9.412e-06
1459977496970,0.605,6.877999999999999e-06
1459977496980,0.605,9.774e-06
1459977496990,0.605,9.05e-06
1459977497000,0.605,1.1222e-05
1459977497010,0.605,7.24e-06
1459977497020,0.605,1.1584000000000001e-05
1459977497030,0.605,7.964e-06
1459977497040,0.605,1.0498e-05
1459977497050,0.605,6.516e-06
1459977497060,0.605,7.964e-06
1459977497070,0.605,5.43e-06
