Timestamp,position,BLMTI.04R2.B2E10_TCTPH.4R2.B2
1459973009990,-1.095,1.4480000000000002e-06
1459973010000,-1.095,7.240000000000001e-07
1459973010010,-1.095,7.240000000000001e-07
1459973010020,-1.095,7.240000000000001e-07
1459973010030,-1.095,3.6200000000000004e-07
1459973010040,-1.095,3.6200000000000004e-07
1459973010050,-1.095,7.240000000000001e-07
1459973010060,-1.095,7.240000000000001e-07
1459973010070,-1.095,3.6200000000000004e-07
1459973010080,-1.095,7.240000000000001e-07
1459973010090,-1.095,1.4480000000000002e-06
1459973010100,-1.095,3.6200000000000004e-07
1459973010110,-1.095,7.240000000000001e-07
1459973010120,-1.095,1.0859999999999999e-06
1459973010130,-1.095,0.0
1459973010140,-1.095,3.6200000000000004e-07
1459973010150,-1.095,1.4480000000000002e-06
1459973010160,-1.095,0.0
1459973010170,-1.095,1.0859999999999999e-06
1459973010180,-1.095,3.6200000000000004e-07
1459973010190,-1.095,3.6200000000000004e-07
1459973010200,-1.095,0.0
1459973010210,-1.095,3.6200000000000004e-07
1459973010220,-1.095,3.6200000000000004e-07
1459973010230,-1.095,3.6200000000000004e-07
1459973010240,-1.095,0.0
1459973010250,-1.095,3.6200000000000004e-07
1459973010260,-1.095,1.4480000000000002e-06
1459973010270,-1.095,7.240000000000001e-07
1459973010280,-1.095,7.240000000000001e-07
1459973010290,-1.095,3.982e-06
1459973010300,-1.095,1.8100000000000003e-05
1459973010310,-1.095,4.0181999999999996e-05
1459973010320,-1.095,5.4662e-05
1459973010330,-1.095,5.5386e-05
1459973010340,-1.095,4.525e-05
1459973010350,-1.095,3.0046e-05
1459973010360,-1.095,1.8100000000000003e-05
1459973010370,-1.095,1.2308e-05
1459973010380,-1.095,9.05e-06
1459973010390,-1.095,1.1945999999999999e-05
1459973010400,-1.095,1.5204e-05
1459973010410,-1.095,2.4616e-05
1459973010420,-1.095,3.077e-05
1459973010430,-1.095,3.0046e-05
1459973010440,-1.095,2.2805999999999998e-05
1459973010450,-1.095,1.3394000000000001e-05
1459973010460,-1.095,9.412e-06
1459973010470,-1.095,5.792000000000001e-06
1459973010480,-1.095,5.0680000000000004e-06
1459973010490,-1.095,6.877999999999999e-06
1459973010500,-1.095,8.326e-06
1459973010510,-1.095,1.1945999999999999e-05
1459973010520,-1.095,1.267e-05
1459973010530,-1.095,1.0136000000000001e-05
1459973010540,-1.095,5.792000000000001e-06
1459973010550,-1.095,5.0680000000000004e-06
1459973010560,-1.095,3.982e-06
1459973010570,-1.095,4.343999999999999e-06
1459973010580,-1.095,5.43e-06
1459973010590,-1.095,3.62e-06
1459973010600,-1.095,3.982e-06
1459973010610,-1.095,6.154e-06
1459973010620,-1.095,4.343999999999999e-06
1459973010630,-1.095,3.62e-06
1459973010640,-1.095,3.258e-06
1459973010650,-1.095,3.982e-06
1459973010660,-1.095,2.1719999999999997e-06
1459973010670,-1.095,4.343999999999999e-06
1459973010680,-1.095,3.982e-06
1459973010690,-1.095,4.343999999999999e-06
1459973010700,-1.095,5.43e-06
1459973010710,-1.095,4.706e-06
1459973010720,-1.095,3.982e-06
1459973010730,-1.095,3.258e-06
1459973010740,-1.095,2.5340000000000002e-06
1459973010750,-1.095,1.81e-06
1459973010760,-1.095,1.81e-06
1459973010770,-1.095,2.8960000000000003e-06
1459973010780,-1.095,3.258e-06
1459973010790,-1.095,4.343999999999999e-06
1459973010800,-1.095,4.343999999999999e-06
1459973010810,-1.095,4.706e-06
1459973010820,-1.095,3.258e-06
1459973010830,-1.095,1.4480000000000002e-06
1459973010840,-1.095,1.4480000000000002e-06
1459973010850,-1.095,1.0859999999999999e-06
1459973010860,-1.095,2.5340000000000002e-06
1459973010870,-1.095,1.81e-06
1459973010880,-1.095,2.8960000000000003e-06
1459973010890,-1.095,1.0859999999999999e-06
1459973010900,-1.095,3.258e-06
1459973010910,-1.095,2.5340000000000002e-06
1459973010920,-1.095,1.4480000000000002e-06
1459973010930,-1.095,7.240000000000001e-07
1459973010940,-1.095,3.6200000000000004e-07
1459973010950,-1.095,1.81e-06
1459973010960,-1.095,1.4480000000000002e-06
1459973010970,-1.095,2.8960000000000003e-06
1459973010980,-1.095,5.0680000000000004e-06
1459973010990,-1.095,7.24e-06
1459973011000,-1.095,5.0680000000000004e-06
1459973011010,-1.095,2.5340000000000002e-06
1459973011020,-1.095,2.1719999999999997e-06
1459973011030,-1.095,1.81e-06
1459973011040,-1.095,2.1719999999999997e-06
1459973011050,-1.095,1.81e-06
1459973011060,-1.095,2.5340000000000002e-06
1459973011070,-1.095,2.1719999999999997e-06
1459973011080,-1.095,2.1719999999999997e-06
1459973011090,-1.095,2.1719999999999997e-06
1459973011100,-1.095,1.81e-06
1459973011110,-1.095,0.0
1459973011120,-1.095,1.0859999999999999e-06
1459973011130,-1.095,1.81e-06
1459973011140,-1.095,2.5340000000000002e-06
1459973011150,-1.095,8.326e-06
1459973011160,-1.095,1.3755999999999998e-05
1459973011170,-1.095,1.4842000000000001e-05
1459973011180,-1.095,7.602e-06
1459973011190,-1.095,4.706e-06
1459973011200,-1.095,2.8960000000000003e-06
1459973011210,-1.095,1.81e-06
1459973011220,-1.095,2.1719999999999997e-06
