Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459975897540,1.13,3.9096e-05
1459975897550,1.13,2.9684000000000002e-05
1459975897560,1.13,2.4616e-05
1459975897570,1.13,1.8462e-05
1459975897580,1.13,1.991e-05
1459975897590,1.13,1.7014e-05
1459975897600,1.13,2.3168000000000002e-05
1459975897610,1.13,2.9684000000000002e-05
1459975897620,1.13,2.9684000000000002e-05
1459975897630,1.13,3.3304e-05
1459975897640,1.13,2.9321999999999998e-05
1459975897650,1.13,2.2805999999999998e-05
1459975897660,1.13,2.1358e-05
1459975897670,1.13,1.4118e-05
1459975897680,1.13,2.0272000000000002e-05
1459975897690,1.13,2.0634e-05
1459975897700,1.13,2.0272000000000002e-05
1459975897710,1.13,1.7375999999999998e-05
1459975897720,1.13,1.991e-05
1459975897730,1.13,1.7375999999999998e-05
1459975897740,1.13,1.5928e-05
1459975897750,1.13,1.1584000000000001e-05
1459975897760,1.13,1.1945999999999999e-05
1459975897770,1.13,1.7014e-05
1459975897780,1.13,2.4616e-05
1459975897790,1.13,3.1132e-05
1459975897800,1.13,3.5476e-05
1459975897810,1.13,2.715e-05
1459975897820,1.13,2.9684000000000002e-05
1459975897830,1.13,2.2444e-05
1459975897840,1.13,1.8462e-05
1459975897850,1.13,1.086e-05
1459975897860,1.13,1.5928e-05
1459975897870,1.13,1.8462e-05
1459975897880,1.13,2.4978e-05
1459975897890,1.13,2.2444e-05
1459975897900,1.13,2.172e-05
1459975897910,1.13,2.0634e-05
1459975897920,1.13,2.3168000000000002e-05
1459975897930,1.13,1.991e-05
1459975897940,1.13,1.1945999999999999e-05
1459975897950,1.13,1.3755999999999998e-05
1459975897960,1.13,1.8462e-05
1459975897970,1.13,2.0996e-05
1459975897980,1.13,2.6426e-05
1459975897990,1.13,2.534e-05
1459975898000,1.13,2.2444e-05
1459975898010,1.13,2.0996e-05
1459975898020,1.13,1.8462e-05
1459975898030,1.13,1.5566e-05
1459975898040,1.13,1.3032e-05
1459975898050,1.13,1.4118e-05
1459975898060,1.13,1.8824e-05
1459975898070,1.13,2.1358e-05
1459975898080,1.13,2.715e-05
1459975898090,1.13,2.3168000000000002e-05
1459975898100,1.13,2.172e-05
1459975898110,1.13,1.6652e-05
1459975898120,1.13,1.7375999999999998e-05
1459975898130,1.13,1.2308e-05
1459975898140,1.13,1.3394000000000001e-05
1459975898150,1.13,1.5204e-05
1459975898160,1.13,1.991e-05
1459975898170,1.13,2.2082e-05
1459975898180,1.13,1.8824e-05
1459975898190,1.13,1.3032e-05
1459975898200,1.13,1.3394000000000001e-05
1459975898210,1.13,1.1222e-05
1459975898220,1.13,1.2308e-05
1459975898230,1.13,9.774e-06
1459975898240,1.13,1.4842000000000001e-05
1459975898250,1.13,1.8824e-05
1459975898260,1.13,3.0046e-05
1459975898270,1.13,2.7511999999999997e-05
1459975898280,1.13,2.534e-05
1459975898290,1.13,1.7738e-05
1459975898300,1.13,1.5928e-05
1459975898310,1.13,1.3394000000000001e-05
1459975898320,1.13,8.687999999999999e-06
1459975898330,1.13,1.2308e-05
1459975898340,1.13,1.267e-05
1459975898350,1.13,1.8824e-05
1459975898360,1.13,2.5702e-05
1459975898370,1.13,1.9548e-05
1459975898380,1.13,1.5566e-05
1459975898390,1.13,1.4118e-05
1459975898400,1.13,1.086e-05
1459975898410,1.13,1.267e-05
1459975898420,1.13,1.1945999999999999e-05
1459975898430,1.13,1.086e-05
1459975898440,1.13,1.267e-05
1459975898450,1.13,1.629e-05
1459975898460,1.13,1.7014e-05
1459975898470,1.13,1.3394000000000001e-05
1459975898480,1.13,1.0498e-05
1459975898490,1.13,1.3032e-05
1459975898500,1.13,1.267e-05
1459975898510,1.13,8.687999999999999e-06
1459975898520,1.13,1.991e-05
1459975898530,1.13,1.9548e-05
1459975898540,1.13,2.2082e-05
1459975898550,1.13,1.9548e-05
1459975898560,1.13,1.4118e-05
1459975898570,1.13,1.2308e-05
1459975898580,1.13,1.086e-05
1459975898590,1.13,1.086e-05
1459975898600,1.13,1.7738e-05
1459975898610,1.13,1.5566e-05
1459975898620,1.13,2.172e-05
1459975898630,1.13,1.9186e-05
1459975898640,1.13,2.2082e-05
1459975898650,1.13,1.267e-05
1459975898660,1.13,1.3755999999999998e-05
1459975898670,1.13,7.24e-06
1459975898680,1.13,1.1222e-05
1459975898690,1.13,1.0136000000000001e-05
1459975898700,1.13,1.6652e-05
1459975898710,1.13,1.6652e-05
1459975898720,1.13,1.9548e-05
1459975898730,1.13,1.8100000000000003e-05
1459975898740,1.13,1.5928e-05
1459975898750,1.13,1.267e-05
1459975898760,1.13,1.3032e-05
1459975898770,1.13,8.326e-06
1459975898780,1.13,1.5566e-05
1459975898790,1.13,1.7014e-05
1459975898800,1.13,1.8462e-05
1459975898810,1.13,1.5204e-05
1459975898820,1.13,1.4842000000000001e-05
1459975898830,1.13,1.1584000000000001e-05
1459975898840,1.13,1.3755999999999998e-05
