,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
631,1,1.147149874686717,14.7999968003233,1.4480000000000004,1.147038395480836,22.515930796137717,0.3009616015868243,0,TCTPV,PROTON,I
632,0,1.1380415913200728,7.900098245400047,1.4480000000000004,1.1298787554781673,20.684738237473717,0.31812121303935925,0,TCLA,PROTON,I
633,0,1.487939819458375,17.877552880500055,1.81,1.5084340214265848,17.92902498625157,0.3015659428246818,0,TCTPV,PROTON,I
634,1,1.1357182957393488,11.144882234883429,1.4480000000000004,1.130721198800942,22.359318875293113,0.31727879806312725,0,TCTPV,PROTON,I
635,0,1.313823913043478,7.48428112579119,2.534,1.6141933393588672,16.845830076625425,0.9198063530784227,0,TCSG,PROTON,I
636,1,0.7860961357210179,18.543415935701997,1.086,0.8122336177468424,18.521870323167875,0.273766278035749,0,TCTPH,PROTON,I
637,1,0.9994820000000002,16.50681238466983,1.4480000000000004,1.0179002606472807,1.8297477749645188,0.43901593947733203,0,TCLIA,PROTON,I
638,0,0.868981,10.123029181668038,1.086,0.8762937777231162,19.300927852496294,0.20970617948476952,0,TCTPH,PROTON,I
639,0,1.0766263871763257,7.2219393397865,1.4480000000000004,1.0829779642858002,13.018312802158993,0.3650218921199466,0,TCLA,PROTON,I
640,0,0.7649879759519038,12.932906696312847,1.086,0.7566342604536255,16.82373258087407,0.3293656098155569,0,TCSG,PROTON,I
641,0,2.1314080882352937,7.8947755967561415,2.534,2.1011528150134073,40.649066269751756,0.43284718498659525,0,TCSG,PROTON,I
642,1,1.511712,15.451058677158734,1.81,1.5017863100737165,26.909285304620074,0.30821368992607584,0,TCTPV,PROTON,I
643,1,1.0921694235588975,13.2032556439058,1.4480000000000004,1.1029215170171616,19.688386398087285,0.3450784643339191,0,TCTPV,PROTON,I
644,0,5.141633652822151,9.91905780141796,5.43,5.085481860415244,2.0653249072935265,0.3289387225911109,0,TCTPV,PROTON,I
645,1,1.511893,16.845087267277066,1.81,1.489095040128211,17.88622327852721,0.32090484025228494,0,TCTPV,PROTON,I
646,1,1.1880840000000004,11.248828252507913,1.4480000000000004,1.1627511373552977,17.879253391882965,0.28524874932115546,0,TCTPV,PROTON,I
647,0,0.7558786692759296,13.180389535174408,1.086,0.7561212242850007,3.7963643575231067,0.33004503362793897,0,TCSG,PROTON,I
648,1,1.4926375939849623,10.799700909570145,1.81,1.5046987951780662,25.958957839931436,0.3053012040665001,0,TCTPV,PROTON,I
649,0,1.487087116564417,8.102083076544957,1.81,1.4431652665199992,17.452217941820624,0.3668347294638723,0,TCSG,PROTON,I
650,1,1.0966790000000002,14.609177009057058,1.4480000000000004,1.092647746444395,36.51366342785089,0.35535225355581934,0,TCTPV,PROTON,I
651,1,1.138664624808576,7.063505410748779,1.4480000000000004,1.1212150278940975,3.3948136908008704,0.3267450284321424,0,TCLA,PROTON,I
652,1,1.1486313750806976,17.70540065364667,1.4480000000000004,1.1639599187149658,20.45774550758457,0.28404006764882755,0,TCTPH,PROTON,I
653,0,1.129164328657315,21.294502635137732,1.4480000000000004,1.1301168592802846,24.259971287881022,0.3178831386233883,0,TCTPH,PROTON,I
654,1,2.14640404040404,4.475647927811492,2.534,1.7025854140344958,0.9583812300659011,0.8829004077090052,0,TCSP,PROTON,I
655,1,1.507549,14.469755874336874,1.81,1.5072253728092904,24.740640251754968,0.30277462569347874,0,TCTPV,PROTON,I
656,0,2.4574370000000005,8.166850241653009,2.896000000000001,2.530128932276668,1.2786328812061434,0.4128694011659223,0,TCSG,PROTON,I
657,1,2.2357100472016183,8.940233990311476,2.534,2.224180178757371,27.575775798141862,0.30981982124277535,0,TCLIA,PROTON,I
658,1,1.135173934837093,11.272727170184643,1.4480000000000004,1.130721198800942,22.359318875293113,0.31727879806312725,0,TCTPV,PROTON,I
659,0,1.4919338014042127,18.234390263344366,1.81,1.4939298718872893,20.471989202601158,0.3160701170784917,0,TCTPV,PROTON,I
660,0,1.0860000000000003,9.002834433536343,1.4480000000000004,1.1192110089418608,24.458822382741488,0.32878899105828435,0,TCLA,PROTON,I
661,0,1.2980285714285715,11.281827957788973,1.81,1.3519098378725858,19.068376969005705,0.45809015074174597,0,TCLA,PROTON,I
662,0,2.1377567567567564,8.106199897582234,2.534,2.1011528150134073,40.649066269751756,0.43284718498659525,0,TCSG,PROTON,I
663,1,0.815043,10.720746035417564,1.086,0.8128380621414738,24.179533821708937,0.27316193660733956,0,TCTPV,PROTON,I
664,0,1.445828,15.659482970081825,1.81,1.4612953953883852,18.869752813417367,0.3487045094927844,0,TCTPV,PROTON,I
665,1,1.868457372116349,19.266904925511785,2.172,1.8788948259045282,27.43948392228793,0.293105174095241,0,TCTPV,PROTON,I
666,0,1.1336855524079323,8.746197816808717,1.4480000000000004,1.15322389685868,0.9485102151244545,0.30154624326918594,0,TCLA,PROTON,I
667,1,2.5985115420129277,9.835521920317207,2.896000000000001,2.598189693046373,44.52693414577128,0.2978103069536052,0,TCLIA,PROTON,I
668,1,2.2324539999999997,9.427307035869786,2.534,2.200404005409549,46.719300098925046,0.333595994590444,0,TCSG,PROTON,I
669,1,1.0921694235588977,13.534060671000214,1.4480000000000004,1.1011085123262019,33.50289225569233,0.34689148650019996,0,TCTPV,PROTON,I
670,1,1.448362,20.12137749512595,1.81,1.4522303841688868,35.154776243603365,0.35776961583127215,0,TCSG,PROTON,I
671,0,1.1270218687872766,15.412865598689782,1.4480000000000004,1.1210517181220545,20.638866446706217,0.3269482481768762,0,TCSG,PROTON,I
672,0,0.7661521357519017,14.702049352785563,1.086,0.7560298228643935,16.164697855037605,0.3299699511339369,0,TCSG,PROTON,I
673,1,4.2272094972067045,12.76251443995386,4.706,4.203223507103475,0.8964895810880593,0.4949666018604695,0,TCTPV,PROTON,I
674,0,1.4681514543630891,17.80971564619551,1.81,1.4733822950732407,22.466954926804934,0.3366176964125493,0,TCTPV,PROTON,I
675,1,2.217968253968254,7.341360973190814,2.534,2.2724087565970437,34.959231261190105,0.2615912434031242,0,TCSG,PROTON,I
676,1,1.510807,17.975268841119934,1.81,1.5114557584385966,25.144900680774498,0.2985442408255117,0,TCTPV,PROTON,I
677,1,1.510988,16.98860238776505,1.81,1.489095040128211,17.88622327852721,0.32090484025228494,0,TCTPV,PROTON,I
678,1,1.611966907962771,7.651748323622502,2.534,1.823704847034809,2.1959407917006506,0.7193732246034155,0,TCSG,PROTON,I
679,0,1.136106318956871,17.128194376526995,1.4480000000000004,1.1518731235196558,26.95729141559802,0.29612687648014197,0,TCTPV,PROTON,I
680,1,0.8006512455516015,19.45592146505113,1.086,0.7752022496364389,3.271972769782836,0.3111837404069883,0,TCTPH,PROTON,I
