,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
309,1536859816_TCTPH.4R2.B2_Align,0,1437.5309574468085,2.7782172260776457,1503.75,1493.6649795068902,0.6184410570551048,77.99495432797947,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859816_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
310,1536859745_TCTPH.4R2.B2_Align,0,43.63980519480521,3.074328152995012,100.81700000000001,84.28807999966075,63.448098162991556,16.528920007525343,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859745_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
311,1536857446_TCSG.B5R7.B2_Align,1,35.40403614457831,2.373994265672484,39.096,28.944207370553,0.1500983317472774,5.320749017817784,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857446_TCSG.B5R7.B2_Align,TCSG,PROTON,I
312,1536867923_TCTPV.4R5.B2_Align,1,297.276193877551,1.6926453699499324,300.098,293.4871407878664,0.4986318564739324,8.064258477439603,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867923_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
313,1536865462_TCTPH.4R2.B2_Align,0,211.64482242990655,5.077431481764431,230.775,221.73831982199079,0.40346560468808684,15.787809562104872,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865462_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
314,1536859933_TCTPH.4R2.B2_Align,0,240.7175784313725,2.4733971542509448,310.05299999999994,256.8390000369104,86.3416467783838,53.21399996748471,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859933_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
315,1536855288_TCSG.5L3.B1_Align,1,7.164130434782608,5.7345443632883795,7.7829999999999995,6.725891249550306,0.6862606716514108,0.7868443626441877,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855288_TCSG.5L3.B1_Align,TCSG,PROTON,I
316,1536855288_TCSG.5L3.B1_Align,0,7.164130434782608,6.463243370778064,7.7829999999999995,6.725891249550306,0.6862606716514108,0.7868443626441877,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855288_TCSG.5L3.B1_Align,TCSG,PROTON,I
317,1536856827_TCP.D6R7.B2_Align,0,10.774607142857144,3.0647629058104813,11.584000000000001,8.159967842709115,0.12577281813406527,1.573876513163398,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856827_TCP.D6R7.B2_Align,TCP,PROTON,I
318,1536866962_TCTPH.4R2.B2_Align,0,1697.9165208333334,3.3791482247100606,1714.6100000000001,1585.8372623028288,0.6754842331435029,79.04401539807768,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536866962_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
319,1536853631_TCP.C6R7.B2_Align,0,8.08709638554217,5.347753622430531,9.412,7.424337870202301,0.46995304453637543,1.4796431199709414,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536853631_TCP.C6R7.B2_Align,TCP,PROTON,I
320,1536857390_TCSG.A4L7.B1_Align,1,140.06805102040815,2.548001943394979,140.81799999999998,128.37698232070815,0.20986497495939022,7.266921968865541,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857390_TCSG.A4L7.B1_Align,TCSG,PROTON,I
321,1536857390_TCSG.A4L7.B1_Align,0,140.06805102040815,3.66248693366123,140.81799999999998,128.37698232070815,0.20986497495939022,7.266921968865541,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857390_TCSG.A4L7.B1_Align,TCSG,PROTON,I
322,1536868436_TCTPV.4R5.B2_Align,0,1627.2470217391303,2.2789247944330864,1652.8899999999999,1574.155857781439,0.35870340809845214,51.327072486158,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868436_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
323,1536862125_TCP.C6R7.B2_Align,1,220.1124545454545,2.604704267977724,283.44599999999997,152.154098295162,0.128198910481156,30.421176147515848,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536862125_TCP.C6R7.B2_Align,TCP,PROTON,I
324,1536862125_TCP.C6R7.B2_Align,0,220.1124545454545,1.2021712006051033,283.44599999999997,152.154098295162,0.128198910481156,30.421176147515848,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536862125_TCP.C6R7.B2_Align,TCP,PROTON,I
325,1536864254_TCTPH.4R2.B2_Align,0,67.19041836734694,5.408378988693816,68.78,65.61510300986349,0.49458674682560577,2.449044074826223,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536864254_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
326,1536856101_TCP.C6R7.B2_Align,0,61.33791262135923,3.1723962167496333,65.522,43.76644940863452,0.07671991728804739,8.314322663115702,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536856101_TCP.C6R7.B2_Align,TCP,PROTON,I
327,1536867793_TCTPV.4R5.B2_Align,1,56.438347826086954,1.541347459671005,58.463,50.521490517416126,0.27590370755823673,2.998934571370142,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867793_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
328,1536865243_TCTPH.4R2.B2_Align,1,353.36065591397846,0.5138395496337463,359.28499999999997,298.36804241626686,0.45089197490149985,22.972286611978443,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865243_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
329,1536867487_TCP.D6R7.B2_Align,0,5.379875000000001,3.3619520360708917,5.792000000000001,4.230851139400669,0.18954781648362778,0.5731431285992054,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867487_TCP.D6R7.B2_Align,TCP,PROTON,I
330,1536854872_TCP.C6R7.B2_Align,1,1.1382688172043007,4.95657093102503,2.1719999999999997,1.039092998299839,0.3069368512878985,1.0122888607434444,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536854872_TCP.C6R7.B2_Align,TCP,PROTON,I
331,1536854872_TCP.C6R7.B2_Align,0,1.1382688172043007,5.509951323709248,2.1719999999999997,1.039092998299839,0.3069368512878985,1.0122888607434444,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536854872_TCP.C6R7.B2_Align,TCP,PROTON,I
332,1536864259_TCTPH.4R2.B2_Align,1,97.2878163265306,6.827969608861698,99.36899999999999,74.89855602648427,0.3058243986069344,3.67993507516231,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536864259_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
333,1536864259_TCTPH.4R2.B2_Align,0,97.2878163265306,5.356124119196358,99.36899999999999,74.89855602648427,0.3058243986069344,3.67993507516231,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536864259_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
334,1536854840_TCP.C6L7.B1_Align,1,4.5846599999999995,4.927947807288795,5.611,4.8759278841352005,0.3584903247372735,1.3335692443825347,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536854840_TCP.C6L7.B1_Align,TCP,PROTON,I
335,1536854840_TCP.C6L7.B1_Align,0,4.5846599999999995,6.0728727576753485,5.611,4.8759278841352005,0.3584903247372735,1.3335692443825347,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536854840_TCP.C6L7.B1_Align,TCP,PROTON,I
336,1536868458_TCTPV.4R5.B2_Align,1,67.21133333333334,2.297837011292986,84.346,1166.6175607420014,0.000313934165826019,-1127.9620636675718,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868458_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
337,1536855270_TCSG.5L3.B1_Align,1,2.148164948453608,6.162258998408427,2.715,2.1835509245577773,0.5118999757934608,0.5975543329813281,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855270_TCSG.5L3.B1_Align,TCSG,PROTON,I
338,1536855270_TCSG.5L3.B1_Align,0,2.148164948453608,6.890958005932301,2.715,2.1835509245577773,0.5118999757934608,0.5975543329813281,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855270_TCSG.5L3.B1_Align,TCSG,PROTON,I
339,1536855860_TCSG.B4R7.B2_Align,1,6.939080459770116,4.680572783137171,7.964,6.735557661528397,2.8571517943042686,1.2238245562772794,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855860_TCSG.B4R7.B2_Align,TCSG,PROTON,I
