Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602021000,8.81,3.6200000000000004e-07
1459602021010,8.81,3.6200000000000004e-07
1459602021020,8.81,0.0
1459602021030,8.81,1.0859999999999999e-06
1459602021040,8.81,7.240000000000001e-07
1459602021050,8.81,0.0
1459602021060,8.81,0.0
1459602021070,8.81,0.0
1459602021080,8.81,7.240000000000001e-07
1459602021090,8.81,3.6200000000000004e-07
1459602021100,8.81,3.6200000000000004e-07
1459602021110,8.81,3.6200000000000004e-07
1459602021120,8.81,3.6200000000000004e-07
1459602021130,8.81,3.6200000000000004e-07
1459602021140,8.81,0.0
1459602021150,8.81,3.6200000000000004e-07
1459602021160,8.81,3.6200000000000004e-07
1459602021170,8.81,7.240000000000001e-07
1459602021180,8.81,0.0
1459602021190,8.81,0.0
1459602021200,8.81,3.6200000000000004e-07
1459602021210,8.81,3.6200000000000004e-07
1459602021220,8.81,3.6200000000000004e-07
1459602021230,8.81,7.240000000000001e-07
1459602021240,8.81,0.0
1459602021250,8.81,3.6200000000000004e-07
1459602021260,8.81,0.0
1459602021270,8.81,0.0
1459602021280,8.81,1.0859999999999999e-06
1459602021290,8.81,3.6200000000000004e-07
1459602021300,8.81,7.240000000000001e-07
1459602021310,8.81,3.6200000000000004e-07
1459602021320,8.81,0.0
1459602021330,8.81,7.240000000000001e-07
1459602021340,8.81,0.0
1459602021350,8.81,3.6200000000000004e-07
1459602021360,8.81,3.6200000000000004e-07
1459602021370,8.81,3.6200000000000004e-07
1459602021380,8.81,0.0
1459602021390,8.81,3.6200000000000004e-07
1459602021400,8.81,0.0
1459602021410,8.81,3.6200000000000004e-07
1459602021420,8.81,3.6200000000000004e-07
1459602021430,8.81,0.0
1459602021440,8.81,0.0
1459602021450,8.81,3.6200000000000004e-07
1459602021460,8.81,0.0
1459602021470,8.81,3.6200000000000004e-07
1459602021480,8.81,7.240000000000001e-07
1459602021490,8.81,3.6200000000000004e-07
1459602021500,8.81,0.0
1459602021510,8.81,0.0
1459602021520,8.81,1.4480000000000002e-06
1459602021530,8.81,7.240000000000001e-07
1459602021540,8.81,7.240000000000001e-07
1459602021550,8.81,0.0
1459602021560,8.81,3.6200000000000004e-07
1459602021570,8.81,3.6200000000000004e-07
1459602021580,8.81,0.0
1459602021590,8.81,3.6200000000000004e-07
1459602021600,8.81,0.0
1459602021610,8.81,3.6200000000000004e-07
1459602021620,8.81,3.6200000000000004e-07
1459602021630,8.81,7.240000000000001e-07
1459602021640,8.81,3.6200000000000004e-07
1459602021650,8.81,7.240000000000001e-07
1459602021660,8.81,0.0
1459602021670,8.81,3.6200000000000004e-07
1459602021680,8.81,7.240000000000001e-07
1459602021690,8.81,0.0
1459602021700,8.81,3.6200000000000004e-07
1459602021710,8.81,0.0
1459602021720,8.81,3.6200000000000004e-07
1459602021730,8.81,0.0
1459602021740,8.81,7.240000000000001e-07
1459602021750,8.81,3.6200000000000004e-07
1459602021760,8.81,7.240000000000001e-07
1459602021770,8.81,0.0
1459602021780,8.81,1.0859999999999999e-06
1459602021790,8.81,0.0
1459602021800,8.81,7.240000000000001e-07
1459602021810,8.81,3.6200000000000004e-07
1459602021820,8.81,0.0
1459602021830,8.81,7.240000000000001e-07
1459602021840,8.81,7.240000000000001e-07
1459602021850,8.81,0.0
1459602021860,8.81,0.0
1459602021870,8.81,3.6200000000000004e-07
1459602021880,8.81,7.240000000000001e-07
1459602021890,8.81,3.6200000000000004e-07
1459602021900,8.81,3.6200000000000004e-07
1459602021910,8.81,0.0
1459602021920,8.81,0.0
1459602021930,8.81,7.240000000000001e-07
1459602021940,8.81,0.0
1459602021950,8.81,3.6200000000000004e-07
1459602021960,8.81,3.6200000000000004e-07
1459602021970,8.81,0.0
1459602021980,8.81,3.6200000000000004e-07
1459602021990,8.81,0.0
1459602022000,8.81,0.0
1459602022010,8.81,3.6200000000000004e-07
1459602022020,8.81,0.0
1459602022030,8.81,3.6200000000000004e-07
1459602022040,8.81,0.0
1459602022050,8.81,3.6200000000000004e-07
1459602022060,8.81,0.0
1459602022070,8.81,3.6200000000000004e-07
1459602022080,8.81,0.0
1459602022090,8.81,7.240000000000001e-07
1459602022100,8.81,0.0
1459602022110,8.81,3.6200000000000004e-07
1459602022120,8.81,3.6200000000000004e-07
1459602022130,8.81,0.0
1459602022140,8.81,3.6200000000000004e-07
1459602022150,8.81,0.0
1459602022160,8.81,3.6200000000000004e-07
1459602022170,8.81,3.6200000000000004e-07
1459602022180,8.81,3.6200000000000004e-07
1459602022190,8.81,3.6200000000000004e-07
1459602022200,8.81,7.240000000000001e-07
1459602022210,8.81,0.0
1459602022220,8.81,3.6200000000000004e-07
1459602022230,8.81,0.0
1459602022240,8.81,0.0
1459602022250,8.81,7.240000000000001e-07
1459602022260,8.81,0.0
1459602022270,8.81,0.0
1459602022280,8.81,0.0
1459602022290,8.81,3.6200000000000004e-07
1459602022300,8.81,3.6200000000000004e-07
1459602022310,8.81,3.6200000000000004e-07
1459602022320,8.81,0.0
