Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1459607654840,-6.98,0.0
1459607654850,-6.98,7.240000000000001e-07
1459607654860,-6.98,0.0
1459607654870,-6.98,1.0859999999999999e-06
1459607654880,-6.98,0.0
1459607654890,-6.98,1.4480000000000002e-06
1459607654900,-6.98,0.0
1459607654910,-6.98,0.0
1459607654920,-6.98,0.0
1459607654930,-6.98,0.0
1459607654940,-6.98,0.0
1459607654950,-6.98,0.0
1459607654960,-6.98,0.0
1459607654970,-6.98,0.0
1459607654980,-6.98,3.6200000000000004e-07
1459607654990,-6.98,7.240000000000001e-07
1459607655000,-6.98,0.0
1459607655010,-6.98,2.5340000000000002e-06
1459607655020,-6.98,3.6200000000000004e-07
1459607655030,-6.98,1.0859999999999999e-06
1459607655040,-6.98,0.0
1459607655050,-6.98,1.0859999999999999e-06
1459607655060,-6.98,0.0
1459607655070,-6.98,0.0
1459607655080,-6.98,0.0
1459607655090,-6.98,2.5340000000000002e-06
1459607655100,-6.98,0.0
1459607655110,-6.98,1.81e-06
1459607655120,-6.98,0.0
1459607655130,-6.98,1.81e-06
1459607655140,-6.98,0.0
1459607655150,-6.98,1.0859999999999999e-06
1459607655160,-6.98,0.0
1459607655170,-6.98,3.6200000000000004e-07
1459607655180,-6.98,0.0
1459607655190,-6.98,0.0
1459607655200,-6.98,0.0
1459607655210,-6.98,7.240000000000001e-07
1459607655220,-6.98,0.0
1459607655230,-6.98,3.62e-06
1459607655240,-6.98,0.0
1459607655250,-6.98,0.0
1459607655260,-6.98,0.0
1459607655270,-6.98,0.0
1459607655280,-6.98,0.0
1459607655290,-6.98,1.4480000000000002e-06
1459607655300,-6.98,0.0
1459607655310,-6.98,7.240000000000001e-07
1459607655320,-6.98,0.0
1459607655330,-6.98,3.258e-06
1459607655340,-6.98,0.0
1459607655350,-6.98,0.0
1459607655360,-6.98,0.0
1459607655370,-6.98,0.0
1459607655380,-6.98,0.0
1459607655390,-6.98,0.0
1459607655400,-6.98,0.0
1459607655410,-6.98,2.5340000000000002e-06
1459607655420,-6.98,0.0
1459607655430,-6.98,0.0
1459607655440,-6.98,0.0
1459607655450,-6.98,1.4480000000000002e-06
1459607655460,-6.98,0.0
1459607655470,-6.98,0.0
1459607655480,-6.98,0.0
1459607655490,-6.98,3.6200000000000004e-07
1459607655500,-6.98,0.0
1459607655510,-6.98,3.258e-06
1459607655520,-6.98,0.0
1459607655530,-6.98,7.240000000000001e-07
1459607655540,-6.98,0.0
1459607655550,-6.98,1.4480000000000002e-06
1459607655560,-6.98,0.0
1459607655570,-6.98,0.0
1459607655580,-6.98,0.0
1459607655590,-6.98,0.0
1459607655600,-6.98,0.0
1459607655610,-6.98,3.6200000000000004e-07
1459607655620,-6.98,3.6200000000000004e-07
1459607655630,-6.98,3.62e-06
1459607655640,-6.98,0.0
1459607655650,-6.98,3.6200000000000004e-07
1459607655660,-6.98,0.0
1459607655670,-6.98,0.0
1459607655680,-6.98,0.0
1459607655690,-6.98,0.0
1459607655700,-6.98,1.0859999999999999e-06
1459607655710,-6.98,0.0
1459607655720,-6.98,2.1719999999999997e-06
1459607655730,-6.98,7.240000000000001e-07
1459607655740,-6.98,1.0859999999999999e-06
1459607655750,-6.98,7.240000000000001e-07
1459607655760,-6.98,0.0
1459607655770,-6.98,1.0859999999999999e-06
1459607655780,-6.98,0.0
1459607655790,-6.98,7.240000000000001e-07
1459607655800,-6.98,0.0
1459607655810,-6.98,3.6200000000000004e-07
1459607655820,-6.98,0.0
1459607655830,-6.98,1.4480000000000002e-06
1459607655840,-6.98,0.0
1459607655850,-6.98,2.5340000000000002e-06
1459607655860,-6.98,0.0
1459607655870,-6.98,3.6200000000000004e-07
1459607655880,-6.98,0.0
1459607655890,-6.98,1.4480000000000002e-06
1459607655900,-6.98,0.0
1459607655910,-6.98,2.5340000000000002e-06
1459607655920,-6.98,0.0
1459607655930,-6.98,0.0
1459607655940,-6.98,0.0
1459607655950,-6.98,3.982e-06
1459607655960,-6.98,0.0
1459607655970,-6.98,1.4480000000000002e-06
1459607655980,-6.98,0.0
1459607655990,-6.98,7.240000000000001e-07
1459607656000,-6.98,0.0
1459607656010,-6.98,1.0859999999999999e-06
1459607656020,-6.98,0.0
1459607656030,-6.98,1.81e-06
1459607656040,-6.98,0.0
1459607656050,-6.98,0.0
1459607656060,-6.98,0.0
1459607656070,-6.98,3.6200000000000004e-07
1459607656080,-6.98,0.0
1459607656090,-6.98,1.0859999999999999e-06
1459607656100,-6.98,0.0
1459607656110,-6.98,1.4480000000000002e-06
1459607656120,-6.98,0.0
1459607656130,-6.98,3.6200000000000004e-07
1459607656140,-6.98,0.0
1459607656150,-6.98,3.6200000000000004e-07
1459607656160,-6.98,0.0
1459607656170,-6.98,0.0
1459607656180,-6.98,0.0
1459607656190,-6.98,0.0
1459607656200,-6.98,0.0
1459607656210,-6.98,0.0
1459607656220,-6.98,0.0
1459607656230,-6.98,0.0
1459607656240,-6.98,0.0
1459607656250,-6.98,0.0
1459607656260,-6.98,3.6200000000000004e-07
1459607656270,-6.98,1.0859999999999999e-06
1459607656280,-6.98,0.0
1459607656290,-6.98,3.6200000000000004e-07
1459607656300,-6.98,7.240000000000001e-07
1459607656310,-6.98,3.6200000000000004e-07
1459607656320,-6.98,0.0
1459607656330,-6.98,7.240000000000001e-07
1459607656340,-6.98,0.0
1459607656350,-6.98,2.1719999999999997e-06
1459607656360,-6.98,0.0
1459607656370,-6.98,3.6200000000000004e-07
1459607656380,-6.98,0.0
1459607656390,-6.98,0.0
1459607656400,-6.98,1.4480000000000002e-06
1459607656410,-6.98,7.240000000000001e-07
1459607656420,-6.98,0.0
1459607656430,-6.98,0.0
1459607656440,-6.98,0.0
1459607656450,-6.98,3.6200000000000004e-07
1459607656460,-6.98,1.81e-06
1459607656470,-6.98,2.1719999999999997e-06
1459607656480,-6.98,0.0
1459607656490,-6.98,0.0
1459607656500,-6.98,1.4480000000000002e-06
1459607656510,-6.98,1.0859999999999999e-06
1459607656520,-6.98,0.0
1459607656530,-6.98,0.0
1459607656540,-6.98,0.0
1459607656550,-6.98,1.0859999999999999e-06
1459607656560,-6.98,0.0
1459607656570,-6.98,1.0859999999999999e-06
1459607656580,-6.98,0.0
1459607656590,-6.98,1.0859999999999999e-06
1459607656600,-6.98,3.6200000000000004e-07
1459607656610,-6.98,3.6200000000000004e-07
1459607656620,-6.98,7.240000000000001e-07
1459607656630,-6.98,1.4480000000000002e-06
1459607656640,-6.98,1.0859999999999999e-06
1459607656650,-6.98,0.0
1459607656660,-6.98,0.0
1459607656670,-6.98,1.4480000000000002e-06
1459607656680,-6.98,0.0
1459607656690,-6.98,1.0859999999999999e-06
1459607656700,-6.98,0.0
1459607656710,-6.98,2.5340000000000002e-06
1459607656720,-6.98,0.0
1459607656730,-6.98,0.0
1459607656740,-6.98,0.0
1459607656750,-6.98,1.0859999999999999e-06
1459607656760,-6.98,0.0
1459607656770,-6.98,1.4480000000000002e-06
1459607656780,-6.98,0.0
1459607656790,-6.98,7.240000000000001e-07
1459607656800,-6.98,0.0
1459607656810,-6.98,2.1719999999999997e-06
1459607656820,-6.98,0.0
1459607656830,-6.98,0.0
1459607656840,-6.98,0.0
1459607656850,-6.98,1.81e-06
1459607656860,-6.98,0.0
1459607656870,-6.98,1.4480000000000002e-06
1459607656880,-6.98,3.6200000000000004e-07
1459607656890,-6.98,1.0859999999999999e-06
1459607656900,-6.98,0.0
1459607656910,-6.98,7.240000000000001e-07
1459607656920,-6.98,1.0859999999999999e-06
1459607656930,-6.98,0.0
1459607656940,-6.98,0.0
1459607656950,-6.98,0.0
1459607656960,-6.98,0.0
1459607656970,-6.98,1.81e-06
1459607656980,-6.98,0.0
1459607656990,-6.98,0.0
1459607657000,-6.98,0.0
1459607657010,-6.98,7.240000000000001e-07
1459607657020,-6.98,7.240000000000001e-07
1459607657030,-6.98,2.1719999999999997e-06
1459607657040,-6.98,7.240000000000001e-07
1459607657050,-6.98,0.0
1459607657060,-6.98,7.240000000000001e-07
1459607657070,-6.98,0.0
1459607657080,-6.98,0.0
1459607657090,-6.98,1.4480000000000002e-06
1459607657100,-6.98,1.0859999999999999e-06
1459607657110,-6.98,0.0
1459607657120,-6.98,0.0
1459607657130,-6.98,7.240000000000001e-07
1459607657140,-6.98,1.81e-06
1459607657150,-6.98,5.43e-06
1459607657160,-6.98,0.0
1459607657170,-6.98,2.1719999999999997e-06
1459607657180,-6.98,0.0
1459607657190,-6.98,0.0
1459607657200,-6.98,0.0
1459607657210,-6.98,3.6200000000000004e-07
1459607657220,-6.98,0.0
1459607657230,-6.98,1.4480000000000002e-06
1459607657240,-6.98,0.0
1459607657250,-6.98,7.240000000000001e-07
1459607657260,-6.98,0.0
1459607657270,-6.98,2.1719999999999997e-06
1459607657280,-6.76,0.0
1459607657290,-6.76,1.0859999999999999e-06
1459607657300,-6.76,0.0
1459607657310,-6.76,3.6200000000000004e-07
1459607657320,-6.76,0.0
1459607657330,-6.76,0.0
1459607657340,-6.76,0.0
1459607657350,-6.76,0.0
1459607657360,-6.76,0.0
1459607657370,-6.76,0.0
1459607657380,-6.76,0.0
1459607657390,-6.76,0.0
1459607657400,-6.76,0.0
1459607657410,-6.76,1.81e-06
1459607657420,-6.76,0.0
1459607657430,-6.76,1.0859999999999999e-06
1459607657440,-6.76,0.0
1459607657450,-6.76,1.4480000000000002e-06
1459607657460,-6.76,0.0
1459607657470,-6.76,0.0
1459607657480,-6.76,0.0
1459607657490,-6.76,3.6200000000000004e-07
1459607657500,-6.76,0.0
1459607657510,-6.76,2.1719999999999997e-06
1459607657520,-6.76,0.0
1459607657530,-6.76,3.6200000000000004e-07
1459607657540,-6.76,7.240000000000001e-07
1459607657550,-6.76,1.4480000000000002e-06
1459607657560,-6.76,0.0
1459607657570,-6.76,2.5340000000000002e-06
1459607657580,-6.76,0.0
1459607657590,-6.76,0.0
1459607657600,-6.76,0.0
1459607657610,-6.76,1.0859999999999999e-06
1459607657620,-6.76,0.0
1459607657630,-6.76,7.240000000000001e-07
1459607657640,-6.76,3.6200000000000004e-07
1459607657650,-6.76,3.6200000000000004e-07
1459607657660,-6.76,0.0
1459607657670,-6.76,2.1719999999999997e-06
1459607657680,-6.76,0.0
1459607657690,-6.76,1.81e-06
1459607657700,-6.76,0.0
1459607657710,-6.76,0.0
1459607657720,-6.76,0.0
1459607657730,-6.76,5.43e-06
1459607657740,-6.76,3.6200000000000004e-07
1459607657750,-6.76,2.5340000000000002e-06
1459607657760,-6.76,0.0
1459607657770,-6.76,0.0
1459607657780,-6.76,0.0
1459607657790,-6.76,0.0
1459607657800,-6.76,0.0
1459607657810,-6.76,0.0
1459607657820,-6.76,0.0
1459607657830,-6.76,0.0
1459607657840,-6.76,0.0
1459607657850,-6.76,0.0
1459607657860,-6.76,0.0
1459607657870,-6.76,3.62e-06
1459607657880,-6.76,0.0
1459607657890,-6.76,1.81e-06
1459607657900,-6.76,0.0
1459607657910,-6.76,3.62e-06
1459607657920,-6.76,0.0
1459607657930,-6.76,7.240000000000001e-07
1459607657940,-6.76,0.0
1459607657950,-6.76,1.0859999999999999e-06
1459607657960,-6.76,0.0
1459607657970,-6.76,0.0
1459607657980,-6.76,0.0
1459607657990,-6.76,7.240000000000001e-07
1459607658000,-6.76,0.0
1459607658010,-6.76,7.240000000000001e-07
1459607658020,-6.76,0.0
1459607658030,-6.76,1.81e-06
