Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459607655410,9.535,7.240000000000001e-07
1459607655420,9.535,0.0
1459607655430,9.535,1.4480000000000002e-06
1459607655440,9.535,0.0
1459607655450,9.535,7.240000000000001e-07
1459607655460,9.535,0.0
1459607655470,9.535,0.0
1459607655480,9.535,0.0
1459607655490,9.535,0.0
1459607655500,9.535,0.0
1459607655510,9.535,3.6200000000000004e-07
1459607655520,9.535,0.0
1459607655530,9.535,2.1719999999999997e-06
1459607655540,9.535,0.0
1459607655550,9.535,0.0
1459607655560,9.535,0.0
1459607655570,9.535,7.240000000000001e-07
1459607655580,9.535,0.0
1459607655590,9.535,0.0
1459607655600,9.535,0.0
1459607655610,9.31,0.0
1459607655620,9.31,0.0
1459607655630,9.31,0.0
1459607655640,9.31,7.240000000000001e-07
1459607655650,9.31,2.8960000000000003e-06
1459607655660,9.31,0.0
1459607655670,9.31,0.0
1459607655680,9.31,0.0
1459607655690,9.31,0.0
1459607655700,9.31,0.0
1459607655710,9.31,0.0
1459607655720,9.31,0.0
1459607655730,9.31,0.0
1459607655740,9.31,0.0
1459607655750,9.31,1.81e-06
1459607655760,9.31,0.0
1459607655770,9.31,0.0
1459607655780,9.31,0.0
1459607655790,9.31,0.0
1459607655800,9.31,0.0
1459607655810,9.31,3.6200000000000004e-07
1459607655820,9.31,0.0
1459607655830,9.31,0.0
1459607655840,9.31,7.240000000000001e-07
1459607655850,9.31,3.6200000000000004e-07
1459607655860,9.31,0.0
1459607655870,9.31,7.240000000000001e-07
1459607655880,9.31,0.0
1459607655890,9.31,0.0
1459607655900,9.31,3.6200000000000004e-07
1459607655910,9.31,0.0
1459607655920,9.31,0.0
1459607655930,9.31,7.240000000000001e-07
1459607655940,9.31,0.0
1459607655950,9.31,2.5340000000000002e-06
1459607655960,9.31,0.0
1459607655970,9.31,1.0859999999999999e-06
1459607655980,9.31,0.0
1459607655990,9.31,0.0
1459607656000,9.31,3.6200000000000004e-07
1459607656010,9.31,0.0
1459607656020,9.31,2.1719999999999997e-06
1459607656030,9.31,0.0
1459607656040,9.31,0.0
1459607656050,9.31,1.4480000000000002e-06
1459607656060,9.31,1.0859999999999999e-06
1459607656070,9.31,0.0
1459607656080,9.31,3.6200000000000004e-07
1459607656090,9.31,0.0
1459607656100,9.31,0.0
1459607656110,9.31,0.0
1459607656120,9.31,0.0
1459607656130,9.31,0.0
1459607656140,9.31,0.0
1459607656150,9.31,1.4480000000000002e-06
1459607656160,9.31,3.6200000000000004e-07
1459607656170,9.31,0.0
1459607656180,9.31,0.0
1459607656190,9.31,0.0
1459607656200,9.31,0.0
1459607656210,9.31,0.0
1459607656220,9.31,0.0
1459607656230,9.31,0.0
1459607656240,9.31,0.0
1459607656250,9.31,0.0
1459607656260,9.31,1.4480000000000002e-06
1459607656270,9.31,0.0
1459607656280,9.31,3.6200000000000004e-07
1459607656290,9.31,0.0
1459607656300,9.31,0.0
1459607656310,9.31,0.0
1459607656320,9.31,0.0
1459607656330,9.31,0.0
1459607656340,9.31,0.0
1459607656350,9.31,0.0
1459607656360,9.31,3.6200000000000004e-07
1459607656370,9.31,0.0
1459607656380,9.31,1.0859999999999999e-06
1459607656390,9.31,0.0
1459607656400,9.31,0.0
1459607656410,9.31,0.0
1459607656420,9.31,3.6200000000000004e-07
1459607656430,9.31,0.0
1459607656440,9.31,0.0
1459607656450,9.31,3.6200000000000004e-07
1459607656460,9.31,7.240000000000001e-07
1459607656470,9.31,7.240000000000001e-07
1459607656480,9.31,0.0
1459607656490,9.31,3.6200000000000004e-07
1459607656500,9.31,0.0
1459607656510,9.31,3.6200000000000004e-07
1459607656520,9.31,0.0
1459607656530,9.31,1.0859999999999999e-06
1459607656540,9.31,0.0
1459607656550,9.31,7.240000000000001e-07
1459607656560,9.31,1.81e-06
1459607656570,9.31,0.0
1459607656580,9.31,0.0
1459607656590,9.31,0.0
1459607656600,9.31,0.0
1459607656610,9.31,0.0
1459607656620,9.31,1.0859999999999999e-06
1459607656630,9.31,7.240000000000001e-07
1459607656640,9.31,0.0
1459607656650,9.31,3.6200000000000004e-07
1459607656660,9.31,0.0
1459607656670,9.31,2.1719999999999997e-06
1459607656680,9.31,0.0
1459607656690,9.31,7.240000000000001e-07
1459607656700,9.31,0.0
1459607656710,9.31,7.240000000000001e-07
1459607656720,9.31,0.0
1459607656730,9.31,0.0
1459607656740,9.31,0.0
1459607656750,9.31,0.0
1459607656760,9.31,0.0
1459607656770,9.31,3.6200000000000004e-07
1459607656780,9.31,0.0
1459607656790,9.31,1.0859999999999999e-06
1459607656800,9.31,0.0
1459607656810,9.31,1.0859999999999999e-06
1459607656820,9.31,0.0
1459607656830,9.31,0.0
1459607656840,9.31,0.0
1459607656850,9.31,3.6200000000000004e-07
1459607656860,9.31,0.0
1459607656870,9.31,0.0
1459607656880,9.31,0.0
1459607656890,9.31,1.0859999999999999e-06
1459607656900,9.31,0.0
1459607656910,9.31,0.0
1459607656920,9.31,0.0
1459607656930,9.31,0.0
1459607656940,9.31,0.0
1459607656950,9.31,0.0
1459607656960,9.31,0.0
1459607656970,9.31,0.0
1459607656980,9.31,0.0
1459607656990,9.31,0.0
1459607657000,9.31,0.0
1459607657010,9.31,1.0859999999999999e-06
1459607657020,9.31,0.0
1459607657030,9.31,3.6200000000000004e-07
1459607657040,9.31,1.4480000000000002e-06
1459607657050,9.31,1.81e-06
1459607657060,9.31,0.0
1459607657070,9.31,1.0859999999999999e-06
1459607657080,9.31,0.0
1459607657090,9.31,0.0
1459607657100,9.31,0.0
1459607657110,9.31,0.0
1459607657120,9.31,0.0
1459607657130,9.31,0.0
1459607657140,9.31,1.4480000000000002e-06
1459607657150,9.31,1.81e-06
1459607657160,9.31,0.0
1459607657170,9.31,0.0
1459607657180,9.31,0.0
1459607657190,9.31,0.0
1459607657200,9.31,0.0
1459607657210,9.31,7.240000000000001e-07
1459607657220,9.31,0.0
1459607657230,9.31,0.0
1459607657240,9.31,7.240000000000001e-07
1459607657250,9.31,7.240000000000001e-07
1459607657260,9.31,1.4480000000000002e-06
1459607657270,9.31,0.0
1459607657280,9.31,0.0
1459607657290,9.31,0.0
1459607657300,9.31,0.0
1459607657310,9.31,3.6200000000000004e-07
1459607657320,9.31,0.0
1459607657330,9.31,0.0
1459607657340,9.31,0.0
1459607657350,9.31,0.0
1459607657360,9.31,0.0
1459607657370,9.31,0.0
1459607657380,9.31,0.0
1459607657390,9.31,0.0
1459607657400,9.31,0.0
1459607657410,9.31,1.0859999999999999e-06
1459607657420,9.31,0.0
1459607657430,9.31,0.0
1459607657440,9.31,3.6200000000000004e-07
1459607657450,9.31,3.6200000000000004e-07
1459607657460,9.31,0.0
1459607657470,9.31,0.0
1459607657480,9.31,0.0
1459607657490,9.31,1.81e-06
1459607657500,9.31,0.0
1459607657510,9.31,0.0
1459607657520,9.31,7.240000000000001e-07
1459607657530,9.31,0.0
1459607657540,9.31,1.81e-06
1459607657550,9.31,0.0
1459607657560,9.31,0.0
1459607657570,9.31,0.0
1459607657580,9.31,1.4480000000000002e-06
1459607657590,9.31,0.0
1459607657600,9.31,0.0
1459607657610,9.31,0.0
1459607657620,9.31,1.4480000000000002e-06
1459607657630,9.31,0.0
1459607657640,9.31,3.6200000000000004e-07
1459607657650,9.31,3.6200000000000004e-07
1459607657660,9.31,1.4480000000000002e-06
