Timestamp,position,BLMTI.05R3.B1I10_TCLA.B5R3.B1
1459601430590,8.745,0.0
1459601430600,8.745,0.0
1459601430610,8.745,7.240000000000001e-07
1459601430620,8.745,0.0
1459601430630,8.745,1.0859999999999999e-06
1459601430640,8.745,0.0
1459601430650,8.745,7.240000000000001e-07
1459601430660,8.745,0.0
1459601430670,8.745,3.6200000000000004e-07
1459601430680,8.745,0.0
1459601430690,8.745,1.0859999999999999e-06
1459601430700,8.745,3.6200000000000004e-07
1459601430710,8.745,3.6200000000000004e-07
1459601430720,8.745,3.6200000000000004e-07
1459601430730,8.745,3.6200000000000004e-07
1459601430740,8.745,3.6200000000000004e-07
1459601430750,8.745,3.6200000000000004e-07
1459601430760,8.745,3.6200000000000004e-07
1459601430770,8.745,3.6200000000000004e-07
1459601430780,8.745,3.6200000000000004e-07
1459601430790,8.745,7.240000000000001e-07
1459601430800,8.745,0.0
1459601430810,8.745,1.0859999999999999e-06
1459601430820,8.745,0.0
1459601430830,8.745,3.6200000000000004e-07
1459601430840,8.745,0.0
1459601430850,8.745,3.6200000000000004e-07
1459601430860,8.745,3.6200000000000004e-07
1459601430870,8.745,3.6200000000000004e-07
1459601430880,8.745,0.0
1459601430890,8.745,7.240000000000001e-07
1459601430900,8.745,0.0
1459601430910,8.745,1.0859999999999999e-06
1459601430920,8.745,0.0
1459601430930,8.745,0.0
1459601430940,8.745,0.0
1459601430950,8.745,3.6200000000000004e-07
1459601430960,8.745,0.0
1459601430970,8.745,3.6200000000000004e-07
1459601430980,8.745,3.6200000000000004e-07
1459601430990,8.745,3.6200000000000004e-07
1459601431000,8.745,0.0
1459601431010,8.745,0.0
1459601431020,8.745,7.240000000000001e-07
1459601431030,8.745,3.6200000000000004e-07
1459601431040,8.745,0.0
1459601431050,8.745,3.6200000000000004e-07
1459601431060,8.745,0.0
1459601431070,8.745,7.240000000000001e-07
1459601431080,8.745,0.0
1459601431090,8.745,0.0
1459601431100,8.745,0.0
1459601431110,8.745,3.6200000000000004e-07
1459601431120,8.745,3.6200000000000004e-07
1459601431130,8.745,3.6200000000000004e-07
1459601431140,8.745,0.0
1459601431150,8.745,1.0859999999999999e-06
1459601431160,8.745,3.6200000000000004e-07
1459601431170,8.745,7.240000000000001e-07
1459601431180,8.745,0.0
1459601431190,8.745,3.6200000000000004e-07
1459601431200,8.745,0.0
1459601431210,8.745,1.0859999999999999e-06
1459601431220,8.745,0.0
1459601431230,8.745,7.240000000000001e-07
1459601431240,8.745,0.0
1459601431250,8.745,0.0
1459601431260,8.745,0.0
1459601431270,8.745,1.0859999999999999e-06
1459601431280,8.745,0.0
1459601431290,8.525,0.0
1459601431300,8.525,0.0
1459601431310,8.525,7.240000000000001e-07
1459601431320,8.525,7.240000000000001e-07
1459601431330,8.525,3.6200000000000004e-07
1459601431340,8.525,7.240000000000001e-07
1459601431350,8.525,0.0
1459601431360,8.525,7.240000000000001e-07
1459601431370,8.525,7.240000000000001e-07
1459601431380,8.525,0.0
1459601431390,8.525,0.0
1459601431400,8.525,0.0
1459601431410,8.525,3.6200000000000004e-07
1459601431420,8.525,3.6200000000000004e-07
1459601431430,8.525,7.240000000000001e-07
1459601431440,8.525,0.0
1459601431450,8.525,0.0
1459601431460,8.525,3.6200000000000004e-07
1459601431470,8.525,0.0
1459601431480,8.525,0.0
1459601431490,8.525,7.240000000000001e-07
1459601431500,8.525,3.6200000000000004e-07
1459601431510,8.525,3.6200000000000004e-07
1459601431520,8.525,0.0
1459601431530,8.525,3.6200000000000004e-07
1459601431540,8.525,0.0
1459601431550,8.525,3.6200000000000004e-07
1459601431560,8.525,3.6200000000000004e-07
1459601431570,8.525,3.6200000000000004e-07
1459601431580,8.525,0.0
1459601431590,8.525,7.240000000000001e-07
1459601431600,8.525,0.0
1459601431610,8.525,7.240000000000001e-07
1459601431620,8.525,0.0
1459601431630,8.525,1.0859999999999999e-06
1459601431640,8.525,0.0
1459601431650,8.525,0.0
1459601431660,8.525,3.6200000000000004e-07
1459601431670,8.525,7.240000000000001e-07
1459601431680,8.525,0.0
1459601431690,8.525,1.0859999999999999e-06
1459601431700,8.525,0.0
1459601431710,8.525,1.4480000000000002e-06
1459601431720,8.525,0.0
1459601431730,8.525,0.0
1459601431740,8.525,0.0
1459601431750,8.525,7.240000000000001e-07
1459601431760,8.525,0.0
1459601431770,8.525,3.6200000000000004e-07
1459601431780,8.525,3.6200000000000004e-07
1459601431790,8.525,3.6200000000000004e-07
1459601431800,8.525,3.6200000000000004e-07
1459601431810,8.525,3.6200000000000004e-07
1459601431820,8.525,0.0
1459601431830,8.525,3.6200000000000004e-07
1459601431840,8.525,1.0859999999999999e-06
1459601431850,8.525,0.0
1459601431860,8.525,3.6200000000000004e-07
1459601431870,8.525,3.6200000000000004e-07
1459601431880,8.525,3.6200000000000004e-07
1459601431890,8.525,3.6200000000000004e-07
1459601431900,8.525,0.0
1459601431910,8.525,7.240000000000001e-07
1459601431920,8.525,0.0
1459601431930,8.525,3.6200000000000004e-07
1459601431940,8.525,3.6200000000000004e-07
1459601431950,8.525,0.0
1459601431960,8.525,0.0
1459601431970,8.525,7.240000000000001e-07
1459601431980,8.525,3.6200000000000004e-07
1459601431990,8.525,3.6200000000000004e-07
1459601432000,8.525,0.0
1459601432010,8.525,7.240000000000001e-07
1459601432020,8.525,0.0
1459601432030,8.525,7.240000000000001e-07
1459601432040,8.525,3.6200000000000004e-07
1459601432050,8.525,3.6200000000000004e-07
1459601432060,8.525,3.6200000000000004e-07
1459601432070,8.525,7.240000000000001e-07
1459601432080,8.525,0.0
1459601432090,8.525,3.6200000000000004e-07
1459601432100,8.525,0.0
1459601432110,8.525,7.240000000000001e-07
1459601432120,8.525,0.0
1459601432130,8.525,7.240000000000001e-07
1459601432140,8.525,0.0
1459601432150,8.525,1.0859999999999999e-06
1459601432160,8.525,0.0
1459601432170,8.525,1.4480000000000002e-06
1459601432180,8.525,3.6200000000000004e-07
1459601432190,8.525,7.240000000000001e-07
1459601432200,8.525,0.0
1459601432210,8.525,0.0
1459601432220,8.525,0.0
1459601432230,8.525,7.240000000000001e-07
1459601432240,8.525,0.0
1459601432250,8.525,7.240000000000001e-07
1459601432260,8.525,0.0
1459601432270,8.525,7.240000000000001e-07
1459601432280,8.525,0.0
1459601432290,8.525,7.240000000000001e-07
1459601432300,8.525,0.0
1459601432310,8.525,7.240000000000001e-07
1459601432320,8.525,3.6200000000000004e-07
1459601432330,8.525,0.0
1459601432340,8.525,3.6200000000000004e-07
1459601432350,8.525,1.0859999999999999e-06
1459601432360,8.525,3.6200000000000004e-07
1459601432370,8.525,0.0
1459601432380,8.525,0.0
1459601432390,8.525,7.240000000000001e-07
1459601432400,8.525,3.6200000000000004e-07
1459601432410,8.525,3.6200000000000004e-07
1459601432420,8.525,0.0
1459601432430,8.525,3.6200000000000004e-07
1459601432440,8.525,0.0
1459601432450,8.525,7.240000000000001e-07
1459601432460,8.525,0.0
1459601432470,8.525,7.240000000000001e-07
1459601432480,8.525,0.0
1459601432490,8.525,3.6200000000000004e-07
1459601432500,8.525,0.0
1459601432510,8.525,7.240000000000001e-07
1459601432520,8.525,0.0
1459601432530,8.525,7.240000000000001e-07
1459601432540,8.525,0.0
1459601432550,8.525,3.6200000000000004e-07
1459601432560,8.525,0.0
1459601432570,8.525,7.240000000000001e-07
1459601432580,8.525,0.0
1459601432590,8.525,7.240000000000001e-07
1459601432600,8.525,0.0
1459601432610,8.525,3.6200000000000004e-07
1459601432620,8.525,0.0
1459601432630,8.525,7.240000000000001e-07
1459601432640,8.525,0.0
1459601432650,8.525,0.0
1459601432660,8.525,3.6200000000000004e-07
1459601432670,8.525,7.240000000000001e-07
1459601432680,8.525,0.0
1459601432690,8.525,7.240000000000001e-07
1459601432700,8.525,0.0
1459601432710,8.525,7.240000000000001e-07
1459601432720,8.525,3.6200000000000004e-07
1459601432730,8.525,3.6200000000000004e-07
1459601432740,8.525,0.0
1459601432750,8.525,3.6200000000000004e-07
1459601432760,8.525,3.6200000000000004e-07
1459601432770,8.525,1.0859999999999999e-06
1459601432780,8.525,0.0
1459601432790,8.525,3.6200000000000004e-07
1459601432800,8.525,0.0
1459601432810,8.525,1.0859999999999999e-06
1459601432820,8.525,0.0
1459601432830,8.525,1.0859999999999999e-06
1459601432840,8.525,0.0
1459601432850,8.525,0.0
1459601432860,8.525,0.0
1459601432870,8.525,7.240000000000001e-07
1459601432880,8.525,0.0
1459601432890,8.525,1.0859999999999999e-06
1459601432900,8.525,0.0
1459601432910,8.525,3.6200000000000004e-07
1459601432920,8.525,0.0
1459601432930,8.525,7.240000000000001e-07
1459601432940,8.525,0.0
1459601432950,8.525,1.0859999999999999e-06
1459601432960,8.525,0.0
1459601432970,8.525,7.240000000000001e-07
1459601432980,8.525,3.6200000000000004e-07
1459601432990,8.525,7.240000000000001e-07
1459601433000,8.525,0.0
1459601433010,8.525,0.0
1459601433020,8.525,3.6200000000000004e-07
1459601433030,8.525,3.6200000000000004e-07
1459601433040,8.525,0.0
1459601433050,8.525,7.240000000000001e-07
1459601433060,8.525,0.0
1459601433070,8.525,1.0859999999999999e-06
1459601433080,8.525,0.0
1459601433090,8.525,3.6200000000000004e-07
1459601433100,8.525,0.0
1459601433110,8.525,3.6200000000000004e-07
1459601433120,8.525,0.0
1459601433130,8.525,3.6200000000000004e-07
1459601433140,8.525,3.6200000000000004e-07
1459601433150,8.525,7.240000000000001e-07
1459601433160,8.525,0.0
1459601433170,8.525,7.240000000000001e-07
1459601433180,8.525,0.0
1459601433190,8.525,7.240000000000001e-07
1459601433200,8.525,0.0
1459601433210,8.525,0.0
1459601433220,8.525,0.0
1459601433230,8.525,7.240000000000001e-07
1459601433240,8.525,0.0
1459601433250,8.525,1.0859999999999999e-06
1459601433260,8.525,0.0
1459601433270,8.525,7.240000000000001e-07
1459601433280,8.525,0.0
1459601433290,8.525,7.240000000000001e-07
1459601433300,8.525,0.0
1459601433310,8.525,3.6200000000000004e-07
1459601433320,8.525,0.0
1459601433330,8.525,3.6200000000000004e-07
1459601433340,8.525,3.6200000000000004e-07
1459601433350,8.525,0.0
1459601433360,8.525,3.6200000000000004e-07
1459601433370,8.525,0.0
1459601433380,8.525,0.0
1459601433390,8.525,1.0859999999999999e-06
1459601433400,8.525,0.0
1459601433410,8.525,3.6200000000000004e-07
1459601433420,8.525,3.6200000000000004e-07
1459601433430,8.525,7.240000000000001e-07
1459601433440,8.525,0.0
1459601433450,8.525,3.6200000000000004e-07
1459601433460,8.525,0.0
1459601433470,8.525,7.240000000000001e-07
1459601433480,8.525,0.0
1459601433490,8.525,7.240000000000001e-07
1459601433500,8.525,0.0
1459601433510,8.525,3.6200000000000004e-07
1459601433520,8.525,0.0
1459601433530,8.525,1.0859999999999999e-06
1459601433540,8.525,0.0
1459601433550,8.525,3.6200000000000004e-07
1459601433560,8.525,3.6200000000000004e-07
1459601433570,8.525,3.6200000000000004e-07
1459601433580,8.525,0.0
1459601433590,8.525,3.6200000000000004e-07
1459601433600,8.525,0.0
1459601433610,8.525,1.4480000000000002e-06
1459601433620,8.525,0.0
1459601433630,8.525,7.240000000000001e-07
1459601433640,8.525,0.0
1459601433650,8.525,1.0859999999999999e-06
1459601433660,8.525,0.0
1459601433670,8.525,0.0
1459601433680,8.525,0.0
1459601433690,8.525,0.0
1459601433700,8.525,7.240000000000001e-07
1459601433710,8.525,3.6200000000000004e-07
1459601433720,8.525,3.6200000000000004e-07
1459601433730,8.525,7.240000000000001e-07
1459601433740,8.525,0.0
1459601433750,8.525,3.6200000000000004e-07
1459601433760,8.525,0.0
1459601433770,8.525,7.240000000000001e-07
1459601433780,8.525,0.0
