Timestamp,position,BLMTI.04L5.B1I10_TCTPH.4L5.B1
1459601053310,-7.895,3.6200000000000004e-07
1459601053320,-7.895,0.0
1459601053330,-7.895,3.6200000000000004e-07
1459601053340,-7.895,0.0
1459601053350,-7.895,3.6200000000000004e-07
1459601053360,-7.895,0.0
1459601053370,-7.895,7.240000000000001e-07
1459601053380,-7.895,0.0
1459601053390,-7.895,3.6200000000000004e-07
1459601053400,-7.895,0.0
1459601053410,-7.895,3.6200000000000004e-07
1459601053420,-7.895,0.0
1459601053430,-7.895,3.6200000000000004e-07
1459601053440,-7.895,3.6200000000000004e-07
1459601053450,-7.895,3.6200000000000004e-07
1459601053460,-7.895,0.0
1459601053470,-7.895,0.0
1459601053480,-7.895,0.0
1459601053490,-7.895,7.240000000000001e-07
1459601053500,-7.895,0.0
1459601053510,-7.895,1.0859999999999999e-06
1459601053520,-7.895,0.0
1459601053530,-7.895,3.6200000000000004e-07
1459601053540,-7.895,0.0
1459601053550,-7.895,3.6200000000000004e-07
1459601053560,-7.895,3.6200000000000004e-07
1459601053570,-7.895,3.6200000000000004e-07
1459601053580,-7.895,0.0
1459601053590,-7.895,0.0
1459601053600,-7.895,0.0
1459601053610,-7.895,7.240000000000001e-07
1459601053620,-7.895,0.0
1459601053630,-7.895,0.0
1459601053640,-7.895,3.6200000000000004e-07
1459601053650,-7.895,3.6200000000000004e-07
1459601053660,-7.895,0.0
1459601053670,-7.895,7.240000000000001e-07
1459601053680,-7.895,0.0
1459601053690,-7.895,3.6200000000000004e-07
1459601053700,-7.895,0.0
1459601053710,-7.895,3.6200000000000004e-07
1459601053720,-7.895,0.0
1459601053730,-7.895,7.240000000000001e-07
1459601053740,-7.895,0.0
1459601053750,-7.895,3.6200000000000004e-07
1459601053760,-7.895,3.6200000000000004e-07
1459601053770,-7.895,3.6200000000000004e-07
1459601053780,-7.895,0.0
1459601053790,-7.895,3.6200000000000004e-07
1459601053800,-7.895,0.0
1459601053810,-7.895,0.0
1459601053820,-7.895,0.0
1459601053830,-7.895,7.240000000000001e-07
1459601053840,-7.895,0.0
1459601053850,-7.895,0.0
1459601053860,-7.895,3.6200000000000004e-07
1459601053870,-7.895,3.6200000000000004e-07
1459601053880,-7.895,0.0
1459601053890,-7.895,3.6200000000000004e-07
1459601053900,-7.895,0.0
1459601053910,-7.895,0.0
1459601053920,-7.895,0.0
1459601053930,-7.895,0.0
1459601053940,-7.895,0.0
1459601053950,-7.895,3.6200000000000004e-07
1459601053960,-7.895,0.0
1459601053970,-7.895,3.6200000000000004e-07
1459601053980,-7.895,3.6200000000000004e-07
1459601053990,-7.895,3.6200000000000004e-07
1459601054000,-7.895,3.6200000000000004e-07
1459601054010,-7.895,3.6200000000000004e-07
1459601054020,-7.895,0.0
1459601054030,-7.895,3.6200000000000004e-07
1459601054040,-7.895,0.0
1459601054050,-7.895,3.6200000000000004e-07
1459601054060,-7.895,3.6200000000000004e-07
1459601054070,-7.895,3.6200000000000004e-07
1459601054080,-7.895,0.0
1459601054090,-7.895,3.6200000000000004e-07
1459601054100,-7.895,0.0
1459601054110,-7.895,3.6200000000000004e-07
1459601054120,-7.895,0.0
1459601054130,-7.895,3.6200000000000004e-07
1459601054140,-7.895,0.0
1459601054150,-7.895,3.6200000000000004e-07
1459601054160,-7.895,0.0
1459601054170,-7.895,7.240000000000001e-07
1459601054180,-7.895,0.0
1459601054190,-7.895,3.6200000000000004e-07
1459601054200,-7.895,0.0
1459601054210,-7.895,3.6200000000000004e-07
1459601054220,-7.895,0.0
1459601054230,-7.895,3.6200000000000004e-07
1459601054240,-7.895,0.0
1459601054250,-7.895,3.6200000000000004e-07
1459601054260,-7.895,0.0
1459601054270,-7.895,3.6200000000000004e-07
1459601054280,-7.895,3.6200000000000004e-07
1459601054290,-7.895,0.0
1459601054300,-7.895,0.0
1459601054310,-7.895,0.0
1459601054320,-7.895,3.6200000000000004e-07
1459601054330,-7.895,3.6200000000000004e-07
1459601054340,-7.895,0.0
1459601054350,-7.895,0.0
1459601054360,-7.895,0.0
1459601054370,-7.895,3.6200000000000004e-07
1459601054380,-7.895,0.0
1459601054390,-7.895,3.6200000000000004e-07
1459601054400,-7.895,0.0
1459601054410,-7.895,3.6200000000000004e-07
1459601054420,-7.895,0.0
1459601054430,-7.895,3.6200000000000004e-07
1459601054440,-7.895,3.6200000000000004e-07
1459601054450,-7.895,3.6200000000000004e-07
1459601054460,-7.895,0.0
1459601054470,-7.895,0.0
1459601054480,-7.895,3.6200000000000004e-07
1459601054490,-7.895,0.0
1459601054500,-7.895,0.0
1459601054510,-7.895,3.6200000000000004e-07
1459601054520,-7.895,7.240000000000001e-07
1459601054530,-7.895,3.6200000000000004e-07
1459601054540,-7.895,0.0
1459601054550,-7.895,0.0
1459601054560,-7.895,3.6200000000000004e-07
1459601054570,-7.895,3.6200000000000004e-07
1459601054580,-7.895,0.0
1459601054590,-7.895,7.240000000000001e-07
1459601054600,-7.895,0.0
1459601054610,-7.895,7.240000000000001e-07
1459601054620,-7.895,7.240000000000001e-07
1459601054630,-7.895,0.0
1459601054640,-7.895,3.6200000000000004e-07
1459601054650,-7.895,3.6200000000000004e-07
1459601054660,-7.895,0.0
1459601054670,-7.895,3.6200000000000004e-07
1459601054680,-7.895,0.0
1459601054690,-7.895,3.6200000000000004e-07
1459601054700,-7.895,0.0
1459601054710,-7.895,3.6200000000000004e-07
1459601054720,-7.895,3.6200000000000004e-07
1459601054730,-7.895,7.240000000000001e-07
1459601054740,-7.895,0.0
1459601054750,-7.895,3.6200000000000004e-07
1459601054760,-7.895,0.0
1459601054770,-7.895,3.6200000000000004e-07
1459601054780,-7.895,3.6200000000000004e-07
1459601054790,-7.895,3.6200000000000004e-07
1459601054800,-7.895,3.6200000000000004e-07
1459601054810,-7.895,3.6200000000000004e-07
1459601054820,-7.895,0.0
1459601054830,-7.895,3.6200000000000004e-07
1459601054840,-7.895,3.6200000000000004e-07
1459601054850,-7.895,3.6200000000000004e-07
1459601054860,-7.895,0.0
1459601054870,-7.895,7.240000000000001e-07
1459601054880,-7.895,0.0
1459601054890,-7.895,0.0
1459601054900,-7.895,0.0
1459601054910,-7.895,3.6200000000000004e-07
1459601054920,-7.895,0.0
1459601054930,-7.895,3.6200000000000004e-07
1459601054940,-7.895,0.0
1459601054950,-7.895,0.0
1459601054960,-7.895,3.6200000000000004e-07
1459601054970,-7.895,3.6200000000000004e-07
1459601054980,-7.895,0.0
1459601054990,-7.895,7.240000000000001e-07
1459601055000,-7.895,0.0
1459601055010,-7.895,3.6200000000000004e-07
1459601055020,-7.895,0.0
1459601055030,-7.895,3.6200000000000004e-07
1459601055040,-7.895,0.0
1459601055050,-7.895,7.240000000000001e-07
1459601055060,-7.895,0.0
1459601055070,-7.895,3.6200000000000004e-07
1459601055080,-7.895,0.0
1459601055090,-7.895,0.0
1459601055100,-7.895,3.6200000000000004e-07
1459601055110,-7.895,3.6200000000000004e-07
1459601055120,-7.895,0.0
1459601055130,-7.895,3.6200000000000004e-07
1459601055140,-7.895,0.0
1459601055150,-7.895,0.0
1459601055160,-7.895,3.6200000000000004e-07
1459601055170,-7.895,3.6200000000000004e-07
1459601055180,-7.895,0.0
1459601055190,-7.895,0.0
1459601055200,-7.895,7.240000000000001e-07
1459601055210,-7.895,3.6200000000000004e-07
1459601055220,-7.895,0.0
1459601055230,-7.895,3.6200000000000004e-07
1459601055240,-7.895,0.0
1459601055250,-7.895,0.0
1459601055260,-7.895,0.0
1459601055270,-7.895,3.6200000000000004e-07
1459601055280,-7.895,3.6200000000000004e-07
1459601055290,-7.895,0.0
1459601055300,-7.895,0.0
1459601055310,-7.895,7.240000000000001e-07
1459601055320,-7.895,3.6200000000000004e-07
1459601055330,-7.895,3.6200000000000004e-07
1459601055340,-7.895,0.0
1459601055350,-7.895,0.0
1459601055360,-7.895,0.0
1459601055370,-7.895,0.0
1459601055380,-7.895,3.6200000000000004e-07
1459601055390,-7.895,3.6200000000000004e-07
1459601055400,-7.895,7.240000000000001e-07
1459601055410,-7.895,7.240000000000001e-07
1459601055420,-7.895,3.6200000000000004e-07
1459601055430,-7.895,0.0
1459601055440,-7.895,0.0
1459601055450,-7.895,0.0
1459601055460,-7.895,0.0
1459601055470,-7.895,0.0
1459601055480,-7.895,7.240000000000001e-07
1459601055490,-7.895,0.0
1459601055500,-7.895,3.6200000000000004e-07
1459601055510,-7.895,7.240000000000001e-07
1459601055520,-7.895,3.6200000000000004e-07
1459601055530,-7.895,0.0
1459601055540,-7.895,0.0
1459601055550,-7.895,7.240000000000001e-07
1459601055560,-7.895,7.240000000000001e-07
1459601055570,-7.895,7.240000000000001e-07
1459601055580,-7.895,0.0
1459601055590,-7.895,3.6200000000000004e-07
1459601055600,-7.895,3.6200000000000004e-07
1459601055610,-7.895,0.0
1459601055620,-7.895,3.6200000000000004e-07
1459601055630,-7.895,3.6200000000000004e-07
1459601055640,-7.895,0.0
1459601055650,-7.895,3.6200000000000004e-07
1459601055660,-7.895,0.0
1459601055670,-7.895,0.0
1459601055680,-7.895,0.0
1459601055690,-7.895,7.240000000000001e-07
1459601055700,-7.895,0.0
1459601055710,-7.895,0.0
1459601055720,-7.895,3.6200000000000004e-07
1459601055730,-7.895,3.6200000000000004e-07
1459601055740,-7.895,0.0
1459601055750,-7.895,0.0
1459601055760,-7.895,0.0
1459601055770,-7.895,3.6200000000000004e-07
1459601055780,-7.895,0.0
1459601055790,-7.895,0.0
1459601055800,-7.895,3.6200000000000004e-07
1459601055810,-7.895,0.0
1459601055820,-7.895,0.0
1459601055830,-7.895,3.6200000000000004e-07
1459601055840,-7.895,3.6200000000000004e-07
1459601055850,-7.895,3.6200000000000004e-07
1459601055860,-7.895,0.0
1459601055870,-7.895,7.240000000000001e-07
1459601055880,-7.895,3.6200000000000004e-07
1459601055890,-7.895,3.6200000000000004e-07
1459601055900,-7.895,0.0
1459601055910,-7.895,0.0
1459601055920,-7.895,0.0
1459601055930,-7.895,3.6200000000000004e-07
1459601055940,-7.895,0.0
1459601055950,-7.895,0.0
1459601055960,-7.895,3.6200000000000004e-07
1459601055970,-7.895,3.6200000000000004e-07
1459601055980,-7.895,0.0
1459601055990,-7.895,7.240000000000001e-07
1459601056000,-7.895,0.0
1459601056010,-7.895,3.6200000000000004e-07
1459601056020,-7.895,0.0
1459601056030,-7.895,7.240000000000001e-07
1459601056040,-7.895,0.0
1459601056050,-7.895,3.6200000000000004e-07
1459601056060,-7.895,0.0
1459601056070,-7.895,3.6200000000000004e-07
1459601056080,-7.895,7.240000000000001e-07
1459601056090,-7.895,7.240000000000001e-07
1459601056100,-7.895,0.0
1459601056110,-7.895,3.6200000000000004e-07
1459601056120,-7.895,3.6200000000000004e-07
1459601056130,-7.895,0.0
1459601056140,-7.895,0.0
1459601056150,-7.895,0.0
1459601056160,-7.895,3.6200000000000004e-07
1459601056170,-7.895,3.6200000000000004e-07
1459601056180,-7.895,0.0
1459601056190,-7.895,0.0
1459601056200,-7.895,0.0
1459601056210,-7.895,3.6200000000000004e-07
1459601056220,-7.895,0.0
1459601056230,-7.895,0.0
1459601056240,-7.895,3.6200000000000004e-07
1459601056250,-7.895,3.6200000000000004e-07
1459601056260,-7.895,3.6200000000000004e-07
1459601056270,-7.895,0.0
1459601056280,-7.895,0.0
1459601056290,-7.895,3.6200000000000004e-07
1459601056300,-7.895,0.0
1459601056310,-7.895,3.6200000000000004e-07
1459601056320,-7.895,3.6200000000000004e-07
1459601056330,-7.895,3.6200000000000004e-07
1459601056340,-7.895,3.6200000000000004e-07
1459601056350,-7.895,0.0
1459601056360,-7.895,0.0
1459601056370,-7.895,7.240000000000001e-07
1459601056380,-7.895,0.0
1459601056390,-7.895,7.240000000000001e-07
1459601056400,-7.895,0.0
1459601056410,-7.895,0.0
1459601056420,-7.895,3.6200000000000004e-07
1459601056430,-7.895,3.6200000000000004e-07
1459601056440,-7.895,0.0
1459601056450,-7.895,3.6200000000000004e-07
1459601056460,-7.895,0.0
1459601056470,-7.895,0.0
1459601056480,-7.895,0.0
1459601056490,-7.895,0.0
1459601056500,-7.895,3.6200000000000004e-07
