Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1459604813690,-9.655,3.6200000000000004e-07
1459604813700,-9.655,0.0
1459604813710,-9.655,1.0859999999999999e-06
1459604813720,-9.655,0.0
1459604813730,-9.655,7.240000000000001e-07
1459604813740,-9.655,0.0
1459604813750,-9.655,7.240000000000001e-07
1459604813760,-9.655,3.6200000000000004e-07
1459604813770,-9.655,7.240000000000001e-07
1459604813780,-9.655,0.0
1459604813790,-9.655,7.240000000000001e-07
1459604813800,-9.655,0.0
1459604813810,-9.655,3.6200000000000004e-07
1459604813820,-9.655,0.0
1459604813830,-9.655,7.240000000000001e-07
1459604813840,-9.655,3.6200000000000004e-07
1459604813850,-9.655,1.4480000000000002e-06
1459604813860,-9.655,0.0
1459604813870,-9.655,3.6200000000000004e-07
1459604813880,-9.655,0.0
1459604813890,-9.655,7.240000000000001e-07
1459604813900,-9.655,0.0
1459604813910,-9.655,0.0
1459604813920,-9.655,7.240000000000001e-07
1459604813930,-9.655,0.0
1459604813940,-9.655,7.240000000000001e-07
1459604813950,-9.655,0.0
1459604813960,-9.655,7.240000000000001e-07
1459604813970,-9.655,0.0
1459604813980,-9.655,0.0
1459604813990,-9.655,3.6200000000000004e-07
1459604814000,-9.655,3.6200000000000004e-07
1459604814010,-9.655,3.6200000000000004e-07
1459604814020,-9.655,3.6200000000000004e-07
1459604814030,-9.655,3.6200000000000004e-07
1459604814040,-9.655,7.240000000000001e-07
1459604814050,-9.655,3.6200000000000004e-07
1459604814060,-9.655,0.0
1459604814070,-9.655,7.240000000000001e-07
1459604814080,-9.655,0.0
1459604814090,-9.655,0.0
1459604814100,-9.655,3.6200000000000004e-07
1459604814110,-9.655,3.6200000000000004e-07
1459604814120,-9.655,7.240000000000001e-07
1459604814130,-9.655,0.0
1459604814140,-9.655,3.6200000000000004e-07
1459604814150,-9.655,0.0
1459604814160,-9.655,7.240000000000001e-07
1459604814170,-9.655,0.0
1459604814180,-9.655,3.6200000000000004e-07
1459604814190,-9.655,0.0
1459604814200,-9.655,7.240000000000001e-07
1459604814210,-9.655,0.0
1459604814220,-9.655,3.6200000000000004e-07
1459604814230,-9.655,0.0
1459604814240,-9.655,7.240000000000001e-07
1459604814250,-9.655,7.240000000000001e-07
1459604814260,-9.655,0.0
1459604814270,-9.655,3.6200000000000004e-07
1459604814280,-9.655,0.0
1459604814290,-9.655,7.240000000000001e-07
1459604814300,-9.655,3.6200000000000004e-07
1459604814310,-9.655,3.6200000000000004e-07
1459604814320,-9.655,3.6200000000000004e-07
1459604814330,-9.655,0.0
1459604814340,-9.655,7.240000000000001e-07
1459604814350,-9.655,0.0
1459604814360,-9.655,3.6200000000000004e-07
1459604814370,-9.655,0.0
1459604814380,-9.655,3.6200000000000004e-07
1459604814390,-9.655,0.0
1459604814400,-9.655,3.6200000000000004e-07
1459604814410,-9.655,0.0
1459604814420,-9.655,1.4480000000000002e-06
1459604814430,-9.655,0.0
1459604814440,-9.655,0.0
1459604814450,-9.655,7.240000000000001e-07
1459604814460,-9.655,0.0
1459604814470,-9.655,3.6200000000000004e-07
1459604814480,-9.655,0.0
1459604814490,-9.655,1.4480000000000002e-06
1459604814500,-9.655,0.0
1459604814510,-9.655,0.0
1459604814520,-9.655,0.0
1459604814530,-9.655,0.0
1459604814540,-9.655,0.0
1459604814550,-9.655,3.6200000000000004e-07
1459604814560,-9.655,7.240000000000001e-07
1459604814570,-9.655,0.0
1459604814580,-9.655,3.6200000000000004e-07
1459604814590,-9.655,3.6200000000000004e-07
1459604814600,-9.655,7.240000000000001e-07
1459604814610,-9.655,0.0
1459604814620,-9.655,3.6200000000000004e-07
1459604814630,-9.655,3.6200000000000004e-07
1459604814640,-9.655,0.0
1459604814650,-9.655,0.0
1459604814660,-9.655,3.6200000000000004e-07
1459604814670,-9.655,3.6200000000000004e-07
1459604814680,-9.655,0.0
1459604814690,-9.655,3.6200000000000004e-07
1459604814700,-9.655,0.0
1459604814710,-9.655,0.0
1459604814720,-9.655,0.0
1459604814730,-9.655,0.0
1459604814740,-9.655,7.240000000000001e-07
1459604814750,-9.655,0.0
1459604814760,-9.655,3.6200000000000004e-07
1459604814770,-9.655,3.6200000000000004e-07
1459604814780,-9.655,1.0859999999999999e-06
1459604814790,-9.655,0.0
1459604814800,-9.655,7.240000000000001e-07
1459604814810,-9.655,0.0
1459604814820,-9.655,7.240000000000001e-07
1459604814830,-9.655,0.0
1459604814840,-9.655,7.240000000000001e-07
1459604814850,-9.655,7.240000000000001e-07
1459604814860,-9.655,0.0
1459604814870,-9.655,3.6200000000000004e-07
1459604814880,-9.655,3.6200000000000004e-07
1459604814890,-9.655,1.0859999999999999e-06
1459604814900,-9.655,0.0
1459604814910,-9.655,0.0
1459604814920,-9.655,0.0
1459604814930,-9.655,7.240000000000001e-07
1459604814940,-9.655,0.0
1459604814950,-9.655,0.0
1459604814960,-9.655,3.6200000000000004e-07
1459604814970,-9.655,3.6200000000000004e-07
1459604814980,-9.655,7.240000000000001e-07
1459604814990,-9.655,0.0
1459604815000,-9.655,3.6200000000000004e-07
1459604815010,-9.655,0.0
1459604815020,-9.655,1.0859999999999999e-06
1459604815030,-9.655,0.0
1459604815040,-9.655,0.0
1459604815050,-9.655,3.6200000000000004e-07
1459604815060,-9.655,7.240000000000001e-07
1459604815070,-9.655,7.240000000000001e-07
1459604815080,-9.655,0.0
1459604815090,-9.655,3.6200000000000004e-07
1459604815100,-9.655,0.0
1459604815110,-9.655,1.0859999999999999e-06
1459604815120,-9.655,0.0
1459604815130,-9.655,0.0
1459604815140,-9.655,0.0
1459604815150,-9.655,1.0859999999999999e-06
1459604815160,-9.655,0.0
1459604815170,-9.655,0.0
