Timestamp,position,BLMTI.04L5.B1I10_TCTPH.4L5.B1
1459600196340,7.925,3.6200000000000004e-07
1459600196350,7.925,0.0
1459600196360,7.925,7.240000000000001e-07
1459600196370,7.925,0.0
1459600196380,7.925,0.0
1459600196390,7.925,3.6200000000000004e-07
1459600196400,7.925,3.6200000000000004e-07
1459600196410,7.925,3.6200000000000004e-07
1459600196420,7.925,0.0
1459600196430,7.925,3.6200000000000004e-07
1459600196440,7.925,0.0
1459600196450,7.925,3.6200000000000004e-07
1459600196460,7.925,0.0
1459600196470,7.925,3.6200000000000004e-07
1459600196480,7.925,7.240000000000001e-07
1459600196490,7.925,0.0
1459600196500,7.925,3.6200000000000004e-07
1459600196510,7.925,0.0
1459600196520,7.925,3.6200000000000004e-07
1459600196530,7.925,7.240000000000001e-07
1459600196540,7.925,0.0
1459600196550,7.925,3.6200000000000004e-07
1459600196560,7.925,7.240000000000001e-07
1459600196570,7.925,0.0
1459600196580,7.925,0.0
1459600196590,7.925,3.6200000000000004e-07
1459600196600,7.925,0.0
1459600196610,7.925,3.6200000000000004e-07
1459600196620,7.925,0.0
1459600196630,7.925,0.0
1459600196640,7.925,0.0
1459600196650,7.925,7.240000000000001e-07
1459600196660,7.925,3.6200000000000004e-07
1459600196670,7.925,0.0
1459600196680,7.925,0.0
1459600196690,7.925,3.6200000000000004e-07
1459600196700,7.925,0.0
1459600196710,7.925,3.6200000000000004e-07
1459600196720,7.925,3.6200000000000004e-07
1459600196730,7.925,0.0
1459600196740,7.925,3.6200000000000004e-07
1459600196750,7.925,0.0
1459600196760,7.925,3.6200000000000004e-07
1459600196770,7.925,3.6200000000000004e-07
1459600196780,7.925,0.0
1459600196790,7.925,3.6200000000000004e-07
1459600196800,7.925,3.6200000000000004e-07
1459600196810,7.925,0.0
1459600196820,7.925,0.0
1459600196830,7.925,0.0
1459600196840,7.925,0.0
1459600196850,7.925,3.6200000000000004e-07
1459600196860,7.925,0.0
1459600196870,7.925,0.0
1459600196880,7.925,3.6200000000000004e-07
1459600196890,7.925,0.0
1459600196900,7.925,0.0
1459600196910,7.925,3.6200000000000004e-07
1459600196920,7.925,0.0
1459600196930,7.925,3.6200000000000004e-07
1459600196940,7.925,0.0
1459600196950,7.925,0.0
1459600196960,7.925,3.6200000000000004e-07
1459600196970,7.925,3.6200000000000004e-07
1459600196980,7.925,3.6200000000000004e-07
1459600196990,7.925,0.0
1459600197000,7.925,0.0
1459600197010,7.925,3.6200000000000004e-07
1459600197020,7.925,3.6200000000000004e-07
1459600197030,7.925,3.6200000000000004e-07
1459600197040,7.925,3.6200000000000004e-07
1459600197050,7.925,0.0
1459600197060,7.925,3.6200000000000004e-07
1459600197070,7.925,3.6200000000000004e-07
1459600197080,7.925,3.6200000000000004e-07
1459600197090,7.925,0.0
1459600197100,7.925,0.0
1459600197110,7.925,3.6200000000000004e-07
1459600197120,7.925,3.6200000000000004e-07
1459600197130,7.925,0.0
1459600197140,7.925,0.0
