Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607401000,8.335,0.0
1459607401010,8.335,7.240000000000001e-07
1459607401020,8.335,0.0
1459607401030,8.335,7.240000000000001e-07
1459607401040,8.335,0.0
1459607401050,8.335,1.0859999999999999e-06
1459607401060,8.335,0.0
1459607401070,8.335,7.240000000000001e-07
1459607401080,8.335,0.0
1459607401090,8.335,7.240000000000001e-07
1459607401100,8.335,0.0
1459607401110,8.335,3.6200000000000004e-07
1459607401120,8.335,3.6200000000000004e-07
1459607401130,8.335,7.240000000000001e-07
1459607401140,8.335,3.6200000000000004e-07
1459607401150,8.335,3.6200000000000004e-07
1459607401160,8.335,0.0
1459607401170,8.335,7.240000000000001e-07
1459607401180,8.335,0.0
1459607401190,8.335,7.240000000000001e-07
1459607401200,8.335,3.6200000000000004e-07
1459607401210,8.335,7.240000000000001e-07
1459607401220,8.335,3.6200000000000004e-07
1459607401230,8.335,3.6200000000000004e-07
1459607401240,8.335,3.6200000000000004e-07
1459607401250,8.335,7.240000000000001e-07
1459607401260,8.335,0.0
1459607401270,8.335,1.0859999999999999e-06
1459607401280,8.335,3.6200000000000004e-07
1459607401290,8.335,7.240000000000001e-07
1459607401300,8.335,0.0
1459607401310,8.335,1.0859999999999999e-06
1459607401320,8.335,0.0
1459607401330,8.335,7.240000000000001e-07
1459607401340,8.335,0.0
1459607401350,8.335,7.240000000000001e-07
1459607401360,8.335,0.0
1459607401370,8.335,7.240000000000001e-07
1459607401380,8.335,3.6200000000000004e-07
1459607401390,8.335,3.6200000000000004e-07
1459607401400,8.335,3.6200000000000004e-07
1459607401410,8.335,1.81e-06
1459607401420,8.335,0.0
1459607401430,8.335,7.240000000000001e-07
1459607401440,8.335,0.0
1459607401450,8.335,7.240000000000001e-07
1459607401460,8.335,0.0
1459607401470,8.335,1.0859999999999999e-06
1459607401480,8.335,0.0
1459607401490,8.335,7.240000000000001e-07
1459607401500,8.335,0.0
1459607401510,8.335,7.240000000000001e-07
1459607401520,8.335,3.6200000000000004e-07
1459607401530,8.335,7.240000000000001e-07
1459607401540,8.335,0.0
1459607401550,8.335,1.0859999999999999e-06
1459607401560,8.335,0.0
1459607401570,8.335,7.240000000000001e-07
1459607401580,8.335,0.0
1459607401590,8.335,3.6200000000000004e-07
1459607401600,8.335,3.6200000000000004e-07
1459607401610,8.335,1.0859999999999999e-06
1459607401620,8.335,0.0
1459607401630,8.335,7.240000000000001e-07
1459607401640,8.335,0.0
1459607401650,8.335,7.240000000000001e-07
1459607401660,8.335,0.0
1459607401670,8.335,1.0859999999999999e-06
1459607401680,8.335,0.0
1459607401690,8.335,1.0859999999999999e-06
1459607401700,8.335,0.0
1459607401710,8.335,3.6200000000000004e-07
1459607401720,8.335,0.0
1459607401730,8.335,1.0859999999999999e-06
1459607401740,8.335,0.0
1459607401750,8.335,7.240000000000001e-07
1459607401760,8.335,0.0
1459607401770,8.335,1.4480000000000002e-06
1459607401780,8.335,0.0
1459607401790,8.335,0.0
1459607401800,8.335,0.0
1459607401810,8.335,7.240000000000001e-07
1459607401820,8.335,3.6200000000000004e-07
1459607401830,8.335,1.0859999999999999e-06
1459607401840,8.335,0.0
1459607401850,8.335,3.6200000000000004e-07
1459607401860,8.335,0.0
1459607401870,8.335,1.0859999999999999e-06
1459607401880,8.335,0.0
1459607401890,8.335,1.0859999999999999e-06
1459607401900,8.335,0.0
1459607401910,8.335,7.240000000000001e-07
1459607401920,8.335,0.0
1459607401930,8.335,3.6200000000000004e-07
1459607401940,8.335,0.0
1459607401950,8.335,3.6200000000000004e-07
1459607401960,8.335,3.6200000000000004e-07
1459607401970,8.335,1.0859999999999999e-06
1459607401980,8.335,0.0
1459607401990,8.335,7.240000000000001e-07
1459607402000,8.335,0.0
1459607402010,8.335,3.6200000000000004e-07
