Timestamp,position,BLMTI.04R1.B2I10_TCTPV.4R1.B2
1469994987300,-6.995,0.0
1469994987310,-6.995,0.0
1469994987320,-6.995,0.0
1469994987330,-6.995,0.0
1469994987340,-6.995,1.4480000000000002e-06
1469994987350,-6.995,0.0
1469994987360,-6.995,1.0859999999999999e-06
1469994987370,-6.995,0.0
1469994987380,-6.995,0.0
1469994987390,-6.995,0.0
1469994987400,-6.995,7.240000000000001e-07
1469994987410,-6.995,0.0
1469994987420,-6.995,0.0
1469994987430,-6.995,2.1719999999999997e-06
1469994987440,-6.995,0.0
1469994987450,-6.995,0.0
1469994987460,-6.995,0.0
1469994987470,-6.995,0.0
1469994987480,-6.995,0.0
1469994987490,-6.995,0.0
1469994987500,-6.995,0.0
1469994987510,-6.995,0.0
1469994987520,-6.995,0.0
1469994987530,-6.995,0.0
1469994987540,-6.995,7.240000000000001e-07
1469994987550,-6.995,0.0
1469994987560,-6.995,7.240000000000001e-07
1469994987570,-6.995,0.0
1469994987580,-6.995,0.0
1469994987590,-6.995,1.0859999999999999e-06
1469994987600,-6.995,2.8960000000000003e-06
1469994987610,-6.995,0.0
1469994987620,-6.995,0.0
1469994987630,-6.995,0.0
1469994987640,-6.995,0.0
1469994987650,-6.995,7.240000000000001e-07
1469994987660,-6.995,0.0
1469994987670,-6.995,3.982e-06
1469994987680,-6.995,1.81e-06
1469994987690,-6.995,1.0859999999999999e-06
1469994987700,-6.995,3.6200000000000004e-07
1469994987710,-6.995,3.6200000000000004e-07
1469994987720,-6.995,1.0859999999999999e-06
1469994987730,-6.995,0.0
1469994987740,-6.995,0.0
1469994987750,-6.995,0.0
1469994987760,-6.995,0.0
1469994987770,-6.995,0.0
1469994987780,-6.995,0.0
1469994987790,-6.995,6.154e-06
1469994987800,-6.995,0.0
1469994987810,-6.995,7.240000000000001e-07
1469994987820,-6.995,0.0
1469994987830,-6.995,0.0
1469994987840,-6.995,0.0
1469994987850,-6.995,0.0
1469994987860,-6.995,0.0
1469994987870,-6.995,0.0
1469994987880,-6.995,0.0
1469994987890,-6.995,0.0
1469994987900,-6.995,0.0
1469994987910,-6.995,0.0
1469994987920,-6.995,0.0
1469994987930,-6.995,0.0
1469994987940,-6.995,0.0
1469994987950,-6.995,0.0
1469994987960,-6.995,1.4480000000000002e-06
1469994987970,-6.995,1.4480000000000002e-06
1469994987980,-6.995,0.0
1469994987990,-6.995,1.0859999999999999e-06
1469994988000,-6.995,1.81e-06
1469994988010,-6.995,2.1719999999999997e-06
1469994988020,-6.995,2.5340000000000002e-06
1469994988030,-6.995,7.240000000000001e-07
1469994988040,-6.995,0.0
1469994988050,-6.995,0.0
1469994988060,-6.995,0.0
1469994988070,-6.995,0.0
1469994988080,-6.995,0.0
1469994988090,-6.995,0.0
1469994988100,-6.995,0.0
1469994988110,-6.995,0.0
1469994988120,-6.995,0.0
1469994988130,-6.995,0.0
1469994988140,-6.995,7.240000000000001e-07
1469994988150,-6.995,7.240000000000001e-07
1469994988160,-6.995,1.4480000000000002e-06
1469994988170,-6.995,0.0
1469994988180,-6.995,0.0
1469994988190,-6.995,0.0
1469994988200,-6.995,3.6200000000000004e-07
1469994988210,-6.995,0.0
1469994988220,-6.995,7.240000000000001e-07
1469994988230,-6.995,3.6200000000000004e-07
1469994988240,-6.995,0.0
1469994988250,-6.995,0.0
1469994988260,-6.995,0.0
1469994988270,-6.995,3.62e-06
1469994988280,-6.995,0.0
1469994988290,-6.995,0.0
1469994988300,-6.995,0.0
1469994988310,-6.995,0.0
1469994988320,-6.995,0.0
1469994988330,-6.995,3.6200000000000004e-07
1469994988340,-6.995,1.4480000000000002e-06
1469994988350,-6.995,0.0
1469994988360,-6.995,0.0
1469994988370,-6.995,7.240000000000001e-07
1469994988380,-6.995,1.4480000000000002e-06
1469994988390,-6.995,3.6200000000000004e-07
1469994988400,-6.995,1.4480000000000002e-06
1469994988410,-6.995,1.4480000000000002e-06
1469994988420,-6.995,0.0
1469994988430,-6.995,1.4480000000000002e-06
